deal,time,time_msc,symbol,position_id,magic,type,entry,reason,volume,price,profit,commission,swap,fee,comment
1,2021.09.05 00:00:00,1630800000000,,0,0,2,0,0,0.0,0.0,10000.0,0.0,0.0,0.0,
2,2021.09.07 01:00:00,1630976400001,XAUUSD,2,91330001,0,0,3,0.05,1826.198,0.0,-0.28,0.0,0.0,3WG|1
3,2021.09.07 05:26:32,1630992392000,XAUUSD,2,91330001,1,1,4,0.05,1820.034,-30.82,0.0,0.0,0.0,sl 1820.038
4,2021.09.14 15:00:00,1631631600001,XAUUSD,4,91330002,0,0,3,0.08,1804.788,0.0,-0.44,0.0,0.0,3WG|2
5,2021.09.15 06:36:15,1631687775000,XAUUSD,4,91330002,1,1,4,0.08,1800.727,-32.48,0.0,-4.28,0.0,sl 1800.733
6,2021.09.30 15:00:00,1633014000001,XAUUSD,6,91330002,0,0,3,0.07,1757.523,0.0,-0.39,0.0,0.0,3WG|2
7,2021.09.30 15:09:38,1633014578232,XAUUSD,6,91330002,1,1,5,0.07,1762.123,32.2,0.0,0.0,0.0,tp 1762.113
8,2021.10.04 15:00:00,1633359600001,XAUUSD,8,91330001,0,0,3,0.03,1766.564,0.0,-0.17,0.0,0.0,3WG|1
9,2021.10.05 13:16:39,1633439799649,XAUUSD,8,91330001,1,1,4,0.03,1752.742,-41.46,0.0,-1.6,0.0,sl 1752.758
10,2021.10.08 10:00:00,1633687200001,XAUUSD,10,91330001,0,0,3,0.04,1759.427,0.0,-0.22,0.0,0.0,3WG|1
11,2021.10.08 14:34:26,1633703666000,XAUUSD,10,91330001,1,1,4,0.04,1759.406,-0.09,0.0,0.0,0.0,sl 1759.427
12,2021.10.11 02:00:00,1633917600001,XAUUSD,12,91330001,0,0,3,0.02,1760.19,0.0,-0.11,0.0,0.0,3WG|1
13,2021.10.19 07:00:00,1634626800001,XAUUSD,13,91330002,0,0,3,0.1,1778.994,0.0,-0.55,0.0,0.0,3WG|2
14,2021.10.19 07:44:41,1634629481290,XAUUSD,13,91330002,1,1,5,0.1,1782.261,32.67,0.0,0.0,0.0,tp 1782.250
15,2021.10.22 12:57:13,1634907433972,XAUUSD,12,91330001,1,1,5,0.02,1806.656,92.93,0.0,-13.91,0.0,tp 1806.654
16,2021.10.22 17:00:00,1634922000001,XAUUSD,16,91330001,0,0,3,0.02,1797.491,0.0,-0.11,0.0,0.0,3WG|1
17,2021.10.29 12:50:28,1635511828149,XAUUSD,16,91330001,1,1,4,0.02,1780.387,-34.21,0.0,-7.49,0.0,sl 1780.392
18,2021.11.04 14:00:00,1636034400001,XAUUSD,18,91330002,0,0,3,0.07,1796.742,0.0,-0.39,0.0,0.0,3WG|2
19,2021.11.04 15:33:39,1636040019789,XAUUSD,18,91330002,1,1,4,0.07,1792.019,-33.06,0.0,0.0,0.0,sl 1792.034
20,2021.11.09 09:00:00,1636448400001,XAUUSD,20,91330001,0,0,3,0.03,1824.596,0.0,-0.17,0.0,0.0,3WG|1
21,2021.11.10 14:16:47,1636553807586,XAUUSD,20,91330001,1,1,5,0.03,1855.241,91.93,0.0,-1.6,0.0,tp 1855.238
22,2021.11.12 15:00:00,1636729200001,XAUUSD,22,91330001,0,0,3,0.03,1859.23,0.0,-0.17,0.0,0.0,3WG|1
23,2021.11.19 17:40:41,1637343641986,XAUUSD,22,91330001,1,1,4,0.03,1848.294,-32.81,0.0,-11.21,0.0,sl 1848.305
24,2021.11.26 07:00:00,1637910000001,XAUUSD,24,91330002,0,0,3,0.11,1801.401,0.0,-0.61,0.0,0.0,3WG|2
25,2021.11.26 07:47:13,1637912833333,XAUUSD,24,91330002,1,1,5,0.11,1804.188,30.66,0.0,0.0,0.0,tp 1804.186
26,2021.12.14 06:00:00,1639461600001,XAUUSD,26,91330001,0,0,3,0.04,1787.413,0.0,-0.22,0.0,0.0,3WG|1
27,2021.12.14 13:33:29,1639488809547,XAUUSD,26,91330001,1,1,4,0.04,1778.303,-36.44,0.0,0.0,0.0,sl 1778.314
28,2021.12.20 03:00:00,1639969200001,XAUUSD,28,91330001,0,0,3,0.03,1802.112,0.0,-0.17,0.0,0.0,3WG|1
29,2021.12.20 19:59:25,1640030365609,XAUUSD,28,91330001,1,1,4,0.03,1790.503,-34.83,0.0,0.0,0.0,sl 1790.514
30,2021.12.21 09:00:00,1640077200001,XAUUSD,30,91330001,0,0,3,0.03,1797.097,0.0,-0.17,0.0,0.0,3WG|1
31,2021.12.21 15:44:13,1640101453255,XAUUSD,30,91330001,1,1,4,0.03,1786.869,-30.68,0.0,0.0,0.0,sl 1786.872
32,2021.12.30 12:00:00,1640865600001,XAUUSD,32,91330001,0,0,3,0.04,1802.727,0.0,-0.22,0.0,0.0,3WG|1
33,2021.12.30 17:00:00,1640883600001,XAUUSD,33,91330002,0,0,3,0.1,1813.642,0.0,-0.55,0.0,0.0,3WG|2
34,2021.12.30 20:31:12,1640896272000,XAUUSD,33,91330002,1,1,5,0.1,1816.653,30.11,0.0,0.0,0.0,tp 1816.646
35,2021.12.31 13:31:40,1640957500588,XAUUSD,32,91330001,1,1,5,0.04,1826.445,94.87,0.0,-2.14,0.0,tp 1826.436
36,2022.01.13 12:00:00,1642075200001,XAUUSD,36,91330001,0,0,3,0.04,1823.719,0.0,-0.22,0.0,0.0,3WG|1
37,2022.01.13 15:51:28,1642089088356,XAUUSD,36,91330001,1,1,4,0.04,1815.662,-32.23,0.0,0.0,0.0,sl 1815.684
38,2022.01.14 02:00:00,1642125600001,XAUUSD,38,91330001,0,0,3,0.03,1822.542,0.0,-0.17,0.0,0.0,3WG|1
39,2022.01.18 09:00:00,1642496400618,XAUUSD,38,91330001,1,1,4,0.03,1811.965,-31.73,0.0,-3.2,0.0,sl 1811.984
40,2022.01.19 14:00:00,1642600800001,XAUUSD,40,91330002,0,0,3,0.11,1824.117,0.0,-0.61,0.0,0.0,3WG|2
41,2022.01.19 14:41:41,1642603301083,XAUUSD,40,91330002,1,1,5,0.11,1826.944,31.09,0.0,0.0,0.0,tp 1826.934
