deal,time,time_msc,symbol,position_id,magic,type,entry,reason,volume,price,profit,commission,swap,fee,comment
1,2021.09.05 00:00:00,1630800000000,,0,0,2,0,0,0.0,0.0,10000.0,0.0,0.0,0.0,
2,2021.09.07 01:00:00,1630976400001,XAUUSD,2,91330001,0,0,3,0.05,1826.198,0.0,-0.28,0.0,0.0,3WG|1
3,2021.09.07 05:26:32,1630992392000,XAUUSD,2,91330001,1,1,4,0.05,1820.034,-30.82,0.0,0.0,0.0,sl 1820.038
4,2021.09.14 15:00:00,1631631600001,XAUUSD,4,91330003,0,0,3,0.08,1804.788,0.0,-0.44,0.0,0.0,3WG|3
5,2021.09.15 06:36:15,1631687775000,XAUUSD,4,91330003,1,1,4,0.08,1800.727,-32.48,0.0,-4.28,0.0,sl 1800.733
6,2021.09.21 13:00:00,1632229200001,XAUUSD,6,91330003,0,0,3,0.1,1772.028,0.0,-0.55,0.0,0.0,3WG|3
7,2021.09.21 15:20:31,1632237631680,XAUUSD,6,91330003,1,1,5,0.1,1781.394,93.66,0.0,0.0,0.0,tp 1781.379
8,2021.09.30 15:00:00,1633014000001,XAUUSD,8,91330003,0,0,3,0.07,1757.523,0.0,-0.39,0.0,0.0,3WG|3
9,2021.09.30 23:56:39,1633046199000,XAUUSD,8,91330003,1,1,4,0.07,1752.886,-32.46,0.0,0.0,0.0,sl 1752.933
10,2021.10.04 15:00:00,1633359600001,XAUUSD,10,91330001,0,0,3,0.03,1766.564,0.0,-0.17,0.0,0.0,3WG|1
11,2021.10.04 15:00:00,1633359600002,XAUUSD,11,91330003,0,0,3,0.07,1766.564,0.0,-0.39,0.0,0.0,3WG|3
12,2021.10.05 02:42:14,1633401734000,XAUUSD,11,91330003,1,1,4,0.07,1761.928,-32.45,0.0,-3.74,0.0,sl 1761.962
13,2021.10.05 13:16:39,1633439799649,XAUUSD,10,91330001,1,1,4,0.03,1752.742,-41.46,0.0,-1.6,0.0,sl 1752.758
14,2021.10.08 10:00:00,1633687200001,XAUUSD,14,91330001,0,0,3,0.04,1759.427,0.0,-0.22,0.0,0.0,3WG|1
15,2021.10.08 13:00:00,1633698000002,XAUUSD,15,91330003,0,0,3,0.09,1776.054,0.0,-0.5,0.0,0.0,3WG|3
16,2021.10.08 13:44:46,1633700686105,XAUUSD,15,91330003,1,1,4,0.09,1772.707,-30.13,0.0,0.0,0.0,sl 1772.720
17,2021.10.08 14:34:26,1633703666000,XAUUSD,14,91330001,1,1,4,0.04,1759.406,-0.09,0.0,0.0,0.0,sl 1759.427
18,2021.10.11 02:00:00,1633917600001,XAUUSD,18,91330001,0,0,3,0.02,1760.19,0.0,-0.11,0.0,0.0,3WG|1
19,2021.10.13 14:00:00,1634133600001,XAUUSD,19,91330003,0,0,3,0.07,1781.649,0.0,-0.39,0.0,0.0,3WG|3
20,2021.10.13 14:51:03,1634136663750,XAUUSD,19,91330003,1,1,5,0.07,1795.272,95.36,0.0,0.0,0.0,tp 1795.245
21,2021.10.13 15:00:00,1634137200002,XAUUSD,21,91330003,0,0,3,0.06,1792.906,0.0,-0.33,0.0,0.0,3WG|3
22,2021.10.14 02:48:13,1634179693000,XAUUSD,21,91330003,1,1,4,0.06,1787.842,-30.39,0.0,-9.63,0.0,sl 1787.847
23,2021.10.20 13:00:00,1634734800001,XAUUSD,23,91330003,0,0,3,0.11,1786.653,0.0,-0.61,0.0,0.0,3WG|3
24,2021.10.20 13:19:18,1634735958666,XAUUSD,23,91330003,1,1,4,0.11,1783.676,-32.74,0.0,0.0,0.0,sl 1783.703
25,2021.10.22 07:00:00,1634886000001,XAUUSD,25,91330003,0,0,3,0.09,1793.29,0.0,-0.5,0.0,0.0,3WG|3
26,2021.10.22 12:43:36,1634906616067,XAUUSD,25,91330003,1,1,5,0.09,1804.417,100.14,0.0,0.0,0.0,tp 1804.408
27,2021.10.22 12:57:13,1634907433972,XAUUSD,18,91330001,1,1,5,0.02,1806.656,92.93,0.0,-13.91,0.0,tp 1806.654
28,2021.10.22 13:00:00,1634907600001,XAUUSD,28,91330003,0,0,3,0.09,1806.018,0.0,-0.5,0.0,0.0,3WG|3
29,2021.10.22 15:15:11,1634915711625,XAUUSD,28,91330003,1,1,4,0.09,1806.011,-0.06,0.0,0.0,0.0,sl 1806.018
30,2021.10.22 17:00:00,1634922000001,XAUUSD,30,91330001,0,0,3,0.02,1797.491,0.0,-0.11,0.0,0.0,3WG|1
31,2021.10.29 12:50:28,1635511828149,XAUUSD,30,91330001,1,1,4,0.02,1780.387,-34.21,0.0,-7.49,0.0,sl 1780.392
32,2021.11.05 16:00:00,1636128000001,XAUUSD,32,91330003,0,0,3,0.07,1809.972,0.0,-0.39,0.0,0.0,3WG|3
33,2021.11.08 13:27:30,1636378050955,XAUUSD,32,91330003,1,1,5,0.07,1823.21,92.67,0.0,-3.74,0.0,tp 1823.187
34,2021.11.08 14:00:00,1636380000001,XAUUSD,34,91330003,0,0,3,0.08,1821.911,0.0,-0.44,0.0,0.0,3WG|3
35,2021.11.09 09:00:00,1636448400001,XAUUSD,35,91330001,0,0,3,0.03,1824.596,0.0,-0.17,0.0,0.0,3WG|1
36,2021.11.09 15:06:38,1636470398461,XAUUSD,34,91330003,1,1,4,0.08,1821.896,-0.12,0.0,-4.28,0.0,sl 1821.911
37,2021.11.10 14:00:00,1636552800002,XAUUSD,37,91330003,0,0,3,0.08,1849.777,0.0,-0.44,0.0,0.0,3WG|3
38,2021.11.10 14:16:47,1636553807586,XAUUSD,35,91330001,1,1,5,0.03,1855.241,91.93,0.0,-1.6,0.0,tp 1855.238
39,2021.11.10 14:34:04,1636554844808,XAUUSD,37,91330003,1,1,5,0.08,1861.982,97.64,0.0,0.0,0.0,tp 1861.975
40,2021.11.10 15:00:00,1636556400001,XAUUSD,40,91330003,0,0,3,0.07,1862.191,0.0,-0.39,0.0,0.0,3WG|3
41,2021.11.10 15:10:37,1636557037777,XAUUSD,40,91330003,1,1,4,0.07,1857.318,-34.11,0.0,0.0,0.0,sl 1857.360
