time,event,engine,dir,note,position_id,entry,sl,tp,volume,risk_cash,equity_before,requested_risk_cash,decision_bar
2021.09.07 01:00:00,entry,1,1,done at 1826.198,2,1826.198,1820.038,1844.678,0.05,30.8,10000.0,30.0,2021.09.07 01:00:00
2021.09.14 15:00:00,entry,3,1,done at 1804.788,4,1804.788,1800.733,1816.953,0.08,32.44,9968.9,29.906699999999997,2021.09.14 15:00:00
2021.09.21 13:00:00,entry,3,1,done at 1772.028,6,1772.028,1768.911,1781.379,0.1,31.17,9931.7,29.7951,2021.09.21 13:00:00
2021.09.21 15:00:00,trail,3,1,closed H1 ratchet,6,1772.028,1772.028,1781.379,0.0,0.0,0.0,0.0,2021.09.21 15:00:00
2021.09.21 15:00:00,occupied,3,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021.09.21 15:00:00
2021.09.30 15:00:00,entry,3,1,done at 1757.523,8,1757.523,1752.933,1771.293,0.07,32.13,10024.81,30.074429999999996,2021.09.30 15:00:00
2021.10.04 15:00:00,entry,1,1,done at 1766.564,10,1766.564,1752.758,1807.982,0.03,41.42,9991.96,29.975879999999997,2021.10.04 15:00:00
2021.10.04 15:00:00,entry,3,1,done at 1766.564,11,1766.564,1761.962,1780.37,0.07,32.22,9991.42,29.97426,2021.10.04 15:00:00
2021.10.08 10:00:00,entry,1,1,done at 1759.427,14,1759.427,1749.922,1787.942,0.04,38.02,9912.15,29.73645,2021.10.08 10:00:00
2021.10.08 13:00:00,trail,1,1,closed H1 ratchet,14,1759.427,1759.427,1787.942,0.0,0.0,0.0,0.0,2021.10.08 13:00:00
2021.10.08 13:00:00,entry,3,1,done at 1776.054,15,1776.054,1772.72,1786.056,0.09,30.01,9977.94,29.93382,2021.10.08 13:00:00
2021.10.11 02:00:00,entry,1,1,done at 1760.190,18,1760.19,1744.702,1806.654,0.02,30.98,9881.21,29.643629999999998,2021.10.11 02:00:00
2021.10.12 14:00:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021.10.12 14:00:00
2021.10.12 20:00:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021.10.12 20:00:00
2021.10.13 14:00:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021.10.13 14:00:00
2021.10.13 14:00:00,entry,3,1,done at 1781.649,19,1781.649,1777.117,1795.245,0.07,31.72,9921.63,29.764889999999994,2021.10.13 14:00:00
2021.10.13 15:00:00,trail,1,1,closed H1 ratchet,18,1760.19,1760.19,1806.654,0.0,0.0,0.0,0.0,2021.10.13 15:00:00
2021.10.13 15:00:00,entry,3,1,done at 1792.906,21,1792.906,1787.847,1808.083,0.06,30.36,10038.99,30.116969999999995,2021.10.13 15:00:00
2021.10.20 13:00:00,entry,3,1,done at 1786.653,23,1786.653,1783.703,1795.503,0.11,32.45,9978.77,29.93631,2021.10.20 13:00:00
2021.10.21 09:00:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021.10.21 09:00:00
2021.10.21 20:00:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021.10.21 20:00:00
2021.10.22 07:00:00,entry,3,1,done at 1793.290,25,1793.29,1789.584,1804.408,0.09,33.35,9954.41,29.863229999999998,2021.10.22 07:00:00
2021.10.22 13:00:00,entry,3,1,done at 1806.018,28,1806.018,1802.458,1816.698,0.09,32.04,10081.03,30.243090000000002,2021.10.22 13:00:00
2021.10.22 15:00:00,trail,3,1,closed H1 ratchet,28,1806.018,1806.018,1816.698,0.0,0.0,0.0,0.0,2021.10.22 15:00:00
