time,event,engine,dir,note,position_id,entry,sl,tp,volume,risk_cash,equity_before,requested_risk_cash,decision_bar
2021.09.14 15:00:00,entry,2,1,done at 1804.788,2,1804.788,1800.733,1808.843,0.08,32.44,10000.0,30.0,2021.09.14 15:00:00
2021.09.14 15:00:00,entry,3,1,done at 1804.788,3,1804.788,1800.733,1816.953,0.08,32.44,9998.07,29.99421,2021.09.14 15:00:00
2021.09.21 13:00:00,entry,3,1,done at 1772.028,6,1772.028,1768.911,1781.379,0.1,31.17,9925.6,29.776799999999998,2021.09.21 13:00:00
2021.09.21 15:00:00,trail,3,1,closed H1 ratchet,6,1772.028,1772.028,1781.379,0.0,0.0,0.0,0.0,2021.09.21 15:00:00
2021.09.21 15:00:00,occupied,3,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021.09.21 15:00:00
2021.09.30 15:00:00,entry,2,1,done at 1757.523,8,1757.523,1752.933,1762.113,0.07,32.13,10018.71,30.05613,2021.09.30 15:00:00
2021.09.30 15:00:00,entry,3,1,done at 1757.523,9,1757.523,1752.933,1771.293,0.07,32.13,10017.45,30.05235,2021.09.30 15:00:00
2021.10.04 15:00:00,entry,3,1,done at 1766.564,12,1766.564,1761.962,1780.37,0.07,32.22,10017.67,30.05301,2021.10.04 15:00:00
2021.10.08 13:00:00,entry,3,1,done at 1776.054,14,1776.054,1772.72,1786.056,0.09,30.01,9981.09,29.94327,2021.10.08 13:00:00
2021.10.13 14:00:00,entry,3,1,done at 1781.649,16,1781.649,1777.117,1795.245,0.07,31.72,9950.46,29.851379999999995,2021.10.13 14:00:00
2021.10.13 15:00:00,entry,3,1,done at 1792.906,18,1792.906,1787.847,1808.083,0.06,30.36,10045.43,30.13629,2021.10.13 15:00:00
2021.10.19 07:00:00,entry,2,1,done at 1778.994,20,1778.994,1775.738,1782.25,0.1,32.56,10005.08,30.01524,2021.10.19 07:00:00
2021.10.20 13:00:00,entry,3,1,done at 1786.653,22,1786.653,1783.703,1795.503,0.11,32.45,10037.2,30.111600000000003,2021.10.20 13:00:00
2021.10.22 07:00:00,entry,3,1,done at 1793.290,24,1793.29,1789.584,1804.408,0.09,33.35,10003.85,30.011550000000003,2021.10.22 07:00:00
2021.10.22 13:00:00,entry,3,1,done at 1806.018,26,1806.018,1802.458,1816.698,0.09,32.04,10103.49,30.31047,2021.10.22 13:00:00
2021.10.22 15:00:00,trail,3,1,closed H1 ratchet,26,1806.018,1806.018,1816.698,0.0,0.0,0.0,0.0,2021.10.22 15:00:00
2021.11.04 14:00:00,entry,2,1,done at 1796.742,28,1796.742,1792.034,1801.45,0.07,32.95,10102.93,30.30879,2021.11.04 14:00:00
