deal,time,time_msc,symbol,position_id,magic,type,entry,reason,volume,price,profit,commission,swap,fee,comment
1,2021.09.05 00:00:00,1630800000000,,0,0,2,0,0,0.0,0.0,10000.0,0.0,0.0,0.0,
2,2021.09.07 01:00:00,1630976400001,XAUUSD,2,91330001,0,0,3,0.07,1826.198,0.0,-0.39,0.0,0.0,3WG|1
3,2021.09.07 04:30:37,1630989037078,XAUUSD,2,91330001,1,1,4,0.07,1821.175,-35.16,0.0,0.0,0.0,sl 1821.205
4,2021.09.10 06:00:00,1631253600001,XAUUSD,4,91330002,0,0,3,0.08,1802.508,0.0,-0.44,0.0,0.0,3WG|2
5,2021.09.10 06:00:00,1631253600002,XAUUSD,5,91330003,0,0,3,0.08,1802.508,0.0,-0.44,0.0,0.0,3WG|3
6,2021.09.10 09:52:26,1631267546000,XAUUSD,4,91330002,1,1,4,0.08,1798.637,-30.96,0.0,0.0,0.0,sl 1798.646
7,2021.09.10 09:52:26,1631267546000,XAUUSD,5,91330003,1,1,4,0.08,1798.637,-30.96,0.0,0.0,0.0,sl 1798.646
8,2021.09.14 15:00:00,1631631600001,XAUUSD,8,91330002,0,0,3,0.06,1804.788,0.0,-0.33,0.0,0.0,3WG|2
9,2021.09.14 15:00:00,1631631600002,XAUUSD,9,91330003,0,0,3,0.06,1804.788,0.0,-0.33,0.0,0.0,3WG|3
10,2021.09.14 15:14:26,1631632466557,XAUUSD,8,91330002,1,1,5,0.06,1807.429,15.84,0.0,0.0,0.0,tp 1807.426
11,2021.09.15 08:34:29,1631694869000,XAUUSD,9,91330003,1,1,4,0.06,1799.501,-31.72,0.0,-3.21,0.0,sl 1799.513
12,2021.09.20 23:00:00,1632178800001,XAUUSD,12,91330002,0,0,3,0.08,1764.305,0.0,-0.44,0.0,0.0,3WG|2
13,2021.09.21 07:00:35,1632207635999,XAUUSD,12,91330002,1,1,4,0.08,1760.127,-33.42,0.0,-4.28,0.0,sl 1760.139
14,2021.09.21 13:00:00,1632229200001,XAUUSD,14,91330003,0,0,3,0.09,1772.028,0.0,-0.5,0.0,0.0,3WG|3
15,2021.09.22 08:21:02,1632298862686,XAUUSD,14,91330003,1,1,4,0.09,1774.369,21.07,0.0,-4.8100000000000005,0.0,sl 1774.388
16,2021.09.30 15:00:00,1633014000001,XAUUSD,16,91330002,0,0,3,0.06,1757.523,0.0,-0.33,0.0,0.0,3WG|2
17,2021.09.30 15:00:00,1633014000002,XAUUSD,17,91330003,0,0,3,0.06,1757.523,0.0,-0.33,0.0,0.0,3WG|3
18,2021.09.30 15:08:41,1633014521115,XAUUSD,16,91330002,1,1,5,0.06,1760.364,17.04,0.0,0.0,0.0,tp 1760.349
19,2021.10.01 00:15:00,1633047300937,XAUUSD,17,91330003,1,1,4,0.06,1751.867,-33.94,0.0,-3.21,0.0,sl 1751.871
20,2021.10.04 15:00:00,1633359600001,XAUUSD,20,91330003,0,0,3,0.06,1766.564,0.0,-0.33,0.0,0.0,3WG|3
21,2021.10.05 03:05:35,1633403135806,XAUUSD,20,91330003,1,1,4,0.06,1761.105,-32.75,0.0,-3.21,0.0,sl 1761.129
22,2021.10.06 16:00:00,1633536000001,XAUUSD,22,91330002,0,0,3,0.07,1762.175,0.0,-0.39,0.0,0.0,3WG|2
23,2021.10.06 18:55:15,1633546515000,XAUUSD,22,91330002,1,1,5,0.07,1764.54,16.55,0.0,0.0,0.0,tp 1764.535
24,2021.10.08 13:00:00,1633698000001,XAUUSD,24,91330003,0,0,3,0.08,1776.054,0.0,-0.44,0.0,0.0,3WG|3
25,2021.10.08 13:44:58,1633700698315,XAUUSD,24,91330003,1,1,4,0.08,1772.291,-30.1,0.0,0.0,0.0,sl 1772.300
26,2021.10.11 02:00:00,1633917600001,XAUUSD,26,91330001,0,0,3,0.02,1760.19,0.0,-0.11,0.0,0.0,3WG|1
27,2021.10.12 06:00:00,1634018400001,XAUUSD,27,91330002,0,0,3,0.12,1761.941,0.0,-0.66,0.0,0.0,3WG|2
28,2021.10.12 07:12:12,1634022732656,XAUUSD,27,91330002,1,1,4,0.12,1759.44,-30.01,0.0,0.0,0.0,sl 1759.441
29,2021.10.13 11:00:00,1634122800001,XAUUSD,29,91330003,0,0,3,0.12,1773.375,0.0,-0.66,0.0,0.0,3WG|3
