time,event,engine,dir,note,position_id,entry,sl,tp,volume,risk_cash,equity_before,requested_risk_cash,decision_bar
2021.09.07 01:00:00,entry,1,1,done at 1826.198,2,1826.198,1820.206,1844.174,0.06,35.95,10000.0,30.0,2021.09.07 01:00:00
2021.09.10 06:00:00,entry,3,1,done at 1802.508,4,1802.508,1792.853,1831.473,0.04,38.62,9963.39,29.890169999999998,2021.09.10 06:00:00
2021.09.14 15:00:00,entry,2,1,done at 1804.788,6,1804.788,1799.513,1812.701,0.06,31.65,9924.42,29.77326,2021.09.14 15:00:00
2021.09.14 15:00:00,entry,3,1,done at 1804.788,7,1804.788,1791.601,1844.349,0.03,39.56,9922.97,29.768909999999995,2021.09.14 15:00:00
2021.09.21 13:00:00,entry,3,1,done at 1772.028,10,1772.028,1763.555,1797.447,0.04,33.89,9847.79,29.54337,2021.09.21 13:00:00
2021.09.30 15:00:00,entry,2,1,done at 1757.523,12,1757.523,1751.871,1766.001,0.06,33.91,9805.06,29.415179999999996,2021.09.30 15:00:00
2021.09.30 15:00:00,entry,3,1,done at 1757.523,13,1757.523,1743.394,1799.91,0.03,42.39,9803.98,29.41194,2021.09.30 15:00:00
2021.10.04 15:00:00,entry,1,1,done at 1766.564,15,1766.564,1750.26,1815.476,0.02,32.61,9790.96,29.372879999999995,2021.10.04 15:00:00
2021.10.04 15:00:00,occupied,3,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021.10.04 15:00:00
2021.10.08 10:00:00,entry,1,1,done at 1759.427,17,1759.427,1751.232,1784.012,0.04,32.78,9726.13,29.178389999999993,2021.10.08 10:00:00
2021.10.08 13:00:00,trail,1,1,closed H1 ratchet,17,1759.427,1759.427,1784.012,0.0,0.0,0.0,0.0,2021.10.08 13:00:00
2021.10.08 13:00:00,trail,3,1,closed H1 ratchet,13,1757.523,1757.523,1799.91,0.0,0.0,0.0,0.0,2021.10.08 13:00:00
2021.10.08 13:00:00,occupied,3,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021.10.08 13:00:00
2021.10.11 02:00:00,entry,1,1,done at 1760.190,20,1760.19,1742.218,1814.106,0.02,35.94,9720.44,29.16132,2021.10.11 02:00:00
2021.10.12 14:00:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021.10.12 14:00:00
2021.10.12 14:00:00,entry,3,1,done at 1768.409,21,1768.409,1757.089,1802.369,0.03,33.96,9735.45,29.20635,2021.10.12 14:00:00
2021.10.12 20:00:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021.10.12 20:00:00
2021.10.13 11:00:00,occupied,3,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021.10.13 11:00:00
2021.10.13 14:00:00,trail,3,1,closed H1 ratchet,21,1768.409,1768.409,1802.369,0.0,0.0,0.0,0.0,2021.10.13 14:00:00
2021.10.13 14:00:00,trail,1,1,closed H1 ratchet,20,1760.19,1760.19,1814.106,0.0,0.0,0.0,0.0,2021.10.13 14:00:00
2021.10.13 14:00:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021.10.13 14:00:00
2021.10.13 14:00:00,occupied,3,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021.10.13 14:00:00
2021.10.13 15:00:00,occupied,3,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021.10.13 15:00:00
2021.10.19 07:00:00,entry,2,1,done at 1778.994,23,1778.994,1776.332,1782.987,0.11,29.28,9740.92,29.222759999999997,2021.10.19 07:00:00
2021.10.19 08:00:00,entry,3,1,done at 1781.519,24,1781.519,1774.418,1802.822,0.05,35.51,9771.76,29.315279999999998,2021.10.19 08:00:00
2021.10.20 13:00:00,entry,3,1,done at 1786.653,27,1786.653,1778.561,1810.929,0.04,32.37,9689.07,29.06721,2021.10.20 13:00:00
2021.10.21 09:00:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021.10.21 09:00:00
2021.10.21 20:00:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021.10.21 20:00:00
2021.10.22 07:00:00,entry,3,1,done at 1793.290,29,1793.29,1786.2,1814.56,0.05,35.45,9665.46,28.996379999999995,2021.10.22 07:00:00
2021.10.22 13:00:00,trail,3,1,closed H1 ratchet,29,1793.29,1793.29,1814.56,0.0,0.0,0.0,0.0,2021.10.22 13:00:00
2021.10.22 13:00:00,occupied,3,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021.10.22 13:00:00
2021.10.22 17:00:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021.10.22 17:00:00
2021.10.22 19:00:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021.10.22 19:00:00
2021.10.24 23:00:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021.10.24 23:00:00
2021.10.28 16:00:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021.10.28 16:00:00
2021.10.28 23:00:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021.10.28 23:00:00
2021.11.04 13:00:00,entry,3,1,done at 1792.732,32,1792.732,1783.051,1821.775,0.03,29.05,9588.24,28.764719999999997,2021.11.04 13:00:00
2021.11.04 14:00:00,entry,2,1,done at 1796.742,33,1796.742,1792.748,1802.733,0.08,31.96,9598.97,28.796909999999997,2021.11.04 14:00:00
2021.11.05 16:00:00,trail,3,1,closed H1 ratchet,32,1792.732,1792.732,1821.775,0.0,0.0,0.0,0.0,2021.11.05 16:00:00
2021.11.05 16:00:00,occupied,3,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021.11.05 16:00:00
2021.11.08 14:00:00,entry,3,1,done at 1821.911,36,1821.911,1811.987,1851.683,0.03,29.77,9639.55,28.91865,2021.11.08 14:00:00
2021.11.09 09:00:00,entry,1,1,done at 1824.596,37,1824.596,1815.765,1851.089,0.04,35.32,9645.46,28.936379999999996,2021.11.09 09:00:00
2021.11.09 21:00:00,manage_error,3,1,market closed,36,1821.911,1821.911,1851.683,0.0,0.0,0.0,0.0,2021.11.09 21:00:00
2021.11.10 14:00:00,trail,3,1,closed H1 ratchet,36,1821.911,1821.911,1851.683,0.0,0.0,0.0,0.0,2021.11.10 14:00:00
2021.11.10 14:00:00,occupied,3,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021.11.10 14:00:00
2021.11.10 15:00:00,entry,3,1,done at 1862.191,40,1862.191,1847.641,1905.841,0.03,43.65,9829.22,29.487659999999995,2021.11.10 15:00:00
2021.11.12 15:00:00,entry,1,1,done at 1859.230,42,1859.23,1845.939,1899.103,0.03,39.87,9785.36,29.356080000000002,2021.11.12 15:00:00
2021.11.15 08:00:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021.11.15 08:00:00
2021.11.15 10:00:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021.11.15 10:00:00
2021.11.16 01:00:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021.11.16 01:00:00
2021.11.16 09:00:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021.11.16 09:00:00
2021.11.16 09:00:00,entry,3,1,done at 1872.353,43,1872.353,1863.781,1898.069,0.04,34.29,9820.98,29.46294,2021.11.16 09:00:00
2021.11.16 10:00:00,trail,1,1,closed H1 ratchet,42,1859.23,1859.23,1899.103,0.0,0.0,0.0,0.0,2021.11.16 10:00:00
2021.11.17 09:00:00,entry,1,1,done at 1860.248,46,1860.248,1851.23,1887.302,0.04,36.07,9747.31,29.241929999999996,2021.11.17 09:00:00
2021.11.18 01:00:00,trail,1,1,closed H1 ratchet,46,1860.248,1860.248,1887.302,0.0,0.0,0.0,0.0,2021.11.18 01:00:00
2021.11.26 07:00:00,entry,2,1,done at 1801.401,48,1801.401,1798.309,1806.039,0.1,30.92,9740.67,29.22201,2021.11.26 07:00:00
2021.11.26 07:00:00,entry,3,1,done at 1801.401,49,1801.401,1793.671,1824.591,0.04,30.92,9738.87,29.21661,2021.11.26 07:00:00
2021.11.26 08:00:00,occupied,3,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021.11.26 08:00:00
2021.11.26 10:00:00,trail,3,1,closed H1 ratchet,49,1801.401,1801.401,1824.591,0.0,0.0,0.0,0.0,2021.11.26 10:00:00
2021.11.30 15:00:00,entry,3,1,done at 1802.473,52,1802.473,1790.158,1839.418,0.03,36.95,9778.99,29.336969999999997,2021.11.30 15:00:00
2021.12.14 06:00:00,entry,1,1,done at 1787.413,54,1787.413,1780.597,1807.861,0.05,34.08,9741.84,29.225520000000003,2021.12.14 06:00:00
2021.12.16 14:00:00,entry,3,1,done at 1789.144,56,1789.144,1781.441,1812.253,0.04,30.82,9707.34,29.12202,2021.12.16 14:00:00
2021.12.16 15:00:00,occupied,3,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021.12.16 15:00:00
2021.12.16 16:00:00,trail,3,1,closed H1 ratchet,56,1789.144,1789.144,1812.253,0.0,0.0,0.0,0.0,2021.12.16 16:00:00
2021.12.20 03:00:00,entry,1,1,done at 1802.112,58,1802.112,1789.527,1839.867,0.03,37.76,9797.42,29.39226,2021.12.20 03:00:00
2021.12.20 06:00:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021.12.20 06:00:00
2021.12.21 09:00:00,entry,1,1,done at 1797.097,60,1797.097,1788.522,1822.822,0.04,34.3,9759.49,29.27847,2021.12.21 09:00:00
2021.12.30 12:00:00,entry,1,1,done at 1802.727,62,1802.727,1795.857,1823.337,0.05,34.35,9724.85,29.17455,2021.12.30 12:00:00
2021.12.30 17:00:00,trail,1,1,closed H1 ratchet,62,1802.727,1802.727,1823.337,0.0,0.0,0.0,0.0,2021.12.30 17:00:00
2021.12.30 17:00:00,entry,2,1,done at 1813.642,63,1813.642,1810.236,1818.751,0.09,30.66,9778.52,29.33556,2021.12.30 17:00:00
2021.12.30 17:00:00,entry,3,1,done at 1813.642,64,1813.642,1805.127,1839.187,0.04,34.06,9776.89,29.330669999999994,2021.12.30 17:00:00
2021.12.30 21:00:00,manage_error,2,1,market closed,63,1813.642,1813.642,1818.751,0.0,0.0,0.0,0.0,2021.12.30 21:00:00
2021.12.31 14:00:00,trail,3,1,closed H1 ratchet,64,1813.642,1813.642,1839.187,0.0,0.0,0.0,0.0,2021.12.31 14:00:00
2021.12.31 14:00:00,occupied,3,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021.12.31 14:00:00
2022.01.05 14:00:00,entry,3,1,done at 1825.728,68,1825.728,1817.279,1851.075,0.04,33.79,9861.29,29.58387,2022.01.05 14:00:00
2022.01.11 16:00:00,entry,3,1,done at 1811.774,70,1811.774,1803.693,1836.017,0.04,32.33,9827.25,29.481749999999998,2022.01.11 16:00:00
2022.01.11 17:00:00,occupied,3,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022.01.11 17:00:00
2022.01.11 19:00:00,trail,3,1,closed H1 ratchet,70,1811.774,1811.774,1836.017,0.0,0.0,0.0,0.0,2022.01.11 19:00:00
2022.01.13 12:00:00,entry,1,1,done at 1823.719,71,1823.719,1816.136,1846.468,0.04,30.34,9865.75,29.59725,2022.01.13 12:00:00
2022.01.13 21:00:00,error,1,1,market closed,0,1822.082,1810.111,1857.995,0.03,35.913,9828.59,29.48577,2022.01.13 21:00:00
2022.01.14 02:00:00,entry,1,1,done at 1822.542,73,1822.542,1812.091,1853.895,0.03,31.36,9828.29,29.48487,2022.01.14 02:00:00
2022.01.18 01:00:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022.01.18 01:00:00
2022.01.19 14:00:00,entry,2,1,done at 1824.117,76,1824.117,1821.177,1828.527,0.1,29.4,9746.7,29.2401,2022.01.19 14:00:00
2022.01.19 14:00:00,entry,3,1,done at 1824.117,77,1824.117,1816.768,1846.164,0.04,29.4,9744.9,29.234699999999997,2022.01.19 14:00:00
2022.01.19 15:00:00,trail,2,1,closed H1 ratchet,76,1824.117,1824.117,1828.527,0.0,0.0,0.0,0.0,2022.01.19 15:00:00
2022.01.19 15:00:00,occupied,3,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022.01.19 15:00:00
2022.01.19 16:00:00,trail,3,1,closed H1 ratchet,77,1824.117,1824.117,1846.164,0.0,0.0,0.0,0.0,2022.01.19 16:00:00
2022.01.19 16:00:00,occupied,3,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022.01.19 16:00:00
2022.01.20 14:00:00,entry,3,1,done at 1846.562,80,1846.562,1838.147,1871.807,0.04,33.66,9871.85,29.61555,2022.01.20 14:00:00
2022.01.21 14:00:00,entry,1,1,done at 1841.503,82,1841.503,1830.105,1875.697,0.03,34.19,9837.95,29.51385,2022.01.21 14:00:00
2022.01.24 02:00:00,entry,1,1,done at 1836.253,84,1836.253,1823.873,1873.393,0.03,37.14,9803.58,29.41074,2022.01.24 02:00:00
2022.01.24 18:00:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022.01.24 18:00:00
2022.01.25 15:00:00,trail,1,1,closed H1 ratchet,84,1836.253,1836.253,1873.393,0.0,0.0,0.0,0.0,2022.01.25 15:00:00
2022.01.25 15:00:00,entry,3,1,done at 1850.533,85,1850.533,1841.644,1877.2,0.04,35.55,9844.27,29.532809999999998,2022.01.25 15:00:00
2022.01.26 10:00:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022.01.26 10:00:00
2022.02.01 06:00:00,entry,2,1,done at 1802.868,88,1802.868,1800.125,1806.983,0.11,30.17,9764.33,29.29299,2022.02.01 06:00:00
2022.02.08 14:00:00,entry,1,1,done at 1824.176,90,1824.176,1816.401,1847.501,0.04,31.1,9808.98,29.42694,2022.02.08 14:00:00
2022.02.08 14:00:00,entry,3,1,done at 1824.176,91,1824.176,1817.697,1843.613,0.05,32.39,9808.26,29.424780000000002,2022.02.08 14:00:00
2022.02.09 15:00:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022.02.09 15:00:00
2022.02.09 17:00:00,trail,3,1,closed H1 ratchet,91,1824.176,1824.176,1843.613,0.0,0.0,0.0,0.0,2022.02.09 17:00:00
2022.02.09 17:00:00,trail,1,1,closed H1 ratchet,90,1824.176,1824.176,1847.501,0.0,0.0,0.0,0.0,2022.02.09 17:00:00
2022.02.11 13:00:00,entry,1,1,done at 1830.602,94,1830.602,1822.587,1854.647,0.04,32.06,9789.16,29.36748,2022.02.11 13:00:00
2022.02.11 15:00:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022.02.11 15:00:00
2022.02.11 16:00:00,entry,2,1,done at 1836.009,95,1836.009,1832.301,1841.571,0.08,29.66,9810.07,29.43021,2022.02.11 16:00:00
2022.02.11 18:00:00,trail,2,1,closed H1 ratchet,95,1836.009,1836.009,1841.571,0.0,0.0,0.0,0.0,2022.02.11 18:00:00
2022.02.11 18:00:00,trail,1,1,closed H1 ratchet,94,1830.602,1830.602,1854.647,0.0,0.0,0.0,0.0,2022.02.11 18:00:00
2022.02.11 19:00:00,entry,3,1,done at 1857.324,98,1857.324,1843.852,1897.74,0.03,40.41,9929.38,29.78814,2022.02.11 19:00:00
2022.02.14 19:00:00,trail,3,1,closed H1 ratchet,98,1857.324,1857.324,1897.74,0.0,0.0,0.0,0.0,2022.02.14 19:00:00
2022.02.16 12:00:00,entry,1,1,done at 1856.531,100,1856.531,1849.379,1877.987,0.05,35.76,9925.97,29.77791,2022.02.16 12:00:00
