time,event,engine,dir,note,position_id,entry,sl,tp,volume,risk_cash,equity_before,requested_risk_cash,decision_bar
2025.09.05 00:00:00,entry,1,1,done at 3552.649,2,3552.649,3521.051,3647.443,0.01,31.6,10000.0,30.0,2025.09.05 00:00:00
2025.09.05 13:00:00,entry,3,1,done at 3580.331,3,3580.331,3571.422,3607.07,0.04,35.63,10027.59,30.08277,2025.09.05 13:00:00
2025.09.05 14:00:00,trail,3,1,closed H1 ratchet,3,3580.331,3580.331,3607.07,0.0,0.0,0.0,0.0,2025.09.05 14:00:00
2025.09.05 14:00:00,occupied,3,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025.09.05 14:00:00
2025.09.08 08:00:00,trail,1,1,closed H1 ratchet,2,3552.649,3552.649,3647.443,0.0,0.0,0.0,0.0,2025.09.08 08:00:00
2025.09.09 14:00:00,entry,3,1,done at 3666.172,6,3666.172,3656.667,3694.567,0.04,38.02,10093.47,30.280409999999996,2025.09.09 14:00:00
2025.09.10 05:00:00,entry,1,1,done at 3643.046,8,3643.046,3609.495,3743.699,0.01,33.55,10055.2,30.165599999999998,2025.09.10 05:00:00
2025.09.11 00:00:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025.09.11 00:00:00
2025.09.15 14:00:00,entry,3,1,done at 3657.264,9,3657.264,3649.771,3679.743,0.05,37.46,10066.66,30.19998,2025.09.15 14:00:00
2025.09.15 16:00:00,entry,3,1,done at 3680.614,11,3680.614,3671.946,3706.618,0.04,34.68,10202.13,30.606389999999998,2025.09.15 16:00:00
2025.09.16 07:00:00,trail,1,1,closed H1 ratchet,8,3643.046,3643.046,3743.699,0.0,0.0,0.0,0.0,2025.09.16 07:00:00
2025.09.16 09:00:00,trail,3,1,closed H1 ratchet,11,3680.614,3680.614,3706.618,0.0,0.0,0.0,0.0,2025.09.16 09:00:00
2025.09.19 04:00:00,entry,1,1,done at 3653.777,14,3653.777,3623.405,3744.893,0.02,60.74,10159.48,30.478439999999996,2025.09.19 04:00:00
2025.09.19 14:00:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025.09.19 14:00:00
2025.09.22 07:00:00,trail,1,1,closed H1 ratchet,14,3653.777,3653.777,3744.893,0.0,0.0,0.0,0.0,2025.09.22 07:00:00
2025.09.22 07:00:00,entry,3,1,done at 3714.459,15,3714.459,3705.183,3742.255,0.04,37.11,10279.58,30.838739999999998,2025.09.22 07:00:00
2025.09.22 16:00:00,trail,3,1,closed H1 ratchet,15,3714.459,3714.459,3742.255,0.0,0.0,0.0,0.0,2025.09.22 16:00:00
2025.09.23 09:00:00,entry,3,1,done at 3774.398,18,3774.398,3764.475,3804.167,0.04,39.69,10451.64,31.354919999999996,2025.09.23 09:00:00
2025.09.25 08:00:00,entry,1,1,done at 3752.291,20,3752.291,3719.31,3851.234,0.01,32.98,10411.73,31.23519,2025.09.25 08:00:00
2025.09.25 19:00:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025.09.25 19:00:00
2025.09.26 04:00:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025.09.26 04:00:00
2025.09.26 08:00:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025.09.26 08:00:00
2025.09.26 12:00:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025.09.26 12:00:00
2025.09.29 01:00:00,entry,3,1,done at 3787.163,21,3787.163,3776.322,3819.686,0.03,32.52,10445.45,31.336350000000003,2025.09.29 01:00:00
2025.09.29 05:00:00,trail,1,1,closed H1 ratchet,20,3752.291,3752.291,3851.234,0.0,0.0,0.0,0.0,2025.09.29 05:00:00
2025.09.30 15:00:00,entry,1,1,done at 3854.147,24,3854.147,3809.067,3989.387,0.01,45.08,10476.33,31.42899,2025.09.30 15:00:00
2025.10.02 03:00:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025.10.02 03:00:00
2025.10.02 06:00:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025.10.02 06:00:00
2025.10.02 08:00:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025.10.02 08:00:00
2025.10.03 00:00:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025.10.03 00:00:00
2025.10.03 07:00:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025.10.03 07:00:00
