time,event,engine,dir,note,position_id,entry,sl,tp,volume,risk_cash,equity_before,requested_risk_cash,decision_bar
2021.09.10 06:00:00,entry,2,1,done at 1802.508,2,1802.508,1798.646,1804.439,0.08,30.89,10000.0,30.0,2021.09.10 06:00:00
2021.09.14 15:00:00,entry,2,1,done at 1804.788,4,1804.788,1799.513,1807.426,0.06,31.65,9968.6,29.9058,2021.09.14 15:00:00
2021.09.20 23:00:00,entry,2,1,done at 1764.305,6,1764.305,1760.139,1766.388,0.08,33.33,9984.11,29.952330000000003,2021.09.20 23:00:00
2021.09.30 15:00:00,entry,2,1,done at 1757.523,8,1757.523,1751.871,1760.349,0.06,33.91,9945.97,29.837909999999997,2021.09.30 15:00:00
2021.10.06 16:00:00,entry,2,1,done at 1762.175,10,1762.175,1757.456,1764.535,0.07,33.04,9962.68,29.88804,2021.10.06 16:00:00
2021.10.12 06:00:00,entry,2,1,done at 1761.941,12,1761.941,1759.441,1763.191,0.12,30.0,9978.84,29.93652,2021.10.12 06:00:00
2021.10.19 07:00:00,entry,2,1,done at 1778.994,14,1778.994,1776.332,1780.325,0.12,31.95,9948.17,29.84451,2021.10.19 07:00:00
2021.10.20 06:00:00,entry,2,1,done at 1776.671,16,1776.671,1773.949,1778.032,0.11,29.94,9963.98,29.891939999999998,2021.10.20 06:00:00
2021.11.01 16:00:00,entry,2,1,done at 1793.154,18,1793.154,1789.208,1795.127,0.08,31.57,9978.49,29.93547,2021.11.01 16:00:00
2021.11.04 14:00:00,entry,2,1,done at 1796.742,20,1796.742,1792.748,1798.739,0.08,31.96,9989.72,29.96916,2021.11.04 14:00:00
2021.11.17 13:00:00,entry,2,1,done at 1864.043,22,1864.043,1860.902,1865.614,0.1,31.41,10005.45,30.016350000000003,2021.11.17 13:00:00
2021.11.26 07:00:00,entry,2,1,done at 1801.401,24,1801.401,1798.309,1802.947,0.1,30.92,10021.03,30.063090000000003,2021.11.26 07:00:00
2021.12.03 19:00:00,entry,2,1,done at 1784.218,26,1784.218,1778.745,1786.955,0.06,32.84,10036.16,30.10848,2021.12.03 19:00:00
2021.12.16 02:00:00,entry,2,1,done at 1782.889,28,1782.889,1777.064,1785.802,0.06,34.95,10049.13,30.147389999999994,2021.12.16 02:00:00
2021.12.22 17:00:00,entry,2,1,done at 1798.432,30,1798.432,1795.364,1799.966,0.1,30.68,10066.54,30.19962,2021.12.22 17:00:00
2021.12.30 17:00:00,entry,2,1,done at 1813.642,32,1813.642,1810.236,1815.345,0.09,30.66,10081.46,30.244379999999996,2021.12.30 17:00:00
2022.01.04 19:00:00,entry,2,1,done at 1815.225,34,1815.225,1810.815,1817.43,0.07,30.87,10096.43,30.28929,2022.01.04 19:00:00
2022.01.10 20:00:00,entry,2,1,done at 1800.982,36,1800.982,1796.659,1803.144,0.08,34.59,10107.85,30.32355,2022.01.10 20:00:00
2022.01.19 14:00:00,entry,2,1,done at 1824.117,38,1824.117,1821.177,1825.587,0.11,32.34,10120.6,30.3618,2022.01.19 14:00:00
2022.02.01 06:00:00,entry,2,1,done at 1802.868,40,1802.868,1800.125,1804.24,0.12,32.92,10136.3,30.4089,2022.02.01 06:00:00
2022.02.11 16:00:00,entry,2,1,done at 1836.009,42,1836.009,1832.301,1837.863,0.09,33.37,10152.32,30.45696,2022.02.11 16:00:00
2022.02.23 15:00:00,entry,2,1,done at 1906.474,44,1906.474,1902.467,1908.478,0.08,32.05,10168.59,30.50577,2022.02.23 15:00:00
2022.03.17 08:00:00,entry,2,1,done at 1935.653,46,1935.653,1929.096,1938.932,0.05,32.79,10184.28,30.55284,2022.03.17 08:00:00
2022.03.21 19:00:00,entry,2,1,done at 1936.171,48,1936.171,1930.431,1939.041,0.06,34.44,10200.41,30.60123,2022.03.21 19:00:00
2022.03.30 15:00:00,entry,2,1,done at 1937.356,50,1937.356,1931.733,1940.168,0.06,33.74,10217.36,30.65208,2022.03.30 15:00:00
2022.04.07 12:00:00,entry,2,1,done at 1930.830,52,1930.83,1927.148,1932.671,0.09,33.14,10183.25,30.54975,2022.04.07 12:00:00
2022.04.29 02:00:00,entry,2,1,done at 1902.542,54,1902.542,1897.018,1905.304,0.06,33.14,10199.51,30.59853,2022.04.29 02:00:00
2022.05.04 19:00:00,entry,2,1,done at 1886.068,56,1886.068,1879.757,1889.224,0.05,31.55,10215.8,30.647399999999998,2022.05.04 19:00:00
2022.05.12 02:00:00,entry,2,1,done at 1857.315,58,1857.315,1850.706,1860.62,0.05,33.05,10231.31,30.693929999999995,2022.05.12 02:00:00
2022.05.17 00:00:00,entry,2,1,done at 1826.551,60,1826.551,1820.22,1829.717,0.05,31.66,10197.98,30.593939999999996,2022.05.17 00:00:00
2022.05.19 10:00:00,entry,2,1,done at 1829.751,62,1829.751,1825.798,1831.728,0.08,31.63,10213.58,30.64074,2022.05.19 10:00:00
2022.06.10 16:00:00,entry,2,1,done at 1867.462,64,1867.462,1859.505,1871.441,0.04,31.83,10229.03,30.68709,2022.06.10 16:00:00
2022.06.15 22:01:00,entry,2,1,done at 1833.554,66,1833.554,1825.492,1837.585,0.04,32.25,10244.73,30.734189999999998,2022.06.15 22:00:00
2022.06.22 14:00:00,entry,2,1,done at 1844.630,68,1844.63,1839.135,1847.378,0.06,32.97,10205.7,30.6171,2022.06.22 14:00:00
2022.06.23 14:00:00,entry,2,1,done at 1844.470,70,1844.47,1839.909,1846.751,0.07,31.93,10172.29,30.516870000000004,2022.06.23 14:00:00
