time,event,engine,dir,note,position_id,entry,sl,tp,volume,risk_cash,equity_before,requested_risk_cash,decision_bar
2021.09.14 15:00:00,entry,2,1,done at 1804.788,2,1804.788,1788.277,1821.299,0.02,33.03,10000.0,30.0,2021.09.14 15:00:00
2021.09.30 15:00:00,entry,2,1,done at 1757.523,4,1757.523,1740.477,1774.569,0.02,34.1,9962.58,29.887739999999997,2021.09.30 15:00:00
2021.10.15 11:00:00,entry,2,-1,done at 1781.025,6,1781.025,1789.437,1772.613,0.04,33.65,9988.02,29.96406,2021.10.15 11:00:00
2021.10.26 14:00:00,entry,2,-1,done at 1790.019,8,1790.019,1801.62,1778.418,0.03,34.8,10021.52,30.06456,2021.10.26 14:00:00
2021.11.04 13:00:00,entry,2,1,done at 1792.732,10,1792.732,1782.23,1803.234,0.03,31.51,9986.55,29.959649999999996,2021.11.04 13:00:00
2021.11.16 18:00:00,entry,2,-1,done at 1852.198,12,1852.198,1868.874,1835.522,0.02,33.35,10016.35,30.04905,2021.11.16 18:00:00
2021.11.30 17:00:00,entry,2,-1,done at 1774.553,14,1774.553,1795.71,1753.396,0.02,42.31,9982.82,29.94846,2021.11.30 17:00:00
2021.12.14 14:00:00,occupied,2,-1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021.12.14 14:00:00
2021.12.30 17:00:00,entry,2,1,done at 1813.642,16,1813.642,1803.563,1823.721,0.03,30.24,10025.04,30.075120000000002,2021.12.30 17:00:00
2022.01.03 15:00:00,entry,2,-1,done at 1802.908,18,1802.908,1815.047,1790.769,0.03,36.42,10053.5,30.1605,2022.01.03 15:00:00
2022.01.19 14:00:00,entry,2,1,done at 1824.117,20,1824.117,1815.815,1832.419,0.04,33.21,10016.89,30.050669999999997,2022.01.19 14:00:00
2022.01.26 16:00:00,entry,2,-1,done at 1834.156,22,1834.156,1846.104,1822.208,0.03,35.84,10049.94,30.14982,2022.01.26 16:00:00
2022.02.03 15:00:00,entry,2,-1,done at 1791.441,24,1791.441,1801.863,1781.019,0.03,31.27,10085.62,30.256860000000003,2022.02.03 15:00:00
2022.02.11 17:00:00,entry,2,1,done at 1836.968,26,1836.968,1825.467,1848.469,0.03,34.5,10054.17,30.162509999999997,2022.02.11 17:00:00
2022.02.23 16:00:00,entry,2,1,done at 1907.591,28,1907.591,1895.396,1919.786,0.03,36.58,10088.52,30.26556,2022.02.23 16:00:00
2022.03.09 15:00:00,entry,2,-1,done at 1986.722,30,1986.722,2023.255,1950.189,0.01,36.54,10120.19,30.360570000000003,2022.03.09 15:00:00
2022.05.04 19:00:00,entry,2,1,done at 1886.068,32,1886.068,1868.542,1903.594,0.02,35.06,10156.68,30.470039999999997,2022.05.04 19:00:00
2022.05.19 10:00:00,entry,2,1,done at 1829.751,34,1829.751,1818.933,1840.569,0.03,32.45,10188.42,30.56526,2022.05.19 10:00:00
2022.05.31 01:00:00,entry,2,-1,done at 1846.253,36,1846.253,1854.819,1837.687,0.04,34.27,10220.82,30.662459999999996,2022.05.31 01:00:00
2022.06.03 18:00:00,entry,2,-1,done at 1848.952,38,1848.952,1861.477,1836.427,0.03,37.57,10186.29,30.558870000000002,2022.06.03 18:00:00
2022.06.10 17:00:00,entry,2,1,done at 1871.845,40,1871.845,1844.256,1899.434,0.02,55.18,10223.7,30.671100000000003,2022.06.10 17:00:00
2022.06.13 14:00:00,entry,2,-1,done at 1830.620,42,1830.62,1849.0,1812.24,0.02,36.76,10167.29,30.501870000000004,2022.06.13 14:00:00
2022.06.22 14:00:00,entry,2,1,done at 1844.630,44,1844.63,1828.998,1860.262,0.02,31.26,10203.98,30.61194,2022.06.22 14:00:00
2022.06.23 14:00:00,entry,2,1,done at 1844.470,46,1844.47,1831.712,1857.228,0.03,38.27,10169.38,30.508139999999997,2022.06.23 14:00:00
2022.07.27 19:00:00,entry,2,1,done at 1734.996,48,1734.996,1721.177,1748.815,0.03,41.46,10130.93,30.39279,2022.07.27 19:00:00
2022.08.15 09:00:00,entry,2,-1,done at 1783.554,50,1783.554,1791.86,1775.248,0.04,33.22,10167.43,30.50229,2022.08.15 09:00:00
2022.09.13 13:00:00,entry,2,-1,done at 1703.798,52,1703.798,1718.031,1689.565,0.03,42.7,10200.45,30.601350000000004,2022.09.13 13:00:00
2022.09.22 13:00:00,entry,2,1,done at 1681.987,54,1681.987,1663.811,1700.163,0.02,36.35,10243.01,30.729029999999998,2022.09.22 13:00:00
2022.09.28 15:00:00,entry,2,1,done at 1650.632,56,1650.632,1628.04,1673.224,0.02,45.18,10205.45,30.61635,2022.09.28 15:00:00
2022.10.13 13:00:00,entry,2,-1,done at 1654.566,58,1654.566,1671.328,1637.804,0.02,33.53,10246.28,30.73884,2022.10.13 13:00:00
2022.10.21 16:00:00,entry,2,1,done at 1651.036,60,1651.036,1630.027,1672.045,0.02,42.02,10212.62,30.63786,2022.10.21 16:00:00
2022.11.02 22:01:00,entry,2,-1,done at 1634.922,62,1634.922,1653.014,1616.83,0.02,36.19,10251.38,30.754139999999996,2022.11.02 22:00:00
