time,event,engine,dir,note,position_id,entry,sl,tp,volume,risk_cash,equity_before,requested_risk_cash,decision_bar
2021.09.06 15:00:00,entry,2,-1,done at 1821.764,2,1821.764,1825.936,1813.42,0.08,33.38,10000.0,30.0,2021.09.06 15:00:00
2021.09.07 01:00:00,entry,1,1,done at 1826.198,4,1826.198,1822.203,1834.188,0.08,31.96,9966.05,29.898149999999998,2021.09.07 01:00:00
2021.09.07 02:00:00,entry,2,1,done at 1826.714,5,1826.714,1822.748,1834.646,0.08,31.73,9968.25,29.90475,2021.09.07 02:00:00
2021.09.07 05:00:00,entry,2,-1,done at 1821.552,8,1821.552,1825.681,1813.294,0.08,33.03,9901.31,29.703929999999996,2021.09.07 05:00:00
2021.09.07 06:00:00,entry,3,-1,done at 1818.345,9,1818.345,1822.892,1809.251,0.07,31.82,9925.03,29.77509,2021.09.07 06:00:00
2021.09.07 09:00:00,occupied,3,-1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021.09.07 09:00:00
2021.09.07 10:00:00,occupied,3,-1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021.09.07 10:00:00
2021.09.07 15:00:00,entry,3,-1,done at 1796.732,12,1796.732,1805.815,1778.566,0.04,36.33,10030.29,30.09087,2021.09.07 15:00:00
2021.09.08 14:00:00,occupied,3,-1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021.09.08 14:00:00
2021.09.09 12:00:00,entry,2,1,done at 1799.177,13,1799.177,1793.814,1809.903,0.06,32.18,10020.29,30.06087,2021.09.09 12:00:00
2021.09.09 12:00:00,occupied,3,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021.09.09 12:00:00
2021.09.09 15:00:00,entry,2,-1,done at 1789.025,15,1789.025,1797.232,1772.611,0.04,32.83,10027.73,30.08319,2021.09.09 15:00:00
2021.09.09 18:00:00,entry,2,1,done at 1797.146,17,1797.146,1788.12,1815.198,0.04,36.1,9962.68,29.88804,2021.09.09 18:00:00
2021.09.10 06:00:00,occupied,3,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021.09.10 06:00:00
2021.09.10 16:00:00,occupied,2,-1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021.09.10 16:00:00
2021.09.13 05:00:00,entry,1,-1,done at 1790.910,19,1790.91,1796.883,1778.964,0.05,29.87,9948.41,29.845229999999997,2021.09.13 05:00:00
