deal,time,time_msc,symbol,position_id,magic,type,entry,reason,volume,price,profit,commission,swap,fee,comment
1,2026.03.05 00:00:00,1772668800000,,0,0,2,0,0,0.0,0.0,10000.0,0.0,0.0,0.0,
2,2026.03.09 23:00:00,1773097200012,XAUUSD,2,91330002,0,0,3,0.02,5153.077,0.0,-0.11,0.0,0.0,3WG|2
3,2026.03.10 00:34:04,1773102844982,XAUUSD,2,91330002,1,1,4,0.02,5124.706,-56.74,0.0,-1.07,0.0,sl 5124.817
4,2026.03.10 02:00:00,1773108000259,XAUUSD,4,91330003,0,0,3,0.01,5184.348,0.0,-0.06,0.0,0.0,3WG|3
5,2026.03.10 18:18:37,1773166717608,XAUUSD,4,91330003,1,1,4,0.01,5184.064,-0.29,0.0,0.0,0.0,sl 5184.348
6,2026.03.25 01:00:00,1774400400095,XAUUSD,6,91330002,0,0,3,0.01,4563.454,0.0,-0.06,0.0,0.0,3WG|2
7,2026.03.25 01:36:01,1774402561777,XAUUSD,6,91330002,1,1,5,0.01,4587.004,23.55,0.0,0.0,0.0,tp 4586.950
8,2026.03.27 16:00:00,1774627200041,XAUUSD,8,91330002,0,0,3,0.01,4524.247,0.0,-0.06,0.0,0.0,3WG|2
9,2026.03.27 17:25:21,1774632321347,XAUUSD,8,91330002,1,1,4,0.01,4493.264,-30.99,0.0,0.0,0.0,sl 4493.289
10,2026.03.31 02:00:00,1774922400135,XAUUSD,10,91330003,0,0,3,0.01,4605.163,0.0,-0.06,0.0,0.0,3WG|3
11,2026.03.31 02:48:13,1774925293287,XAUUSD,10,91330003,1,1,4,0.01,4572.194,-32.97,0.0,0.0,0.0,sl 4572.228
12,2026.04.02 15:00:00,1775142000029,XAUUSD,12,91330001,0,0,3,0.01,4681.743,0.0,-0.06,0.0,0.0,3WG|1
13,2026.04.07 23:00:00,1775602800168,XAUUSD,13,91330003,0,0,3,0.01,4818.61,0.0,-0.06,0.0,0.0,3WG|3
14,2026.04.08 09:43:19,1775641399356,XAUUSD,13,91330003,1,1,4,0.01,4783.39,-35.22,0.0,-0.53,0.0,sl 4783.425
15,2026.04.12 22:06:02,1776031562568,XAUUSD,12,91330001,1,1,4,0.01,4670.393,-11.35,0.0,-4.78,0.0,sl 4681.743
16,2026.04.15 14:00:00,1776261600085,XAUUSD,16,91330001,0,0,3,0.01,4828.725,0.0,-0.06,0.0,0.0,3WG|1
17,2026.04.16 14:40:51,1776350451401,XAUUSD,16,91330001,1,1,4,0.01,4774.792,-53.94,0.0,-1.6,0.0,sl 4775.008
18,2026.04.17 13:00:00,1776430800132,XAUUSD,18,91330002,0,0,3,0.02,4846.561,0.0,-0.11,0.0,0.0,3WG|2
19,2026.04.17 13:00:00,1776430800133,XAUUSD,19,91330003,0,0,3,0.02,4846.561,0.0,-0.11,0.0,0.0,3WG|3
20,2026.04.17 13:07:49,1776431269376,XAUUSD,18,91330002,1,1,5,0.02,4855.57,18.02,0.0,0.0,0.0,tp 4855.374
21,2026.04.17 20:05:48,1776456348288,XAUUSD,19,91330003,1,1,4,0.02,4846.336,-0.45,0.0,0.0,0.0,sl 4846.561
22,2026.04.30 11:00:00,1777546800088,XAUUSD,22,91330002,0,0,3,0.02,4639.822,0.0,-0.11,0.0,0.0,3WG|2
23,2026.04.30 13:46:47,1777556807493,XAUUSD,22,91330002,1,1,4,0.02,4619.587,-40.47,0.0,0.0,0.0,sl 4619.878
24,2026.05.01 16:00:00,1777651200086,XAUUSD,24,91330002,0,0,3,0.02,4643.153,0.0,-0.11,0.0,0.0,3WG|2
25,2026.05.01 18:12:40,1777659160272,XAUUSD,24,91330002,1,1,4,0.02,4621.056,-44.2,0.0,0.0,0.0,sl 4621.185
26,2026.05.06 00:00:00,1778025600116,XAUUSD,26,91330002,0,0,3,0.02,4594.025,0.0,-0.11,0.0,0.0,3WG|2
27,2026.05.06 00:23:54,1778027034224,XAUUSD,26,91330002,1,1,5,0.02,4602.554,17.06,0.0,0.0,0.0,tp 4602.448
28,2026.05.07 07:00:00,1778137200038,XAUUSD,28,91330003,0,0,3,0.02,4739.444,0.0,-0.11,0.0,0.0,3WG|3
29,2026.05.07 15:26:47,1778167607579,XAUUSD,28,91330003,1,1,4,0.02,4739.43,-0.03,0.0,0.0,0.0,sl 4739.444
30,2026.05.08 02:00:00,1778205600112,XAUUSD,30,91330001,0,0,3,0.01,4722.906,0.0,-0.06,0.0,0.0,3WG|1
31,2026.05.11 05:52:15,1778478735588,XAUUSD,30,91330001,1,1,4,0.01,4653.253,-69.66,0.0,-0.53,0.0,sl 4653.449
32,2026.05.12 20:00:00,1778616000065,XAUUSD,32,91330001,0,0,3,0.01,4715.914,0.0,-0.06,0.0,0.0,3WG|1
33,2026.05.14 19:47:26,1778788046236,XAUUSD,32,91330001,1,1,4,0.01,4654.757,-61.15,0.0,-2.13,0.0,sl 4654.813
