deal,time,time_msc,symbol,position_id,magic,type,entry,reason,volume,price,profit,commission,swap,fee,comment
1,2025.09.05 00:00:00,1757030400000,,0,0,2,0,0,0.0,0.0,10000.0,0.0,0.0,0.0,
2,2025.09.05 00:00:00,1757030400500,XAUUSD,2,91330001,0,0,3,0.01,3552.671,0.0,-0.06,0.0,0.0,3WG|1
3,2025.09.05 13:00:00,1757077200500,XAUUSD,3,91330003,0,0,3,0.04,3580.305,0.0,-0.22,0.0,0.0,3WG|3
4,2025.09.05 14:29:29,1757082569567,XAUUSD,3,91330003,1,1,4,0.04,3580.296,-0.04,0.0,0.0,0.0,sl 3580.305
5,2025.09.09 01:49:39,1757382579847,XAUUSD,2,91330001,1,1,5,0.01,3647.455,94.79,0.0,-1.06,0.0,tp 3647.443
6,2025.09.09 14:00:00,1757426400500,XAUUSD,6,91330003,0,0,3,0.04,3666.315,0.0,-0.22,0.0,0.0,3WG|3
7,2025.09.09 14:04:02,1757426642323,XAUUSD,6,91330003,1,1,4,0.04,3656.66,-38.62,0.0,0.0,0.0,sl 3656.667
8,2025.09.10 05:00:00,1757480400500,XAUUSD,8,91330001,0,0,3,0.01,3643.07,0.0,-0.06,0.0,0.0,3WG|1
9,2025.09.15 14:00:00,1757944800500,XAUUSD,9,91330003,0,0,3,0.05,3657.298,0.0,-0.28,0.0,0.0,3WG|3
10,2025.09.15 15:56:14,1757951774259,XAUUSD,9,91330003,1,1,5,0.05,3679.743,112.23,0.0,0.0,0.0,tp 3679.743
11,2025.09.15 16:00:01,1757952001000,XAUUSD,11,91330003,0,0,3,0.04,3680.67,0.0,-0.22,0.0,0.0,3WG|3
12,2025.09.16 15:09:39,1758035379757,XAUUSD,11,91330003,1,1,4,0.04,3680.668,-0.01,0.0,-2.14,0.0,sl 3680.670
13,2025.09.18 06:05:27,1758175527049,XAUUSD,8,91330001,1,1,4,0.01,3643.068,0.0,0.0,-5.32,0.0,sl 3643.070
14,2025.09.19 16:00:00,1758297600500,XAUUSD,14,91330002,0,0,3,0.04,3670.851,0.0,-0.22,0.0,0.0,3WG|2
15,2025.09.19 17:45:36,1758303936420,XAUUSD,14,91330002,1,1,5,0.04,3675.815,19.86,0.0,0.0,0.0,tp 3675.811
16,2025.09.22 07:00:00,1758524400500,XAUUSD,16,91330003,0,0,3,0.04,3714.468,0.0,-0.22,0.0,0.0,3WG|3
17,2025.09.22 12:24:20,1758543860366,XAUUSD,16,91330003,1,1,4,0.04,3714.454,-0.05,0.0,0.0,0.0,sl 3714.468
