time,event,engine,dir,note,position_id,entry,sl,tp,volume,risk_cash,equity_before,requested_risk_cash,decision_bar
2025.09.05 00:00:00,entry,1,1,done at 3552.671,2,3552.671,3521.051,3647.443,0.01,31.62,10000.0,30.0,2025.09.05 00:00:00
2025.09.05 13:00:00,entry,3,1,done at 3580.305,3,3580.305,3571.422,3607.07,0.04,35.53,10027.57,30.08271,2025.09.05 13:00:00
2025.09.05 14:00:00,trail,3,1,closed H1 ratchet,3,3580.305,3580.305,3607.07,0.0,0.0,0.0,0.0,2025.09.05 14:00:00
2025.09.05 14:00:00,trail,1,1,closed H1 ratchet,2,3552.671,3552.671,3647.443,0.0,0.0,0.0,0.0,2025.09.05 14:00:00
2025.09.05 14:00:00,occupied,3,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025.09.05 14:00:00
2025.09.08 06:00:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025.09.08 06:00:00
2025.09.09 14:00:00,entry,3,1,done at 3666.315,6,3666.315,3656.667,3694.567,0.04,38.59,10093.41,30.280229999999996,2025.09.09 14:00:00
2025.09.10 05:00:00,entry,1,1,done at 3643.070,8,3643.07,3609.495,3743.699,0.01,33.57,10054.57,30.163709999999995,2025.09.10 05:00:00
2025.09.10 18:00:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025.09.10 18:00:00
2025.09.15 14:00:00,entry,3,1,done at 3657.298,9,3657.298,3649.771,3679.743,0.05,37.63,10066.01,30.19803,2025.09.15 14:00:00
2025.09.15 16:00:00,trail,1,1,closed H1 ratchet,8,3643.07,3643.07,3743.699,0.0,0.0,0.0,0.0,2025.09.15 16:00:00
2025.09.15 16:00:00,entry,3,1,done at 3680.670,11,3680.67,3671.974,3706.646,0.04,34.78,10201.34,30.604020000000002,2025.09.15 16:00:00
2025.09.16 07:00:00,trail,3,1,closed H1 ratchet,11,3680.67,3680.67,3706.646,0.0,0.0,0.0,0.0,2025.09.16 07:00:00
2025.09.19 16:00:00,entry,2,1,done at 3670.851,14,3670.851,3660.86,3675.811,0.04,39.96,10158.77,30.476309999999998,2025.09.19 16:00:00
2025.09.22 07:00:00,entry,3,1,done at 3714.468,16,3714.468,3705.183,3742.255,0.04,37.14,10178.41,30.53523,2025.09.22 07:00:00
2025.09.22 11:00:00,trail,3,1,closed H1 ratchet,16,3714.468,3714.468,3742.255,0.0,0.0,0.0,0.0,2025.09.22 11:00:00
2025.09.23 09:00:00,entry,3,1,done at 3774.395,18,3774.395,3764.475,3804.167,0.04,39.68,10178.14,30.534419999999997,2025.09.23 09:00:00
2025.09.23 10:00:00,trail,3,1,closed H1 ratchet,18,3774.395,3774.395,3804.167,0.0,0.0,0.0,0.0,2025.09.23 10:00:00
2025.09.24 12:00:00,entry,1,1,done at 3769.049,20,3769.049,3737.273,3864.377,0.01,31.78,10177.89,30.533669999999997,2025.09.24 12:00:00
2025.09.25 08:00:00,entry,1,1,done at 3752.385,22,3752.385,3719.31,3851.234,0.01,33.08,10146.04,30.438120000000005,2025.09.25 08:00:00
2025.09.26 12:00:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025.09.26 12:00:00
2025.09.29 01:00:00,trail,1,1,closed H1 ratchet,22,3752.385,3752.385,3851.234,0.0,0.0,0.0,0.0,2025.09.29 01:00:00
2025.09.29 01:00:00,entry,3,1,done at 3787.349,23,3787.349,3776.405,3819.769,0.03,32.83,10179.74,30.53922,2025.09.29 01:00:00
2025.09.30 15:00:00,entry,1,1,done at 3854.156,26,3854.156,3809.067,3989.387,0.01,45.09,10210.23,30.63069,2025.09.30 15:00:00
2025.10.01 20:00:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025.10.01 20:00:00
2025.10.03 00:00:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025.10.03 00:00:00
2025.10.03 07:00:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025.10.03 07:00:00
