time,event,engine,dir,note,position_id,entry,sl,tp,volume,risk_cash,equity_before,requested_risk_cash,decision_bar
2026.03.10 02:00:00,entry,3,1,done at 5184.348,2,5184.348,5153.856,5275.824,0.01,30.49,10000.0,30.0,2026.03.10 02:00:00
2026.03.25 01:00:00,entry,2,1,done at 4563.454,4,4563.454,4518.276,4608.632,0.01,45.17,9968.77,29.906309999999998,2026.03.25 01:00:00
2026.03.31 02:00:00,entry,3,1,done at 4605.163,6,4605.163,4572.228,4703.968,0.01,32.93,9923.54,29.770620000000005,2026.03.31 02:00:00
2026.04.02 15:00:00,entry,1,1,done at 4681.743,8,4681.743,4549.013,5079.934,0.01,132.73,9890.51,29.671529999999997,2026.04.02 15:00:00
2026.04.02 19:00:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026.04.02 19:00:00
2026.04.06 05:00:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026.04.06 05:00:00
2026.04.07 09:00:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026.04.07 09:00:00
2026.04.07 23:00:00,entry,3,1,done at 4818.610,9,4818.61,4783.425,4924.165,0.01,35.18,10025.63,30.07689,2026.04.07 23:00:00
2026.04.09 11:00:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026.04.09 11:00:00
2026.04.13 17:00:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026.04.13 17:00:00
2026.04.15 14:00:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026.04.15 14:00:00
2026.04.17 05:00:01,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026.04.17 05:00:00
2026.04.17 12:00:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026.04.17 12:00:00
2026.04.17 13:00:00,entry,2,1,done at 4846.561,11,4846.561,4830.627,4862.495,0.02,31.87,10011.39,30.03417,2026.04.17 13:00:00
2026.04.17 13:00:00,entry,3,1,done at 4846.561,12,4846.561,4830.627,4894.363,0.02,31.87,10011.09,30.033269999999998,2026.04.17 13:00:00
2026.04.17 14:00:00,trail,3,1,closed H1 ratchet,12,4846.561,4846.561,4894.363,0.0,0.0,0.0,0.0,2026.04.17 14:00:00
2026.04.17 14:00:00,occupied,3,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026.04.17 14:00:00
2026.04.20 12:00:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026.04.20 12:00:00
2026.04.30 11:00:00,entry,2,1,done at 4639.822,16,4639.822,4619.136,4660.508,0.02,41.37,9739.87,29.219610000000003,2026.04.30 11:00:00
2026.05.07 07:00:00,entry,3,1,done at 4739.444,18,4739.444,4719.482,4799.331,0.02,39.93,9697.65,29.092949999999995,2026.05.07 07:00:00
2026.05.08 02:00:00,entry,1,1,done at 4722.906,20,4722.906,4653.449,4931.277,0.01,69.46,9657.47,28.972409999999996,2026.05.08 02:00:00
2026.05.08 06:00:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026.05.08 06:00:00
2026.05.08 09:00:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026.05.08 09:00:00
2026.05.08 11:00:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026.05.08 11:00:00
2026.05.11 13:00:00,entry,1,1,done at 4700.018,22,4700.018,4644.155,4867.607,0.01,55.86,9587.22,28.761659999999996,2026.05.11 13:00:00
2026.05.12 20:00:00,entry,1,1,done at 4715.914,24,4715.914,4654.813,4899.217,0.01,61.1,9530.73,28.592189999999995,2026.05.12 20:00:00
2026.05.13 06:00:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026.05.13 06:00:00
2026.05.13 08:00:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026.05.13 08:00:00
2026.05.13 23:00:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026.05.13 23:00:00
2026.05.14 05:00:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026.05.14 05:00:00
2026.05.29 15:00:00,entry,3,1,done at 4564.427,26,4564.427,4547.771,4614.395,0.02,33.31,9467.39,28.402169999999998,2026.05.29 15:00:00
2026.05.29 16:00:00,occupied,3,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026.05.29 16:00:00
2026.06.02 07:00:00,entry,2,1,done at 4535.602,28,4535.602,4517.907,4553.297,0.02,35.39,9433.93,28.30179,2026.06.02 07:00:00
2026.06.04 12:00:00,entry,2,1,done at 4511.409,30,4511.409,4493.215,4529.603,0.02,36.39,9398.43,28.19529,2026.06.04 12:00:00
2026.06.11 23:00:00,entry,2,1,done at 4243.539,32,4243.539,4212.246,4274.832,0.01,31.29,9361.88,28.085639999999998,2026.06.11 23:00:00
2026.06.14 23:00:00,entry,3,1,done at 4285.614,34,4285.614,4261.207,4358.835,0.02,48.82,9329.95,27.98985,2026.06.14 23:00:00
2026.06.15 03:00:00,trail,3,1,closed H1 ratchet,34,4285.614,4285.614,4358.835,0.0,0.0,0.0,0.0,2026.06.15 03:00:00
2026.06.17 01:00:00,entry,1,1,done at 4336.968,36,4336.968,4296.395,4458.919,0.01,40.57,9476.4,28.429199999999994,2026.06.17 01:00:00
2026.06.17 18:00:00,entry,3,1,done at 4379.823,37,4379.823,4365.312,4423.357,0.02,29.03,9519.13,28.557389999999995,2026.06.17 18:00:00
2026.06.18 02:00:00,entry,1,1,done at 4318.183,40,4318.183,4239.034,4555.63,0.01,79.15,9405.27,28.21581,2026.06.18 02:00:00
2026.06.18 04:00:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026.06.18 04:00:00
2026.07.01 14:00:00,entry,2,1,done at 4089.644,42,4089.644,4070.332,4108.956,0.02,38.63,9326.01,27.97803,2026.07.01 14:00:00
2026.07.01 14:00:00,entry,3,1,done at 4089.644,43,4089.644,4070.332,4147.58,0.02,38.63,9325.8,27.9774,2026.07.01 14:00:00
2026.07.02 13:00:00,entry,3,1,done at 4117.823,46,4117.823,4098.713,4175.154,0.02,38.22,9325.72,27.977159999999998,2026.07.02 13:00:00
2026.07.03 01:00:00,trail,3,1,closed H1 ratchet,46,4117.823,4117.823,4175.154,0.0,0.0,0.0,0.0,2026.07.03 01:00:00
2026.07.03 02:00:00,entry,3,1,done at 4182.532,48,4182.532,4160.486,4248.67,0.02,44.09,9439.21,28.317629999999994,2026.07.03 02:00:00
2026.07.07 12:00:00,entry,1,1,done at 4156.811,50,4156.811,4116.735,4277.039,0.01,40.07,9394.86,28.18458,2026.07.07 12:00:00
2026.07.22 01:00:00,entry,3,1,done at 4097.549,52,4097.549,4084.14,4137.776,0.03,40.23,9354.14,28.062419999999996,2026.07.22 01:00:00
2026.07.22 02:00:00,trail,3,1,closed H1 ratchet,52,4097.549,4097.549,4137.776,0.0,0.0,0.0,0.0,2026.07.22 02:00:00
2026.07.22 02:00:00,occupied,3,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026.07.22 02:00:00
2026.07.22 14:00:00,entry,3,1,done at 4154.666,54,4154.666,4140.024,4198.592,0.02,29.28,9475.77,28.427310000000002,2026.07.22 14:00:00
2026.07.27 20:00:00,entry,1,1,done at 4083.664,56,4083.664,4044.034,4202.338,0.01,39.63,9446.28,28.33884,2026.07.27 20:00:00
2026.07.29 19:00:00,entry,3,1,done at 4106.731,58,4106.731,4089.99,4156.954,0.02,33.48,9406.0,28.217999999999996,2026.07.29 19:00:00
2026.08.05 01:00:00,entry,1,1,done at 4082.570,60,4082.57,4037.405,4218.065,0.01,45.16,9372.31,28.116929999999996,2026.08.05 01:00:00
2026.08.05 03:00:00,entry,3,1,done at 4129.390,61,4129.39,4112.368,4180.456,0.02,34.04,9419.03,28.25709,2026.08.05 03:00:00
2026.08.05 06:00:00,trail,3,1,closed H1 ratchet,61,4129.39,4129.39,4180.456,0.0,0.0,0.0,0.0,2026.08.05 06:00:00
2026.08.05 06:00:00,trail,1,1,closed H1 ratchet,60,4082.57,4082.57,4218.065,0.0,0.0,0.0,0.0,2026.08.05 06:00:00
2026.08.05 06:00:00,occupied,3,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026.08.05 06:00:00
2026.08.05 15:00:00,entry,3,1,done at 4244.076,64,4244.076,4224.32,4303.344,0.02,39.51,9609.82,28.829459999999997,2026.08.05 15:00:00
2026.08.06 00:00:00,trail,3,1,closed H1 ratchet,64,4244.076,4244.076,4303.344,0.0,0.0,0.0,0.0,2026.08.06 00:00:00
2026.08.07 00:00:00,entry,1,1,done at 4252.534,66,4252.534,4196.923,4419.367,0.01,55.61,9725.57,29.17671,2026.08.07 00:00:00
2026.08.07 02:00:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026.08.07 02:00:00
2026.08.07 13:00:00,trail,1,1,closed H1 ratchet,66,4252.534,4252.534,4419.367,0.0,0.0,0.0,0.0,2026.08.07 13:00:00
2026.08.07 13:00:00,entry,3,1,done at 4361.428,67,4361.428,4342.331,4418.719,0.02,38.2,9834.36,29.50308,2026.08.07 13:00:00
2026.08.11 02:00:00,entry,3,1,done at 4429.835,70,4429.835,4412.858,4481.054,0.02,33.95,9852.91,29.55873,2026.08.11 02:00:00
2026.08.11 11:00:00,entry,1,1,done at 4382.424,72,4382.424,4324.951,4554.843,0.01,57.47,9818.68,29.456039999999998,2026.08.11 11:00:00
2026.08.12 01:00:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026.08.12 01:00:00
2026.08.12 13:00:00,entry,3,1,done at 4437.332,73,4437.332,4421.111,4485.996,0.02,32.44,9872.95,29.618850000000002,2026.08.12 13:00:00
2026.08.13 13:00:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026.08.13 13:00:00
2026.08.14 12:00:00,entry,1,1,done at 4369.266,76,4369.266,4322.21,4510.434,0.01,47.06,9725.56,29.176679999999998,2026.08.14 12:00:00
2026.08.17 14:00:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026.08.17 14:00:00
2026.08.19 13:00:00,entry,3,1,done at 4438.890,77,4438.89,4422.006,4489.542,0.02,33.77,9793.48,29.38044,2026.08.19 13:00:00
2026.08.19 14:00:00,trail,1,1,closed H1 ratchet,76,4369.266,4369.266,4510.434,0.0,0.0,0.0,0.0,2026.08.19 14:00:00
2026.08.19 14:00:00,entry,2,1,done at 4459.607,78,4459.607,4441.047,4478.167,0.02,37.12,9855.42,29.566259999999996,2026.08.19 14:00:00
2026.08.19 14:00:00,occupied,3,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026.08.19 14:00:00
2026.08.19 15:00:00,entry,3,1,done at 4488.287,81,4488.287,4468.13,4548.758,0.02,40.31,9981.47,29.944409999999998,2026.08.19 15:00:00
2026.08.19 22:00:30,trail,3,1,closed H1 ratchet,81,4488.287,4488.287,4548.758,0.0,0.0,0.0,0.0,2026.08.19 22:00:00
2026.08.24 20:00:00,entry,1,1,done at 4651.925,84,4651.925,4582.564,4860.008,0.01,69.37,10000.54,30.001620000000003,2026.08.24 20:00:00
2026.08.25 12:00:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026.08.25 12:00:00
2026.08.25 16:00:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026.08.25 16:00:00
2026.08.27 00:00:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026.08.27 00:00:00
2026.08.27 02:00:00,occupied,1,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026.08.27 02:00:00
2026.09.03 02:00:00,entry,2,1,done at 4410.598,86,4410.598,4392.624,4428.572,0.02,35.95,9928.45,29.785350000000005,2026.09.03 02:00:00
2026.09.03 13:00:00,entry,3,1,done at 4493.547,88,4493.547,4476.831,4543.695,0.02,33.43,9964.79,29.894370000000002,2026.09.03 13:00:00
