deal,time,time_msc,symbol,position_id,magic,type,entry,reason,volume,price,profit,commission,swap,fee,comment
1,2021.09.05 00:00:00,1630800000000,,0,0,2,0,0,0.0,0.0,10000.0,0.0,0.0,0.0,
2,2021.09.06 15:00:00,1630940400001,XAUUSD,2,91330002,1,0,3,0.08,1821.764,0.0,-0.44,0.0,0.0,3WG|2
3,2021.09.07 00:33:25,1630974805000,XAUUSD,2,91330002,0,1,4,0.08,1825.953,-33.51,0.0,0.0,0.0,sl 1825.936
4,2021.09.07 01:00:00,1630976400001,XAUUSD,4,91330001,0,0,3,0.08,1826.198,0.0,-0.44,0.0,0.0,3WG|1
5,2021.09.07 02:00:00,1630980000001,XAUUSD,5,91330002,0,0,3,0.08,1826.714,0.0,-0.44,0.0,0.0,3WG|2
6,2021.09.07 03:47:13,1630986433000,XAUUSD,5,91330002,1,1,4,0.08,1822.735,-31.83,0.0,0.0,0.0,sl 1822.748
7,2021.09.07 04:19:26,1630988366000,XAUUSD,4,91330001,1,1,4,0.08,1822.194,-32.03,0.0,0.0,0.0,sl 1822.203
8,2021.09.07 05:00:00,1630990800001,XAUUSD,8,91330002,1,0,3,0.08,1821.552,0.0,-0.44,0.0,0.0,3WG|2
9,2021.09.07 06:00:00,1630994400001,XAUUSD,9,91330003,1,0,3,0.07,1818.345,0.0,-0.39,0.0,0.0,3WG|3
10,2021.09.07 08:20:11,1631002811000,XAUUSD,8,91330002,0,1,5,0.08,1813.286,66.13,0.0,0.0,0.0,tp 1813.294
11,2021.09.07 11:16:36,1631013396562,XAUUSD,9,91330003,0,1,5,0.07,1809.249,63.68,0.0,0.0,0.0,tp 1809.251
12,2021.09.07 15:00:00,1631026800001,XAUUSD,12,91330003,1,0,3,0.04,1796.732,0.0,-0.22,0.0,0.0,3WG|3
13,2021.09.09 12:00:00,1631188800001,XAUUSD,13,91330002,0,0,3,0.06,1799.177,0.0,-0.33,0.0,0.0,3WG|2
14,2021.09.09 12:37:35,1631191055395,XAUUSD,13,91330002,1,1,4,0.06,1793.786,-32.34,0.0,0.0,0.0,sl 1793.814
15,2021.09.09 15:00:00,1631199600001,XAUUSD,15,91330002,1,0,3,0.04,1789.025,0.0,-0.22,0.0,0.0,3WG|2
16,2021.09.09 17:10:29,1631207429565,XAUUSD,15,91330002,0,1,4,0.04,1797.237,-32.85,0.0,0.0,0.0,sl 1797.232
17,2021.09.09 18:00:00,1631210400001,XAUUSD,17,91330002,0,0,3,0.04,1797.146,0.0,-0.22,0.0,0.0,3WG|2
18,2021.09.10 19:52:14,1631303534000,XAUUSD,17,91330002,1,1,4,0.04,1788.12,-36.1,0.0,-2.14,0.0,sl 1788.120
19,2021.09.13 05:00:00,1631509200001,XAUUSD,19,91330001,1,0,3,0.05,1790.91,0.0,-0.28,0.0,0.0,3WG|1
20,2021.09.13 14:07:37,1631542057078,XAUUSD,19,91330001,0,1,4,0.05,1796.906,-29.98,0.0,0.0,0.0,sl 1796.883
21,2021.09.13 15:00:00,1631545200001,XAUUSD,21,91330002,0,0,3,0.04,1796.265,0.0,-0.22,0.0,0.0,3WG|2
22,2021.09.14 08:11:36,1631607096666,XAUUSD,21,91330002,1,1,4,0.04,1788.207,-32.23,0.0,-2.14,0.0,sl 1788.221
23,2021.09.14 14:42:36,1631630556716,XAUUSD,12,91330003,0,1,4,0.04,1805.823,-36.36,0.0,0.0,0.0,sl 1805.815
24,2021.09.14 15:00:00,1631631600001,XAUUSD,24,91330002,0,0,3,0.03,1804.788,0.0,-0.17,0.0,0.0,3WG|2
25,2021.09.14 15:00:00,1631631600002,XAUUSD,25,91330003,0,0,3,0.03,1804.788,0.0,-0.17,0.0,0.0,3WG|3
26,2021.09.15 13:00:00,1631710800001,XAUUSD,26,91330001,1,0,3,0.05,1796.524,0.0,-0.28,0.0,0.0,3WG|1
27,2021.09.15 14:08:31,1631714911200,XAUUSD,24,91330002,1,1,4,0.03,1794.237,-31.65,0.0,-1.6,0.0,sl 1794.239
28,2021.09.15 14:08:31,1631714911200,XAUUSD,25,91330003,1,1,4,0.03,1794.237,-31.65,0.0,-1.6,0.0,sl 1794.239
29,2021.09.15 15:00:00,1631718000001,XAUUSD,29,91330003,1,0,3,0.04,1793.974,0.0,-0.22,0.0,0.0,3WG|3
30,2021.09.16 06:11:27,1631772687692,XAUUSD,26,91330001,0,1,5,0.05,1784.594,59.65,0.0,0.0,0.0,tp 1784.604
31,2021.09.16 09:53:25,1631786005274,XAUUSD,29,91330003,0,1,5,0.04,1779.287,58.75,0.0,0.0,0.0,tp 1779.310
32,2021.09.16 10:00:00,1631786400001,XAUUSD,32,91330003,1,0,3,0.05,1777.727,0.0,-0.28,0.0,0.0,3WG|3
33,2021.09.16 12:30:39,1631795439099,XAUUSD,32,91330003,0,1,5,0.05,1765.137,62.95,0.0,0.0,0.0,tp 1765.139
34,2021.09.16 13:00:00,1631797200001,XAUUSD,34,91330003,1,0,3,0.04,1762.522,0.0,-0.22,0.0,0.0,3WG|3
35,2021.09.20 02:24:24,1632104664421,XAUUSD,34,91330003,0,1,5,0.04,1743.93,74.37,0.0,0.0,0.0,tp 1743.944
36,2021.09.20 11:00:00,1632135600001,XAUUSD,36,91330002,0,0,3,0.04,1757.133,0.0,-0.22,0.0,0.0,3WG|2
37,2021.09.20 15:00:00,1632150000001,XAUUSD,37,91330003,0,0,3,0.04,1765.276,0.0,-0.22,0.0,0.0,3WG|3
38,2021.09.21 12:25:40,1632227140194,XAUUSD,36,91330002,1,1,5,0.04,1772.918,63.14,0.0,-2.14,0.0,tp 1772.911
39,2021.09.22 18:05:42,1632333942580,XAUUSD,37,91330003,1,1,5,0.04,1785.155,79.52,0.0,-4.28,0.0,tp 1785.142
40,2021.09.22 19:00:00,1632337200001,XAUUSD,40,91330002,1,0,3,0.03,1766.769,0.0,-0.17,0.0,0.0,3WG|2
41,2021.09.22 19:00:00,1632337200002,XAUUSD,41,91330003,1,0,3,0.03,1766.769,0.0,-0.17,0.0,0.0,3WG|3
42,2021.09.23 15:18:39,1632410319729,XAUUSD,40,91330002,0,1,5,0.03,1746.347,61.27,0.0,0.0,0.0,tp 1746.347
43,2021.09.23 15:18:39,1632410319729,XAUUSD,41,91330003,0,1,5,0.03,1746.347,61.27,0.0,0.0,0.0,tp 1746.347
44,2021.09.23 22:01:00,1632434460001,XAUUSD,44,91330003,1,0,3,0.03,1744.475,0.0,-0.17,0.0,0.0,3WG|3
45,2021.09.24 11:02:36,1632481356666,XAUUSD,44,91330003,0,1,4,0.03,1757.236,-38.28,0.0,0.0,0.0,sl 1757.216
46,2021.09.27 02:00:00,1632708000001,XAUUSD,46,91330002,0,0,3,0.04,1758.992,0.0,-0.22,0.0,0.0,3WG|2
47,2021.09.27 02:00:00,1632708000002,XAUUSD,47,91330003,0,0,3,0.04,1758.992,0.0,-0.22,0.0,0.0,3WG|3
48,2021.09.27 08:36:36,1632731796666,XAUUSD,46,91330002,1,1,4,0.04,1750.17,-35.29,0.0,0.0,0.0,sl 1750.177
49,2021.09.27 08:36:36,1632731796666,XAUUSD,47,91330003,1,1,4,0.04,1750.17,-35.29,0.0,0.0,0.0,sl 1750.177
50,2021.09.27 11:00:00,1632740400001,XAUUSD,50,91330002,1,0,3,0.05,1748.663,0.0,-0.28,0.0,0.0,3WG|2
51,2021.09.27 13:50:37,1632750637101,XAUUSD,50,91330002,0,1,4,0.05,1756.246,-37.91,0.0,0.0,0.0,sl 1756.242
52,2021.09.28 07:00:00,1632812400001,XAUUSD,52,91330003,1,0,3,0.06,1740.769,0.0,-0.33,0.0,0.0,3WG|3
53,2021.09.28 12:42:40,1632832960260,XAUUSD,52,91330003,0,1,5,0.06,1729.54,67.37,0.0,0.0,0.0,tp 1729.549
54,2021.09.28 13:00:00,1632834000001,XAUUSD,54,91330003,1,0,3,0.03,1730.321,0.0,-0.17,0.0,0.0,3WG|3
55,2021.09.28 13:28:40,1632835720883,XAUUSD,54,91330003,0,1,4,0.03,1740.702,-31.15,0.0,0.0,0.0,sl 1740.686
56,2021.09.29 05:00:00,1632891600001,XAUUSD,56,91330001,1,0,3,0.05,1738.214,0.0,-0.28,0.0,0.0,3WG|1
57,2021.09.29 09:00:00,1632906000001,XAUUSD,57,91330002,0,0,3,0.06,1743.182,0.0,-0.33,0.0,0.0,3WG|2
58,2021.09.29 09:00:00,1632906000002,XAUUSD,58,91330003,0,0,3,0.06,1743.182,0.0,-0.33,0.0,0.0,3WG|3
59,2021.09.29 10:18:27,1632910707954,XAUUSD,56,91330001,0,1,4,0.05,1744.769,-32.78,0.0,0.0,0.0,sl 1744.750
60,2021.09.29 12:32:29,1632918749774,XAUUSD,57,91330002,1,1,4,0.06,1737.425,-34.54,0.0,0.0,0.0,sl 1737.446
61,2021.09.29 12:32:29,1632918749774,XAUUSD,58,91330003,1,1,4,0.06,1737.425,-34.54,0.0,0.0,0.0,sl 1737.446
62,2021.09.29 15:00:00,1632927600001,XAUUSD,62,91330002,1,0,3,0.04,1728.395,0.0,-0.22,0.0,0.0,3WG|2
63,2021.09.29 15:00:00,1632927600002,XAUUSD,63,91330003,1,0,3,0.04,1728.395,0.0,-0.22,0.0,0.0,3WG|3
64,2021.09.30 10:00:00,1632996000001,XAUUSD,64,91330001,1,0,3,0.06,1729.307,0.0,-0.33,0.0,0.0,3WG|1
65,2021.09.30 12:55:38,1633006538823,XAUUSD,64,91330001,0,1,4,0.06,1735.073,-34.6,0.0,0.0,0.0,sl 1735.069
66,2021.09.30 12:59:00,1633006740545,XAUUSD,62,91330002,0,1,4,0.04,1737.599,-36.82,0.0,0.0,0.0,sl 1737.599
67,2021.09.30 12:59:00,1633006740545,XAUUSD,63,91330003,0,1,4,0.04,1737.599,-36.82,0.0,0.0,0.0,sl 1737.599
68,2021.09.30 13:00:00,1633006800001,XAUUSD,68,91330003,0,0,3,0.04,1737.386,0.0,-0.22,0.0,0.0,3WG|3
69,2021.09.30 14:00:00,1633010400001,XAUUSD,69,91330002,0,0,3,0.04,1742.211,0.0,-0.22,0.0,0.0,3WG|2
70,2021.09.30 14:29:31,1633012171384,XAUUSD,68,91330003,1,1,5,0.04,1754.082,66.79,0.0,0.0,0.0,tp 1754.082
71,2021.09.30 15:00:00,1633014000001,XAUUSD,71,91330003,0,0,3,0.03,1757.523,0.0,-0.17,0.0,0.0,3WG|3
72,2021.09.30 15:09:00,1633014540697,XAUUSD,69,91330002,1,1,5,0.04,1760.501,73.16,0.0,0.0,0.0,tp 1760.499
73,2021.10.04 09:00:00,1633338000001,XAUUSD,73,91330002,1,0,3,0.05,1751.425,0.0,-0.28,0.0,0.0,3WG|2
74,2021.10.04 12:46:38,1633351598437,XAUUSD,73,91330002,0,1,4,0.05,1758.288,-34.31,0.0,0.0,0.0,sl 1758.285
75,2021.10.04 16:00:00,1633363200001,XAUUSD,75,91330002,0,0,3,0.03,1765.607,0.0,-0.17,0.0,0.0,3WG|2
76,2021.10.05 10:54:37,1633431277435,XAUUSD,75,91330002,1,1,4,0.03,1754.432,-33.52,0.0,-1.6,0.0,sl 1754.441
77,2021.10.05 20:00:00,1633464000001,XAUUSD,77,91330002,0,0,3,0.04,1760.276,0.0,-0.22,0.0,0.0,3WG|2
78,2021.10.06 05:54:41,1633499681739,XAUUSD,77,91330002,1,1,4,0.04,1751.028,-36.99,0.0,-2.14,0.0,sl 1751.032
79,2021.10.06 08:02:02,1633507322413,XAUUSD,71,91330003,1,1,4,0.03,1746.205,-33.95,0.0,-6.4,0.0,sl 1746.220
