time,event,engine,dir,note,position_id,entry,sl,tp,volume,risk_cash,equity_before,requested_risk_cash,decision_bar
2026.03.05 03:00:00,entry,2,1,done at 5192.333,2,5192.333,5136.084,5304.831,0.01,56.25,10000.0,30.0,2026.03.05 03:00:00
2026.03.05 14:00:00,entry,2,-1,done at 5117.988,4,5117.988,5171.202,5011.56,0.01,53.21,9943.54,29.830620000000003,2026.03.05 14:00:00
2026.03.06 09:00:00,entry,1,-1,done at 5108.764,5,5108.764,5156.911,5012.47,0.01,48.15,9952.61,29.85783,2026.03.06 09:00:00
2026.03.06 17:00:00,entry,2,1,done at 5140.275,8,5140.275,5085.049,5250.727,0.01,55.23,9841.98,29.525939999999995,2026.03.06 17:00:00
2026.03.09 01:00:00,entry,2,-1,done at 5049.901,10,5049.901,5131.974,4885.755,0.01,82.07,9786.12,29.35836,2026.03.09 01:00:00
2026.03.09 20:00:00,entry,2,1,done at 5141.368,12,5141.368,5083.867,5256.37,0.01,57.5,9703.98,29.11194,2026.03.09 20:00:00
2026.03.10 02:00:00,entry,3,1,done at 5184.348,13,5184.348,5126.388,5300.268,0.01,57.96,9746.25,29.23875,2026.03.10 02:00:00
2026.03.10 14:00:00,occupied,3,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026.03.10 14:00:00
2026.03.11 12:00:00,occupied,2,-1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026.03.11 12:00:00
2026.03.11 23:00:00,occupied,3,-1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026.03.11 23:00:00
2026.03.12 10:00:00,occupied,2,1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026.03.12 10:00:00
2026.03.12 14:00:00,occupied,2,-1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026.03.12 14:00:00
2026.03.13 15:00:00,entry,3,-1,done at 5041.960,16,5041.96,5086.38,4953.12,0.01,44.42,9583.08,28.74924,2026.03.13 15:00:00
2026.03.13 16:00:00,occupied,3,-1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026.03.13 16:00:00
2026.03.13 20:00:00,occupied,3,-1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026.03.13 20:00:00
2026.03.16 00:00:00,occupied,3,-1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026.03.16 00:00:00
2026.03.17 04:00:00,entry,2,1,done at 5027.554,17,5027.554,4985.047,5112.568,0.01,42.5,9597.43,28.792289999999998,2026.03.17 04:00:00
2026.03.17 11:00:00,occupied,2,-1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026.03.17 11:00:00
2026.03.18 11:00:00,occupied,3,-1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026.03.18 11:00:00
2026.03.18 12:00:00,entry,3,-1,done at 4930.355,20,4930.355,4968.546,4853.972,0.01,38.19,9629.38,28.88814,2026.03.18 12:00:00
2026.03.18 13:00:00,occupied,3,-1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026.03.18 13:00:00
2026.03.19 07:00:00,entry,3,-1,done at 4763.800,22,4763.8,4824.081,4643.238,0.01,60.28,9705.88,29.117639999999998,2026.03.19 07:00:00
2026.03.19 08:00:00,occupied,3,-1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026.03.19 08:00:00
2026.03.19 09:00:00,occupied,3,-1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026.03.19 09:00:00
2026.03.19 11:00:00,occupied,3,-1,one position per engine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026.03.19 11:00:00
2026.03.19 13:00:00,entry,3,-1,done at 4574.647,24,4574.647,4660.501,4402.939,0.01,85.85,9826.57,29.47971,2026.03.19 13:00:00
