status,label,chart,initial,final,net,return_pct,equity_dd_amount,equity_dd_pct,balance_dd_amount,balance_dd_pct,profit_factor,win_rate_pct,wins,losses,trades,gross_profit,gross_loss,largest_win,largest_loss,average_win,average_loss,expected_payoff,recovery_factor,sharpe,history_quality,set_source,report_path,chart_path
PROFIT,LTA Volume Profile,XAUUSD M15,10000.0,18665.45,8665.45,86.65450000000001,1973.84,14.36,1582.2,11.79,1.39,32.38,79,165,244,30904.48,-22239.03,556.22,-192.8,391.2,-133.82,35.51,4.39,4.43,99%,LTA volume profile/Best Settings/RETEST PASSED 2026-08-07 - LTA - XAUUSD M15 - 1pct.set,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active BAT Backtest 2026-08-12\MT5 Reports\01-lta-volume-profile.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active BAT Backtest 2026-08-12\MT5 Reports\01-lta-volume-profile.png
PROFIT,ORB Volume Profile,XAUUSD M5,10000.0,10969.76,969.76,9.6976,644.08,6.29,541.7,5.32,1.67,42.86,21,28,49,2421.12,-1451.36,257.57,-104.91,115.29,-51.23,19.79,1.51,7.71,99%,ORB Volume Data EA/Volume Profile Settings/VISUAL PROFILE - XAUUSD M5 - validated baseline.set,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active BAT Backtest 2026-08-12\MT5 Reports\02-orb-volume-profile.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active BAT Backtest 2026-08-12\MT5 Reports\02-orb-volume-profile.png
PROFIT,ATR Candle Breakout,XAUUSD H1,10000.0,13038.8,3038.8,30.388000000000005,1158.24,8.72,1128.19,8.56,1.39,26.05,31,88,119,10768.17,-7729.37,397.42,-100.0,347.36,-87.53,25.54,2.62,3.66,99%,ATR Candle Breakout EA/RETEST PASSED 2026-08-07 - ATR Candle Breakout - XAUUSD H1 - 1pct.set,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active BAT Backtest 2026-08-12\MT5 Reports\03-atr-candle-breakout.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active BAT Backtest 2026-08-12\MT5 Reports\03-atr-candle-breakout.png
PROFIT,AAA Final Asia Breakout,XAUUSD H1,10000.0,12010.03,2010.03,20.100299999999997,1675.39,12.67,1492.82,11.36,1.25,36.67,44,76,120,9926.79,-7916.76,367.35,-146.72,225.61,-103.81,16.75,1.2,2.07,99%,AAA Final EAs/AAA Final Asia Breakout EA/RETEST PASSED 2026-08-07 - Asia Breakout - XAUUSD H1 - 1pct.set,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active BAT Backtest 2026-08-12\MT5 Reports\04-aaa-final-asia-breakout.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active BAT Backtest 2026-08-12\MT5 Reports\04-aaa-final-asia-breakout.png
PROFIT,AAA Final DmC,XAUUSD H1,10000.0,12647.619999999999,2647.62,26.4762,1204.69,9.78,1058.7,8.64,1.2,42.13,99,136,235,16192.57,-13544.95,215.22,-274.34,163.56,-99.18,11.27,2.2,2.29,99%,AAA Final EAs/AAA Final DmC EA/RETEST PASSED 2026-08-07 - DmC - XAUUSD H1 - 1pct.set,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active BAT Backtest 2026-08-12\MT5 Reports\05-aaa-final-dmc.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active BAT Backtest 2026-08-12\MT5 Reports\05-aaa-final-dmc.png
PROFIT,Go Long,US30 D1,10000.0,11696.36,1696.36,16.9636,895.74,8.24,837.83,7.74,1.2,50.64,158,154,312,10383.75,-8687.39,334.69,-180.4,65.72,-56.11,5.44,1.89,1.06,100%,Go Long EA/RETEST INCLUDED 2026-08-07 - Go Long - US30 D1 - 1pct.set,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active BAT Backtest 2026-08-12\MT5 Reports\06-go-long.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active BAT Backtest 2026-08-12\MT5 Reports\06-go-long.png
PROFIT,AAA Final EMA3,XAUUSD H4,10000.0,11693.65,1693.65,16.936500000000002,328.74,2.85,263.54,2.64,2.3,64.1,25,14,39,3001.28,-1307.63,192.32,-114.21,120.05,-93.17,43.43,5.15,4.18,99%,AAA Final EAs/AAA Final EMA3 EA/RETEST INCLUDED 2026-08-07 - EMA3 - XAUUSD H4 - 1pct.set,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active BAT Backtest 2026-08-12\MT5 Reports\07-aaa-final-ema3.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active BAT Backtest 2026-08-12\MT5 Reports\07-aaa-final-ema3.png
PROFIT,AAA Final XAU Weakness,XAUUSD M15,10000.0,11148.94,1148.94,11.489400000000002,2228.02,17.7,2116.71,16.87,1.06,35.84,100,179,279,19319.95,-18171.01,246.4,-213.18,193.2,-100.89,4.12,0.52,0.89,99%,AAA Final EAs/AAA Final XAU Weakness EA/RETEST INCLUDED 2026-08-07 - XAU Weakness - XAUUSD M15 - 1pct.set,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active BAT Backtest 2026-08-12\MT5 Reports\08-aaa-final-xau-weakness.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active BAT Backtest 2026-08-12\MT5 Reports\08-aaa-final-xau-weakness.png
PROFIT,Nasdaq Overnight,USTEC M1,10000.0,10776.32,776.32,7.7632,260.77,2.39,193.52,1.78,1.81,58.33,42,30,72,1740.41,-964.09,115.17,-105.68,41.44,-31.85,10.78,2.98,4.26,100%,Nasdaq Overnight Negative Day EA/RETEST INCLUDED 2026-08-07 - Nasdaq Overnight - USTEC M1 - 1pct.set,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active BAT Backtest 2026-08-12\MT5 Reports\10-nasdaq-overnight.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active BAT Backtest 2026-08-12\MT5 Reports\10-nasdaq-overnight.png
PROFIT,Turnaround Tuesday,USTEC D1,10000.0,10328.73,328.73,3.2873,633.4,6.11,516.73,5.02,1.2,36.67,11,19,30,1989.72,-1660.99,478.56,-103.06,180.88,-86.98,10.96,0.52,0.93,100%,Turnaround Tuesday EA/RETEST INCLUDED 2026-08-07 - Turnaround Tuesday - USTEC D1 - 1pct.set,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active BAT Backtest 2026-08-12\MT5 Reports\11-turnaround-tuesday.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active BAT Backtest 2026-08-12\MT5 Reports\11-turnaround-tuesday.png
