label,chart,return_pct,cagr_pct,equity_dd_pct,profit_factor,win_rate_pct,trades
LTA Volume Profile,XAUUSD M15,26.1936,4.762888931391651,42.84,1.04,26.64,1160
ORB Volume Profile,XAUUSD M5,57.068200000000004,9.450475671579039,6.31,1.41,41.53,301
ATR Candle Breakout,XAUUSD H1,72.03970000000001,11.46171866802117,23.66,1.14,23.43,670
AAA Final Asia Breakout,XAUUSD H1,7.9111,1.5344040078000054,35.03,1.02,34.39,660
AAA Final DmC,XAUUSD H1,-16.5157,-3.5458402644757525,37.08,0.93,37.41,572
Go Long,US30 D1,0.7383,0.14722585226119023,34.38,1.0,46.37,1555
AAA Final EMA3,XAUUSD H4,32.098499999999994,5.725458500490999,8.7,1.36,49.73,187
AAA Final XAU Weakness,XAUUSD M15,-28.895100000000003,-6.592896300632944,58.49,0.96,35.06,1486
Nasdaq Overnight,USTEC M1,7.837999999999999,1.5206442057246417,4.82,1.28,56.08,189
Turnaround Tuesday,USTEC D1,-4.3585,-0.8873071815734157,15.59,0.93,30.41,148
AAA Final US100 Weakness,USTEC M15,-21.104,-4.630172515017861,26.83,0.81,34.86,370
AAA Final News Pulse — long only,XAUUSD M1,62.512299999999996,10.198896938151258,1.46,41.0,84.21,19
