status,label,chart,initial,final,net,return_pct,equity_dd_amount,equity_dd_pct,balance_dd_amount,balance_dd_pct,profit_factor,win_rate_pct,wins,losses,trades,gross_profit,gross_loss,largest_win,largest_loss,average_win,average_loss,expected_payoff,recovery_factor,sharpe,history_quality,set_source,report_path,chart_path
PROFIT,LTA Volume Profile,XAUUSD M15,10000.0,12619.36,2619.36,26.1936,4381.1,42.84,4332.28,42.5,1.04,26.64,309,851,1160,68901.53,-66282.17,378.24,-129.36,222.98,-76.26,2.26,0.6,0.36,98%,LTA volume profile/Best Settings/RETEST PASSED 2026-08-07 - LTA - XAUUSD M15 - 1pct.set,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active BAT Backtest 5Y 2026-08-12\MT5 Reports\01-lta-volume-profile.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active BAT Backtest 5Y 2026-08-12\MT5 Reports\01-lta-volume-profile.png
PROFIT,ORB Volume Profile,XAUUSD M5,10000.0,15706.82,5706.82,57.068200000000004,930.21,6.31,832.04,5.67,1.41,41.53,125,176,301,19495.93,-13789.11,367.96,-155.45,155.97,-76.66,18.96,6.13,5.96,98%,ORB Volume Data EA/Volume Profile Settings/VISUAL PROFILE - XAUUSD M5 - validated baseline.set,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active BAT Backtest 5Y 2026-08-12\MT5 Reports\02-orb-volume-profile.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active BAT Backtest 5Y 2026-08-12\MT5 Reports\02-orb-volume-profile.png
PROFIT,ATR Candle Breakout,XAUUSD H1,10000.0,17203.97,7203.97,72.03970000000001,4311.94,23.66,3999.85,38.61,1.14,23.43,157,513,670,57335.73,-50131.76,472.59,-246.48,365.2,-97.12,10.75,1.67,0.77,98%,ATR Candle Breakout EA/RETEST PASSED 2026-08-07 - ATR Candle Breakout - XAUUSD H1 - 1pct.set,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active BAT Backtest 5Y 2026-08-12\MT5 Reports\03-atr-candle-breakout.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active BAT Backtest 5Y 2026-08-12\MT5 Reports\03-atr-candle-breakout.png
PROFIT,AAA Final Asia Breakout,XAUUSD H1,10000.0,10791.11,791.11,7.9111,3675.7,35.03,3565.73,34.22,1.02,34.39,227,433,660,36755.93,-35964.82,326.57,-221.83,161.92,-82.35,1.2,0.22,0.14,98%,AAA Final EAs/AAA Final Asia Breakout EA/RETEST PASSED 2026-08-07 - Asia Breakout - XAUUSD H1 - 1pct.set,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active BAT Backtest 5Y 2026-08-12\MT5 Reports\04-aaa-final-asia-breakout.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active BAT Backtest 5Y 2026-08-12\MT5 Reports\04-aaa-final-asia-breakout.png
LOSS,AAA Final DmC,XAUUSD H1,10000.0,8348.43,-1651.57,-16.5157,3776.85,37.08,3715.51,36.63,0.93,37.41,214,358,572,22645.98,-24297.55,153.11,-164.6,105.82,-67.61,-2.89,-0.44,-0.37,98%,AAA Final EAs/AAA Final DmC EA/RETEST PASSED 2026-08-07 - DmC - XAUUSD H1 - 1pct.set,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active BAT Backtest 5Y 2026-08-12\MT5 Reports\05-aaa-final-dmc.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active BAT Backtest 5Y 2026-08-12\MT5 Reports\05-aaa-final-dmc.png
PROFIT,Go Long,US30 D1,10000.0,10073.83,73.83,0.7383,3469.72,34.38,3455.37,34.25,1.0,46.37,721,834,1555,38087.81,-38013.98,356.95,-180.4,52.83,-45.3,0.05,0.02,0.01,98%,Go Long EA/RETEST INCLUDED 2026-08-07 - Go Long - US30 D1 - 1pct.set,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active BAT Backtest 5Y 2026-08-12\MT5 Reports\06-go-long.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active BAT Backtest 5Y 2026-08-12\MT5 Reports\06-go-long.png
PROFIT,AAA Final EMA3,XAUUSD H4,10000.0,13209.85,3209.85,32.098499999999994,1013.5,8.7,921.82,7.95,1.36,49.73,93,94,187,12215.26,-9005.41,303.57,-130.06,131.35,-95.44,17.16,3.17,1.07,98%,AAA Final EAs/AAA Final EMA3 EA/RETEST INCLUDED 2026-08-07 - EMA3 - XAUUSD H4 - 1pct.set,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active BAT Backtest 5Y 2026-08-12\MT5 Reports\07-aaa-final-ema3.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active BAT Backtest 5Y 2026-08-12\MT5 Reports\07-aaa-final-ema3.png
LOSS,AAA Final XAU Weakness,XAUUSD M15,10000.0,7110.49,-2889.51,-28.895100000000003,6229.48,58.49,6062.09,57.78,0.96,35.06,521,965,1486,61797.88,-64687.39,223.11,-244.8,118.61,-65.72,-1.94,-0.46,-0.55,98%,AAA Final EAs/AAA Final XAU Weakness EA/RETEST INCLUDED 2026-08-07 - XAU Weakness - XAUUSD M15 - 1pct.set,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active BAT Backtest 5Y 2026-08-12\MT5 Reports\08-aaa-final-xau-weakness.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active BAT Backtest 5Y 2026-08-12\MT5 Reports\08-aaa-final-xau-weakness.png
PROFIT,Nasdaq Overnight,USTEC M1,10000.0,10783.8,783.8,7.837999999999999,500.43,4.82,473.4,4.57,1.28,56.08,106,83,189,3617.04,-2833.24,115.17,-105.68,34.12,-33.79,4.15,1.57,1.86,98%,Nasdaq Overnight Negative Day EA/RETEST INCLUDED 2026-08-07 - Nasdaq Overnight - USTEC M1 - 1pct.set,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active BAT Backtest 5Y 2026-08-12\MT5 Reports\10-nasdaq-overnight.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active BAT Backtest 5Y 2026-08-12\MT5 Reports\10-nasdaq-overnight.png
LOSS,Turnaround Tuesday,USTEC D1,10000.0,9564.15,-435.85,-4.3585,1561.03,15.59,1530.38,15.3,0.93,30.41,45,103,148,5568.1,-6003.95,478.56,-103.06,123.74,-57.89,-2.94,-0.28,-0.34,98%,Turnaround Tuesday EA/RETEST INCLUDED 2026-08-07 - Turnaround Tuesday - USTEC D1 - 1pct.set,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active BAT Backtest 5Y 2026-08-12\MT5 Reports\11-turnaround-tuesday.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active BAT Backtest 5Y 2026-08-12\MT5 Reports\11-turnaround-tuesday.png
