trade_id,slug,label,symbol,side,open_time,close_time,r_multiple,trade_risk_pct,reserved_risk_pct,risk_family,equity_at_entry,fixed_equity_at_entry,active_risk_before_pct,symbol_risk_before_pct,family_risk_before_pct,risk_cash,fixed_risk_cash,extra_cost_cash,fixed_extra_cost_cash,simulated_pnl,fixed_risk_pnl,active_risk_after_pct,simulated_close_equity,fixed_close_equity,drawdown_pct_after_close,fixed_drawdown_pct_after_close
3098,xau-rsi-vwap,XAU RSI VWAP,XAUUSD,Long,2023-09-07T02:00:00,2023-09-07T11:09:25,0.4825,1.0,1.0,xau-rsi-vwap,10000.0,10000.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,48.2456,48.2456,1.0,9944.6456,9944.6456,0.5535,0.5535
640,engineered-liquidity-xau,Engineered Liquidity XAU,XAUUSD,Short,2023-09-07T11:00:00,2023-09-07T11:07:19,-1.036,1.0,1.0,engineered-liquidity-xau,10000.0,10000.0,1.0,1.0,0.0,100.0,100.0,0.0,0.0,-103.6,-103.6,2.0,9896.4,9896.4,1.036,1.036
2239,nasdaq-5m-candle-momentum,Nasdaq 5M Candle Momentum,USTEC,Short,2023-09-07T13:35:00,2023-09-07T14:41:34,-1.0043,1.0,1.0,nasdaq-5m-candle-momentum,9944.6456,9944.6456,0.0,0.0,0.0,99.4465,100.0,0.0,0.0,-99.8741,-100.43,1.0,9844.7715,9844.2156,1.5523,1.5578
2062,nasdaq-overnight,Nasdaq Overnight,USTEC,Long,2023-09-07T20:00:00,2023-09-08T13:29:00,-0.0204,1.0,1.0,nasdaq-overnight,9844.7715,9844.2156,0.0,0.0,0.0,98.4477,100.0,0.0,0.0,-2.0118,-2.0435,1.0,9842.7598,9842.1721,1.5724,1.5783
641,engineered-liquidity-xau,Engineered Liquidity XAU,XAUUSD,Short,2023-09-08T07:00:00,2023-09-08T13:35:03,0.8345,1.0,1.0,engineered-liquidity-xau,9844.7715,9844.2156,1.0,0.0,0.0,98.4477,100.0,0.0,0.0,82.1525,83.4479,2.0,9924.9123,9925.62,0.7509,0.7438
2240,nasdaq-5m-candle-momentum,Nasdaq 5M Candle Momentum,USTEC,Long,2023-09-08T13:35:00,2023-09-08T18:39:25,-1.0161,1.0,1.0,nasdaq-5m-candle-momentum,9842.7598,9842.1721,1.0,0.0,0.0,98.4276,100.0,0.0,0.0,-100.0084,-101.6061,2.0,9824.9039,9824.0139,1.751,1.7599
2241,nasdaq-5m-candle-momentum,Nasdaq 5M Candle Momentum,USTEC,Long,2023-09-11T13:35:00,2023-09-11T13:38:34,-1.0265,1.0,1.0,nasdaq-5m-candle-momentum,9824.9039,9824.0139,0.0,0.0,0.0,98.249,100.0,0.0,0.0,-100.8559,-102.6533,1.0,9724.048,9721.3606,2.7595,2.7864
642,engineered-liquidity-xau,Engineered Liquidity XAU,XAUUSD,Short,2023-09-12T05:00:00,2023-09-12T08:27:38,0.4346,1.0,1.0,engineered-liquidity-xau,9724.048,9721.3606,0.0,0.0,0.0,97.2405,100.0,0.0,0.0,42.2619,43.4613,1.0,9766.3099,9764.8219,2.3369,2.3518
2242,nasdaq-5m-candle-momentum,Nasdaq 5M Candle Momentum,USTEC,Long,2023-09-12T13:35:00,2023-09-12T14:30:26,-1.0148,1.0,1.0,nasdaq-5m-candle-momentum,9766.3099,9764.8219,0.0,0.0,0.0,97.6631,100.0,0.0,0.0,-99.1132,-101.4848,1.0,9667.1967,9663.337,3.328,3.3666
1409,us100-orb-new-york-m30,US100 ORB New York M30,USTEC,Short,2023-09-12T14:30:00,2023-09-12T19:55:00,1.5377,1.0,1.0,US100_ORB,9766.3099,9764.8219,1.0,1.0,0.0,97.6631,100.0,0.0,0.0,150.1765,153.77,2.0,9815.8651,9815.547,1.8413,1.8445
