initial,final,net,return_pct,profit_factor,win_rate_pct,wins,losses,trades,equity_dd_amount,equity_dd_pct,balance_dd_amount,balance_dd_pct,gross_profit,gross_loss,largest_win,largest_loss,average_win,average_loss,expected_payoff,recovery_factor,sharpe,history_quality,commission,swap,symbol,slug,group,variant,verdict
10000.0,10546.93,546.93,5.469299999999999,1.08,39.45,43,66,109,1125.9,10.93,989.57,9.69,7114.77,-6567.84,405.4,-114.23,165.46,-96.3,5.02,0.49,1.13,100%,-211.95,-212.13,US500,us500,Index,h4-daily-bias,WATCH
10000.0,10107.9,107.9,1.0790000000000002,1.01,40.65,50,73,123,1400.12,12.49,1325.58,11.83,7743.52,-7635.62,389.68,-167.01,154.87,-103.13,0.88,0.08,0.25,100%,-107.37,-126.63,USTEC,ustec,Index,h4-daily-bias,WATCH
10000.0,9808.51,-191.49,-1.9148999999999998,0.97,40.16,51,76,127,1420.95,12.65,1379.35,12.33,6938.53,-7130.02,450.48,-155.76,136.05,-93.33,-1.51,-0.13,-0.4,99%,-36.72,0.0,XAUUSD,xauusd,Metal,h4-daily-bias,REJECT
10000.0,8692.73,-1307.27,-13.072700000000001,0.87,38.04,70,114,184,1943.38,18.46,1887.29,18.01,9103.89,-10411.16,332.22,-104.63,130.06,-89.84,-7.1,-0.67,-1.73,100%,-169.0,-20.28,BTCUSD,btcusd,Crypto,h4-daily-bias,REJECT
10000.0,8662.03,-1337.97,-13.3797,0.81,36.97,44,75,119,1975.86,19.49,1945.08,19.22,5639.97,-6977.94,616.28,-189.09,128.18,-88.93,-11.24,-0.68,-3.07,100%,-308.04,-18.87,AUDUSD,audusd,Forex,h4-daily-bias,REJECT
10000.0,8444.31,-1555.69,-15.5569,0.76,37.5,42,70,112,2332.39,22.16,2223.02,21.21,4866.13,-6421.82,295.24,-103.88,115.86,-88.83,-13.89,-0.67,-4.05,100%,-203.96,0.0,GBPUSD,gbpusd,Forex,h4-daily-bias,REJECT
10000.0,8211.02,-1788.98,-17.8898,0.8,36.96,51,87,138,2328.62,22.09,2313.8,21.98,7069.97,-8858.95,384.15,-126.41,138.63,-94.62,-12.96,-0.77,-3.5,100%,-626.95,-156.16,USDCAD,usdcad,Forex,h4-daily-bias,REJECT
10000.0,7549.2,-2450.8,-24.508000000000003,0.67,33.33,41,82,123,3447.5,33.04,3428.3,32.85,4877.92,-7328.72,337.34,-134.68,118.97,-86.36,-19.93,-0.71,-5.0,100%,-247.32999999999998,-100.35,EURUSD,eurusd,Forex,h4-daily-bias,REJECT
10000.0,7512.59,-2487.41,-24.8741,0.65,33.08,43,87,130,2999.37,29.78,2926.18,29.26,4640.42,-7127.83,353.55,-100.51,107.92,-79.27,-19.13,-0.83,-5.0,100%,-231.12,-42.0,USDJPY,usdjpy,Forex,h4-daily-bias,REJECT
10000.0,7356.67,-2643.33,-26.4333,0.59,31.82,35,75,110,3266.26,32.21,3209.06,31.65,3861.07,-6504.4,291.84,-138.82,110.32,-80.53,-24.03,-0.81,-5.0,100%,-464.85,-62.48,NZDUSD,nzdusd,Forex,h4-daily-bias,REJECT
10000.0,7223.0599999999995,-2776.94,-27.7694,0.65,34.09,45,87,132,3476.45,32.49,3339.56,31.62,5242.29,-8019.23,363.29,-128.59,116.5,-86.36,-21.04,-0.8,-5.0,100%,-505.52,-185.02,USDCHF,usdchf,Forex,h4-daily-bias,REJECT
