time,open,high,low,close,spread,tick_volume
2026.01.19 00:00:00,25337.76,25339.93,25107.81,25252.21,0,123918
2026.01.20 00:00:00,25251.77,25311.14,24968.35,24993.4,0,323148
2026.01.21 00:00:00,24993.65,25527.66,24904.42,25431.03,0,324303
2026.01.22 00:00:00,25431.41,25619.32,25362.58,25499.42,0,199183
2026.01.23 00:00:00,25499.06,25728.03,25423.14,25566.2,0,176470
2026.01.25 00:00:00,25386.57,25458.7,25270.14,25447.53,0,11026
2026.01.26 00:00:00,25447.21,25822.06,25431.64,25782.88,0,162374
2026.01.27 00:00:00,25782.62,26039.76,25768.19,26031.2,0,110829
2026.01.28 00:00:00,26031.56,26241.65,25888.59,26064.42,0,190365
2026.01.29 00:00:00,26063.81,26172.33,25429.07,25864.93,0,307294
2026.01.30 00:00:00,25864.45,25884.28,25465.59,25536.95,0,417704
2026.02.01 00:00:00,25414.14,25475.46,25279.11,25437.43,0,18720
2026.02.02 00:00:00,25436.78,25883.67,25085.49,25855.27,0,307510
2026.02.03 00:00:00,25855.39,25935.38,25126.98,25337.71,0,334353
2026.02.04 00:00:00,25338.13,25424.51,24695.75,24982.54,0,511618
2026.02.05 00:00:00,24982.98,25084.55,24216.37,24256.43,0,661794
2026.02.06 00:00:00,24255.91,25143.49,24162.93,25019.15,0,413380
2026.02.08 00:00:00,25101.48,25222.11,25101.48,25204.08,0,9808
2026.02.09 00:00:00,25203.7,25356.42,24883.8,25272.96,0,271610
2026.02.10 00:00:00,25273.35,25375.13,25126.94,25203.68,0,221491
2026.02.11 00:00:00,25203.65,25395.7,24989.38,25168.05,0,302585
2026.02.12 00:00:00,25167.69,25353.16,24655.73,24756.28,0,333119
2026.02.13 00:00:00,24755.99,24928.09,24512.86,24713.65,0,462199
2026.02.15 00:00:00,24734.19,24778.89,24695.79,24777.1,0,7900
2026.02.16 00:00:00,24776.78,24862.41,24612.33,24759.96,0,114354
2026.02.17 00:00:00,24760.49,24831.22,24391.47,24655.79,0,428205
2026.02.18 00:00:00,24656.15,25072.63,24653.98,24904.73,0,233281
2026.02.19 00:00:00,24905.09,24993.55,24689.87,24825.57,0,284922
2026.02.20 00:00:00,24825.74,25086.43,24625.96,25025.66,0,326209
2026.02.22 00:00:00,25000.53,25015.53,24894.37,24929.69,0,11577
2026.02.23 00:00:00,24929.06,24997.02,24625.93,24749.48,0,279792
2026.02.24 00:00:00,24749.21,25039.52,24656.38,25009.13,0,238102
2026.02.25 00:00:00,25008.88,25457.75,24961.18,25283.49,0,169738
2026.02.26 00:00:00,25283.06,25381.67,24829.27,24963.04,0,255777
2026.02.27 00:00:00,24962.91,25065.36,24749.75,24914.13,0,302566
2026.03.01 00:00:00,24638.13,24792.42,24637.52,24716.99,0,19085
2026.03.02 00:00:00,24717.43,25078.28,24454.51,24951.3,0,399846
2026.03.03 00:00:00,24951.64,24961.96,24333.88,24685.92,0,573530
2026.03.04 00:00:00,24686.3,25201.24,24483.68,25158.73,0,423174
2026.03.05 00:00:00,25158.3,25229.88,24760.33,25044.7,0,467481
2026.03.06 00:00:00,25045.17,25127.03,24594.71,24665.02,0,476705
2026.03.08 00:00:00,24441.35,24465.28,24166.26,24211.9,0,38743
2026.03.09 00:00:00,24212.46,25046.51,23997.71,24878.53,0,539425
2026.03.10 00:00:00,24877.96,25212.91,24828.41,25015.18,0,392983
2026.03.11 00:00:00,25015.74,25176.85,24734.6,24788.88,0,314009
2026.03.12 00:00:00,24789.26,24927.78,24518.66,24529.26,0,339313
2026.03.13 00:00:00,24528.57,24805.64,24343.7,24353.56,0,351757
2026.03.15 00:00:00,24290.66,24505.76,24289.07,24445.57,0,22917
2026.03.16 00:00:00,24446.03,24829.56,24442.86,24680.49,0,296492
2026.03.17 00:00:00,24681.05,24912.53,24528.85,24804.93,0,219951
2026.03.18 00:00:00,24805.34,25010.97,24368.87,24423.3,0,232413
2026.03.19 00:00:00,24422.83,24530.89,24133.51,24428.12,0,387957
2026.03.20 00:00:00,24428.33,24469.02,23781.24,24014.24,0,301646
2026.03.22 00:00:00,23723.21,23907.91,23722.99,23821.4,0,26573
2026.03.23 00:00:00,23821.8,24577.3,23589.59,24272.4,0,467720
2026.03.24 00:00:00,24271.99,24361.51,23950.8,24229.38,0,396353
2026.03.25 00:00:00,24229.46,24355.8,24103.4,24142.26,0,299255
2026.03.26 00:00:00,24143.06,24240.08,23586.08,23699.59,0,312407
2026.03.27 00:00:00,23699.89,23799.22,23057.69,23099.53,0,308061
2026.03.29 00:00:00,23011.31,23074.73,22941.59,22959.84,0,24652
2026.03.30 00:00:00,22960.36,23406.01,22860.65,22882.91,0,346650
2026.03.31 00:00:00,22883.41,23886.86,22802.11,23878.44,0,470290
2026.04.01 00:00:00,23878.08,24187.53,23797.87,24023.02,0,292519
2026.04.02 00:00:00,24023.39,24102.83,23507.38,24055.41,0,371018
2026.04.03 00:00:00,24055.88,24097.13,23949.51,23973.88,0,49384
2026.04.05 00:00:00,23932.56,23949.03,23833.45,23943.61,0,27463
2026.04.06 00:00:00,23943.04,24300.73,23939.03,24157.09,0,261701
2026.04.07 00:00:00,24157.05,24944.57,23798.26,24907.59,0,367811
2026.04.08 00:00:00,24906.88,25111.71,24784.66,24882.85,0,243219
2026.04.09 00:00:00,24883.37,25122.14,24810.05,25080.81,0,197910
2026.04.10 00:00:00,25080.48,25249.57,25059.98,25173.35,0,155196
2026.04.12 00:00:00,24828.6,24884.59,24777.22,24849.49,0,22876
2026.04.13 00:00:00,24849.0,25486.48,24815.3,25455.72,0,169750
2026.04.14 00:00:00,25455.22,25904.88,25429.8,25887.83,0,124982
2026.04.15 00:00:00,25887.72,26288.36,25803.88,26279.41,0,148217
2026.04.16 00:00:00,26279.72,26433.77,26147.44,26353.9,0,162035
2026.04.17 00:00:00,26353.57,26753.68,26317.24,26713.82,0,161133
2026.04.19 00:00:00,26455.46,26560.96,26415.94,26538.09,0,16545
2026.04.20 00:00:00,26538.44,26703.8,26445.69,26675.87,0,180027
2026.04.21 00:00:00,26676.27,26781.23,26432.7,26656.25,0,198825
2026.04.22 00:00:00,26656.02,27018.75,26650.75,26982.19,0,151652
2026.04.23 00:00:00,26981.8,27032.21,26558.93,26961.86,0,237065
2026.04.24 00:00:00,26962.5,27341.87,26897.85,27320.5,0,186500
2026.04.26 00:00:00,27285.49,27304.85,27229.8,27269.74,0,8992
2026.04.27 00:00:00,27270.25,27427.28,27183.93,27377.54,0,164923
2026.04.28 00:00:00,27377.73,27400.18,26898.2,27136.32,0,219592
2026.04.29 00:00:00,27136.79,27447.29,26984.72,27442.37,0,217304
2026.04.30 00:00:00,27442.72,27540.55,27055.67,27487.72,0,274139
