spec,entry_time,exit_time,direction,entry,stop,target,result_r,result_pct,exit_reason,profile_poc,profile_val,profile_vah,week_low,week_high
reel-mechanical-fixed-2.5R,2022-01-26T23:45:00+00:00,2022-01-27T02:00:00+00:00,long,1821.723,1814.5759508436397,1839.5906228909007,-1.0,-1.0,stop,1840.47008203125,1817.9383984375002,1847.871,1805.768,1847.871
reel-mechanical-fixed-2.5R,2022-04-04T09:30:00+00:00,2022-04-04T12:15:00+00:00,short,1927.215,1933.454065225533,1911.6173369361672,-1.0,-1.0,stop,1924.030234375,1919.49521875,1939.76940625,1890.151,1958.443
reel-mechanical-fixed-2.5R,2022-06-02T12:45:00+00:00,2022-06-02T13:00:00+00:00,short,1854.326,1859.0650974318016,1842.478256420496,-1.0,-1.0,stop,1854.03758203125,1848.0682499999998,1860.6826875,1840.86,1869.693
reel-mechanical-fixed-2.5R,2022-06-07T13:45:00+00:00,2022-06-08T14:45:00+00:00,long,1846.95,1842.1508498634182,1858.9478753414546,1.915547490362044,1.9155474903620442,time,1848.59733203125,1841.6496953125,1865.8773515624998,1828.467,1874.072
reel-mechanical-fixed-2.5R,2022-07-18T13:00:00+00:00,2022-07-18T15:00:00+00:00,long,1717.271,1711.2435753727877,1732.3395615680306,-1.0,-1.0,stop,1735.0963515624999,1711.405890625,1744.236765625,1697.602,1745.356
reel-mechanical-fixed-2.5R,2022-07-27T01:45:00+00:00,2022-07-27T06:00:00+00:00,short,1716.889,1720.3407387768668,1708.2596530578326,-1.0,-1.0,stop,1712.1107578125,1700.472796875,1721.010375,1680.848,1739.266
reel-mechanical-fixed-2.5R,2022-09-05T01:15:00+00:00,2022-09-06T00:45:00+00:00,long,1712.73,1707.581405092877,1725.6014872678074,2.5,2.5,target,1723.9896796875,1706.9287656249999,1741.493734375,1688.76,1745.482
reel-mechanical-fixed-2.5R,2022-09-14T08:15:00+00:00,2022-09-14T17:45:00+00:00,long,1704.932,1698.656683050695,1720.6202923732626,-1.0,-1.0,stop,1716.1700585937501,1704.7472890625,1721.658921875,1691.396,1729.373
reel-mechanical-fixed-2.5R,2022-12-06T14:30:00+00:00,2022-12-07T14:30:00+00:00,short,1775.388,1780.8949967205097,1761.6205081987255,-1.0,-1.0,stop,1754.5821328124998,1739.639,1784.721671875,1739.639,1804.477
reel-mechanical-fixed-2.5R,2022-12-08T08:30:00+00:00,2022-12-08T13:00:00+00:00,short,1783.354,1787.2765660338919,1773.5475849152704,-1.0,-1.0,stop,1754.5821328124998,1739.639,1784.721671875,1739.639,1804.477
reel-mechanical-fixed-2.5R,2023-04-03T00:30:00+00:00,2023-04-03T02:30:00+00:00,long,1962.678,1956.4810208509937,1978.1704478725162,-1.0,-1.0,stop,1968.0049765625,1955.226265625,1977.035265625,1943.981,1987.599
reel-mechanical-fixed-2.5R,2023-05-15T12:45:00+00:00,2023-05-16T06:00:00+00:00,long,2018.481,2012.102753260035,2034.4266168499128,-1.0,-1.0,stop,2031.3871015625,2017.544328125,2038.58534375,2000.933,2048.183
reel-mechanical-fixed-2.5R,2023-05-24T04:00:00+00:00,2023-05-24T06:30:00+00:00,long,1976.616,1972.7138344330272,1986.3714139174322,-1.0,-1.0,stop,2016.3658359375,1975.5386718749999,2022.12,1951.974,2022.12
reel-mechanical-fixed-2.5R,2023-05-31T03:30:00+00:00,2023-05-31T13:30:00+00:00,long,1958.159,1953.505890746622,1969.791773133445,2.4999999999999756,2.4999999999999756,target,1974.76798046875,1953.33903125,1982.5430859375,1936.651,1985.198
reel-mechanical-fixed-2.5R,2023-07-03T06:00:00+00:00,2023-07-03T12:45:00+00:00,short,1916.904,1920.8294860214514,1907.0902849463714,-1.0,-1.0,stop,1908.2664257812498,1902.1219453125,1923.863953125,1892.984,1933.317
reel-mechanical-fixed-2.5R,2023-07-06T04:45:00+00:00,2023-07-06T05:15:00+00:00,short,1917.073,1919.9738114245656,1909.8209714385862,-1.0,-1.0,stop,1908.2664257812498,1902.1219453125,1923.863953125,1892.984,1933.317
reel-mechanical-fixed-2.5R,2023-07-24T01:15:00+00:00,2023-07-24T04:00:00+00:00,long,1962.279,1959.7953347587923,1968.4881631030194,-1.0,-1.0,stop,1977.85505859375,1961.416125,1983.55171875,1945.791,1987.458
reel-mechanical-fixed-2.5R,2023-09-05T15:15:00+00:00,2023-09-06T00:45:00+00:00,long,1928.874,1925.1102031623936,1938.2834920940159,-1.0,-1.0,stop,1944.88593359375,1928.435796875,1952.876,1912.769,1952.876
reel-mechanical-fixed-2.5R,2023-11-02T03:00:00+00:00,2023-11-02T08:45:00+00:00,short,1983.789,1988.4725308804873,1972.0801727987819,-1.0,-1.0,stop,1976.4023515625,1972.254859375,1987.53509375,1953.482,2009.364
reel-mechanical-fixed-2.5R,2023-11-14T07:15:00+00:00,2023-11-14T13:30:00+00:00,long,1945.791,1943.6390181182476,1951.1709547043808,-1.0,-1.0,ambiguous-stop-first,1968.1885078125,1943.8563749999998,1970.705625,1921.482,1993.08
reel-mechanical-fixed-2.5R,2024-05-02T06:30:00+00:00,2024-05-02T07:00:00+00:00,long,2317.01,2312.3448236174263,2328.672940956435,-1.0,-1.0,stop,2331.14235546875,2313.666984375,2345.6431953125,2291.358,2386.543
reel-mechanical-fixed-2.5R,2024-06-18T12:00:00+00:00,2024-06-18T17:00:00+00:00,long,2313.442,2306.3308728871034,2331.2198177822415,2.5,2.5,target,2313.64919921875,2300.377609375,2327.7634296875,2287.738,2341.667
reel-mechanical-fixed-2.5R,2024-07-09T11:15:00+00:00,2024-07-09T13:30:00+00:00,short,2360.707,2366.009482917859,2347.450792705353,-1.0,-1.0,stop,2358.3457460937498,2326.623765625,2369.6958125,2318.475,2392.978
reel-mechanical-fixed-2.5R,2024-07-10T01:00:00+00:00,2024-07-10T01:15:00+00:00,short,2364.682,2366.8526986481174,2359.2552533797057,-1.0,-1.0,stop,2358.3457460937498,2326.623765625,2369.6958125,2318.475,2392.978
reel-mechanical-fixed-2.5R,2024-08-26T01:00:00+00:00,2024-08-26T07:00:00+00:00,short,2513.744,2517.4065993728555,2504.587501567862,-1.0,-1.0,stop,2503.4078203125,2496.5128437500002,2518.3865625,2470.835,2531.701
reel-mechanical-fixed-2.5R,2024-09-06T01:00:00+00:00,2024-09-06T03:45:00+00:00,short,2515.978,2518.2916994384896,2510.1937514037763,-1.0,-1.0,stop,2516.999796875,2506.02496875,2521.8620625,2493.522,2529.086
reel-mechanical-fixed-2.5R,2024-09-06T15:15:00+00:00,2024-09-06T16:00:00+00:00,long,2514.3579999999997,2499.7458510370475,2550.8883724073803,-1.0,-1.0,stop,2516.999796875,2506.02496875,2521.8620625,2493.522,2529.086
reel-mechanical-fixed-2.5R,2024-09-10T08:00:00+00:00,2024-09-10T10:15:00+00:00,short,2502.778,2508.1219815168392,2489.418046207901,-1.0,-1.0,stop,2495.85665625,2484.8821875,2513.998125,2471.892,2529.228
reel-mechanical-fixed-2.5R,2024-09-11T17:45:00+00:00,2024-09-12T06:00:00+00:00,short,2513.273,2520.5738696326143,2495.0208259184647,-1.0,-1.0,stop,2495.85665625,2484.8821875,2513.998125,2471.892,2529.228
reel-mechanical-fixed-2.5R,2024-10-03T09:45:00+00:00,2024-10-03T14:00:00+00:00,long,2647.0609999999997,2640.6856942276386,2662.9992644309023,-1.0,-1.0,stop,2660.669109375,2638.508375,2681.1467500000003,2613.823,2685.635
reel-mechanical-fixed-2.5R,2024-12-23T21:45:00+00:00,2024-12-26T01:00:00+00:00,long,2613.309,2608.960632814213,2624.1799179644677,2.4999999999999476,2.4999999999999476,target,2653.3779140625,2608.054734375,2664.471,2583.333,2664.471
reel-mechanical-fixed-2.5R,2024-12-31T17:45:00+00:00,2025-01-02T00:45:00+00:00,short,2623.346,2628.02588082501,2611.6462979374746,-1.0,-1.0,stop,2615.74887109375,2610.0440625,2627.522625,2608.102,2639.175
reel-mechanical-fixed-2.5R,2025-09-15T12:30:00+00:00,2025-09-15T12:45:00+00:00,short,3638.539,3647.1526959718285,3617.0047600704293,-1.0,-1.0,stop,3646.8290820312495,3630.13953125,3654.6175390625,3579.7,3674.645
reel-mechanical-fixed-2.5R,2025-11-19T02:45:00+00:00,2025-11-19T14:45:00+00:00,long,4078.17,4060.2133861369134,4123.061534657717,2.500000000000013,2.500000000000013,target,4131.05653125,4067.9323125,4194.18075,4011.212,4245.412
reel-mechanical-fixed-2.5R,2025-11-24T06:30:00+00:00,2025-11-24T15:00:00+00:00,long,4053.134,4039.119507148081,4088.170232129797,2.4999999999999836,2.4999999999999836,target,4073.33108984375,4049.6623203125,4093.8440234375,3998.117,4132.766
reel-mechanical-fixed-2.5R,2025-12-08T11:45:00+00:00,2025-12-08T13:45:00+00:00,long,4213.446,4200.469106867259,4245.888232831852,-1.0,-1.0,stop,4208.21788671875,4196.775234375,4236.23265625,4163.631,4264.642
reel-mechanical-fixed-2.5R,2025-12-09T03:30:00+00:00,2025-12-09T04:45:00+00:00,long,4198.054,4185.664688303601,4229.027279240998,-1.0,-1.0,stop,4208.21788671875,4196.775234375,4236.23265625,4163.631,4264.642
reel-mechanical-fixed-2.5R,2025-12-10T05:45:00+00:00,2025-12-10T08:00:00+00:00,long,4212.012,4201.4134951970655,4238.508262007335,-1.0,-1.0,stop,4208.21788671875,4196.775234375,4236.23265625,4163.631,4264.642
reel-mechanical-fixed-2.5R,2026-04-07T11:00:00+00:00,2026-04-07T19:15:00+00:00,short,4652.214,4695.388009769821,4544.2789755754475,-1.0,-1.0,stop,4667.721351562501,4517.121671875,4704.9985,4418.71,4800.428
reel-mechanical-fixed-2.5R,2026-05-26T13:00:00+00:00,2026-05-26T16:15:00+00:00,long,4520.320000000001,4499.717769134398,4571.825577164008,-1.0,-1.0,stop,4543.23717578125,4494.9257734375,4552.2623828125,4453.516,4589.425
reel-mechanical-fixed-2.5R,2026-05-27T05:00:00+00:00,2026-05-27T05:30:00+00:00,long,4510.481000000001,4497.292590086368,4543.452024784081,-1.0,-1.0,stop,4543.23717578125,4494.9257734375,4552.2623828125,4453.516,4589.425
reel-mechanical-fixed-2.5R,2026-06-19T12:15:00+00:00,2026-06-21T23:45:00+00:00,long,4155.937,4141.0264284150435,4193.213428962391,-1.0,-1.0,stop,4333.07975390625,4140.65059375,4350.3320234375005,4023.866,4363.603
reel-mechanical-fixed-2.5R,2026-07-08T07:15:00+00:00,2026-07-08T08:30:00+00:00,short,4118.096,4135.006482106098,4075.819794734754,2.5,2.5,target,4067.2094765624997,4005.214890625,4137.3345,3942.204,4202.378
reel-mechanical-fixed-2.5R,2026-07-08T16:45:00+00:00,2026-07-09T17:45:00+00:00,long,4056.646,4020.5048815330297,4146.998796167427,2.1974970163854177,2.1974970163854177,time,4067.2094765624997,4005.214890625,4137.3345,3942.204,4202.378
reel-mechanical-fixed-2.5R,2026-07-10T03:45:00+00:00,2026-07-10T13:15:00+00:00,short,4121.776,4135.668407505939,4087.044981235151,2.5,2.5,target,4067.2094765624997,4005.214890625,4137.3345,3942.204,4202.378
