symbol,period,return_pct,profit_factor,win_rate_pct,equity_dd_pct,trades,sharpe,recovery_factor,commission,swap
xauusd,baseline_locked,9.5932,13.24,88.89,1.85,9,0.88,4.73,-0.54,0.0
xauusd,optimized_locked,23.8231,3.15,54.17,3.77,24,5.86,4.91,-3.24,0.0
xauusd,optimized_full,69.8458,2.47,45.71,6.83,70,3.97,7.07,-28.41,0.0
xagusd,baseline_locked,4.8042,1.2,44.23,4.21,52,1.5,1.14,-39.629999999999995,0.0
xagusd,optimized_locked,3.1830999999999996,1.11,27.66,6.51,47,0.62,0.48,-38.64,0.0
xagusd,optimized_full,16.6855,1.4,33.33,6.94,69,1.26,2.05,-72.89999999999999,0.0
ustec,baseline_locked,-1.0854000000000001,0.88,37.5,4.28,16,-0.18,-0.25,-1.81,-87.45
ustec,optimized_locked,-4.5507,0.64,51.85,4.68,27,-2.9,-0.97,-5.01,-42.5
ustec,optimized_full,2.0527,1.07,64.94,5.23,77,0.55,0.36,-21.57,-156.8
us30,baseline_locked,-25.544299999999996,0.79,35.75,27.52,221,-2.92,-0.91,-111.03,-160.45
us30,optimized_locked,-28.138600000000004,0.73,15.75,32.42,127,-2.76,-0.82,-79.02,-295.92
us30,optimized_full,-4.151000000000001,0.98,21.51,36.08,251,-0.12,-0.08,-198.46,-1987.48
btcusd,baseline_locked,-9.1253,0.82,36.26,11.74,91,-1.23,-0.78,-32.62,-58.54
btcusd,optimized_locked,-16.8238,0.62,52.83,24.28,106,-4.32,-0.68,-94.54,-25.89
btcusd,optimized_full,8.8899,1.06,56.03,28.84,307,0.51,0.22,-344.77,-117.62
gbpjpy,baseline_locked,-3.6338999999999997,0.7,33.33,8.4,18,-0.64,-0.41,-9.86,-53.25
gbpjpy,optimized_locked,-3.8120999999999996,0.74,16.67,9.83,18,-0.55,-0.38,-13.0,-56.790000000000006
gbpjpy,optimized_full,21.438200000000002,1.87,34.38,9.98,32,0.98,1.65,-25.14,-127.02
eurusd,baseline_locked,-0.7017,0.98,40.0,9.92,50,-0.13,-0.07,-36.05,0.0
eurusd,optimized_locked,3.3612,1.36,70.97,5.62,31,1.2,0.55,-19.69,0.0
eurusd,optimized_full,20.9698,1.81,73.49,7.12,83,2.54,2.39,-58.82,0.0
