symbol,timeframe,variant,return_pct,profit_factor,win_rate_pct,equity_dd_pct,trades,sharpe,recovery_factor,score,history_quality,commission,swap,path
btcusd,h1,all,30.608400000000003,1.3,57.71,9.2,201,2.18,2.49,27.798400000000004,100%,-220.65,-82.87,Elliott Wave Research 2026-09-05\Backtest Reports\session\btcusd--h1--all--session.htm
btcusd,h1,london,15.795399999999999,1.48,57.35,6.66,68,4.48,1.95,17.840399999999995,100%,-97.76,-11.3,Elliott Wave Research 2026-09-05\Backtest Reports\session\btcusd--h1--london--session.htm
btcusd,h1,asia,6.997300000000001,1.26,61.19,10.45,67,1.44,0.62,2.479800000000001,100%,-54.2,-18.86,Elliott Wave Research 2026-09-05\Backtest Reports\session\btcusd--h1--asia--session.htm
btcusd,h1,overlap,-3.7655000000000003,0.91,50.6,9.29,83,-0.84,-0.38,-12.052999999999999,100%,-75.15,-32.61,Elliott Wave Research 2026-09-05\Backtest Reports\session\btcusd--h1--overlap--session.htm
btcusd,h1,newyork,-12.634400000000001,0.8,51.45,17.62,138,-2.1,-0.68,-28.899400000000004,100%,-117.42999999999999,-58.85,Elliott Wave Research 2026-09-05\Backtest Reports\session\btcusd--h1--newyork--session.htm
eurusd,h1,newyork,17.5116,2.18,75.0,5.37,52,3.44,2.65,27.0041,100%,-35.78,0.0,Elliott Wave Research 2026-09-05\Backtest Reports\session\eurusd--h1--newyork--session.htm
eurusd,h1,overlap,11.5813,2.29,77.78,4.99,36,3.24,2.01,22.358800000000002,100%,-26.28,0.0,Elliott Wave Research 2026-09-05\Backtest Reports\session\eurusd--h1--overlap--session.htm
eurusd,h1,all,9.9039,1.27,65.59,9.11,93,1.5,0.9,6.5214,100%,-79.65,0.0,Elliott Wave Research 2026-09-05\Backtest Reports\session\eurusd--h1--all--session.htm
eurusd,h1,london,4.7324,1.36,71.43,8.9,42,1.89,0.46,2.6024000000000007,100%,-41.18,0.0,Elliott Wave Research 2026-09-05\Backtest Reports\session\eurusd--h1--london--session.htm
eurusd,h1,asia,-7.303999999999999,0.55,54.05,10.72,37,-3.34,-0.67,-21.514000000000003,100%,-34.230000000000004,0.0,Elliott Wave Research 2026-09-05\Backtest Reports\session\eurusd--h1--asia--session.htm
gbpjpy,h4,all,23.34,2.97,45.0,7.54,20,1.11,2.77,33.440000000000005,100%,-13.67,-72.81,Elliott Wave Research 2026-09-05\Backtest Reports\session\gbpjpy--h4--all--session.htm
gbpjpy,h4,london,2.538,1.18,25.0,9.22,20,0.16,0.27,-6.997000000000002,100%,-11.629999999999999,-31.85,Elliott Wave Research 2026-09-05\Backtest Reports\session\gbpjpy--h4--london--session.htm
