month,signals,accepted,rejected,wins,losses,win_rate_pct,profit_factor,gross_profit,commission,swap,net_profit,return_pct,stress_profit,stressed_return_pct,exec_net_profit,swing_exec_return_pct,exec_stress_profit,swing_exec_stressed_return_pct
2023-09,23,21,2,12,11,52.17,1.73,3187.56,-361.07,0.0,2833.2,2.833,756.45,0.756,2408.06,2.408,705.11,0.705
2023-10,26,25,1,12,14,46.15,1.01,380.62,-345.47,0.0,35.15,0.035,-2130.65,-2.131,-230.21,-0.23,-2190.64,-2.191
2023-11,29,27,2,12,17,41.38,1.57,3816.32,-393.96,0.0,3422.36,3.422,-361.99,-0.362,2812.51,2.813,-368.27,-0.368
2023-12,32,29,3,17,15,53.12,2.35,7422.74,-597.56,0.0,6828.66,6.829,2524.95,2.525,5590.51,5.591,2057.66,2.058
2024-01,30,27,3,19,11,63.33,3.53,10118.88,-520.34,0.0,9598.55,9.599,5793.56,5.794,9402.35,9.402,6010.84,6.011
2024-02,28,26,2,17,11,60.71,2.8,7015.34,-394.04,0.0,6625.58,6.626,3185.67,3.186,5089.96,5.09,2412.51,2.413
2024-03,34,30,4,16,18,47.06,1.52,4854.01,-652.92,0.0,4201.09,4.201,-932.16,-0.932,1565.73,1.566,-1682.72,-1.683
2024-04,31,28,3,18,13,58.06,3.9,14451.79,-437.08,0.0,14019.97,14.02,8582.22,8.582,10417.38,10.417,7073.19,7.073
2024-05,30,26,4,16,14,53.33,5.08,22578.29,-555.79,-139.67,21882.83,21.883,11998.53,11.999,8765.94,8.766,4582.12,4.582
2024-06,26,22,4,18,8,69.23,11.31,36181.95,-540.59,0.0,35641.37,35.641,21957.72,21.958,12137.2,12.137,7645.36,7.645
2024-07,26,21,5,19,7,73.08,10.78,25276.06,-554.34,0.0,24721.73,24.722,16401.81,16.402,14981.81,14.982,11140.07,11.14
2024-08,30,26,4,14,16,46.67,1.98,7268.44,-417.94,-145.81,6708.71,6.709,1190.7,1.191,3568.31,3.568,581.95,0.582
2024-09,37,32,5,20,17,54.05,3.43,18451.11,-765.69,0.0,17685.42,17.685,7446.36,7.446,2720.13,2.72,-1718.58,-1.719
2024-10,32,30,2,20,12,62.5,3.51,9356.86,-447.93,0.0,8911.88,8.912,4818.26,4.818,7281.25,7.281,3983.35,3.983
2024-11,31,27,4,17,14,54.84,3.9,13872.85,-446.61,-133.77,13292.48,13.292,7572.81,7.573,7329.41,7.329,4634.51,4.635
2024-12,24,20,4,10,14,41.67,1.55,3819.27,-428.93,-50.28,3342.24,3.342,-673.24,-0.673,1141.93,1.142,-654.48,-0.654
2025-01,41,38,3,25,16,60.98,5.95,33425.68,-434.81,0.0,32990.87,32.991,19770.73,19.771,5061.43,5.061,1954.09,1.954
2025-02,31,27,4,19,12,61.29,3.83,18691.19,-445.83,0.0,18245.36,18.245,9420.72,9.421,3780.92,3.781,979.63,0.98
2025-03,35,30,5,13,22,37.14,2.82,12867.28,-483.4,0.0,12387.11,12.387,4592.26,4.592,169.97,0.17,-1789.45,-1.789
2025-04,33,31,2,14,19,42.42,1.78,6440.76,-330.97,-48.11,6061.68,6.062,874.79,0.875,421.77,0.422,-2077.77,-2.078
2025-05,37,32,5,19,18,51.35,1.24,2516.01,-473.58,-63.58,1978.85,1.979,-2880.13,-2.88,-1076.11,-1.076,-3312.99,-3.313
2025-06,26,23,3,16,10,61.54,3.28,9888.46,-390.23,0.0,9498.23,9.498,4132.81,4.133,583.64,0.584,-1324.17,-1.324
2025-07,30,26,4,20,10,66.67,3.34,10372.09,-434.79,0.0,9937.3,9.937,5156.79,5.157,4333.61,4.334,1964.39,1.964
2025-08,26,23,3,19,7,73.08,5.66,13964.61,-391.32,0.0,13573.29,13.573,8578.64,8.579,6842.25,6.842,4540.97,4.541
2025-09,36,31,5,19,17,52.78,4.04,22622.69,-700.96,0.0,21928.25,21.928,10386.91,10.387,4369.02,4.369,-464.09,-0.464
2025-10,35,31,4,21,14,60.0,5.88,21899.26,-352.47,0.0,21550.52,21.551,12910.58,12.911,12446.48,12.446,8424.02,8.424
2025-11,25,23,2,6,19,24.0,0.62,-2704.63,-345.5,0.0,-3050.13,-3.05,-5588.71,-5.589,-1384.85,-1.385,-3282.11,-3.282
2025-12,31,27,4,19,12,61.29,5.4,23902.88,-541.72,0.0,23361.16,23.361,12491.81,12.492,10949.88,10.95,5850.49,5.85
2026-01,38,29,9,21,17,55.26,1.58,7864.86,-739.94,0.0,7124.91,7.125,-1088.24,-1.088,6789.72,6.79,3995.13,3.995
2026-02,30,26,4,16,14,53.33,10.66,38599.71,-350.32,-52.72,38204.6,38.205,24487.09,24.487,14884.12,14.884,9778.78,9.779
2026-03,33,26,7,17,16,51.52,2.21,8901.21,-577.25,0.0,8330.33,8.33,2392.69,2.393,3649.77,3.65,1860.24,1.86
2026-04,31,26,5,16,15,51.61,2.25,7331.34,-457.9,0.0,6873.44,6.873,2852.58,2.853,5710.73,5.711,3353.9,3.354
2026-05,36,28,8,14,22,38.89,0.92,-65.53,-631.51,0.0,-690.13,-0.69,-4848.21,-4.848,800.59,0.801,-972.94,-0.973
2026-06,31,27,4,14,17,45.16,3.13,15633.05,-585.04,0.0,15061.78,15.062,5303.21,5.303,7235.8,7.236,666.32,0.666
2026-07,32,29,3,20,12,62.5,10.5,33233.02,-505.56,0.0,32737.22,32.737,19352.71,19.353,24483.07,24.483,14325.01,14.325
2026-08,36,32,4,20,16,55.56,2.96,17405.98,-651.53,0.0,16758.89,16.759,6626.05,6.626,17797.26,17.797,8754.19,8.754
