month,NXAU,NXAG,NBTC,OVP,XTP,UJPY,UNY,UH1,all_total,swing_stressed
2023-09,-376.6,-770.53,425.13,0.0,1463.35,200.72,658.55,1232.58,2833.2,705.11
2023-10,-194.33,-379.25,265.37,1833.65,-940.9,-185.63,0.0,-363.76,35.15,-2190.64
2023-11,181.27,2436.31,609.85,0.0,479.7,563.72,-689.85,-158.65,3422.36,-368.27
2023-12,719.19,979.26,1238.15,-1499.68,3863.42,-41.46,0.0,1569.77,6828.66,2057.66
2024-01,77.59,825.96,196.2,414.92,-453.94,5029.84,1995.75,1512.23,9598.55,6010.84
2024-02,629.93,2411.85,1535.62,145.9,530.79,1922.22,0.0,-550.74,6625.58,2412.51
2024-03,-1294.26,-926.44,2635.36,563.18,1434.81,-1064.85,889.04,1964.25,4201.09,-1682.72
2024-04,1609.64,1637.41,3602.59,695.98,2286.19,3320.67,-700.57,1568.06,14019.97,7073.19
2024-05,2910.88,3458.27,13116.89,-993.26,913.09,152.02,1721.38,603.55,21882.83,4582.12
2024-06,1473.01,4516.48,23504.17,-250.32,20.07,4812.56,0.0,1565.4,35641.37,7645.36
2024-07,1263.84,3462.32,9739.91,0.0,3590.96,6487.43,0.0,177.26,24721.73,11140.07
2024-08,623.74,656.81,3140.4,0.0,1043.17,555.65,-502.78,1191.73,6708.71,581.95
2024-09,-262.23,833.34,14965.29,296.45,1357.43,-96.45,481.59,110.0,17685.42,-1718.58
2024-10,270.73,454.11,1630.63,1152.47,43.53,3611.89,213.2,1535.3,8911.88,3983.35
2024-11,370.56,1340.64,5963.07,-8.13,-449.73,-687.7,754.09,6009.69,13292.48,4634.51
2024-12,-780.6,-539.07,2200.31,236.66,-942.74,-804.83,0.0,3972.51,3342.24,-654.48
2025-01,515.87,1400.88,27929.44,637.23,3022.36,-151.88,-680.84,317.82,32990.87,1954.09
2025-02,-36.49,-177.24,14464.43,-496.38,64.32,-475.55,219.75,4682.51,18245.36,979.63
2025-03,-121.94,-252.24,12217.14,-144.84,1736.6,-1364.11,1096.87,-780.35,12387.11,-1789.45
2025-04,-1005.99,-640.16,5639.91,386.74,-823.96,-1410.31,3805.77,109.67,6061.68,-2077.77
2025-05,-251.47,-1278.72,3054.96,1674.4,-237.8,1170.92,-451.46,-1701.99,1978.85,-3312.99
2025-06,-315.45,-1276.87,8914.59,1197.12,24.41,-1197.98,1574.34,578.06,9498.23,-1324.17
2025-07,917.16,206.72,5603.69,706.01,997.81,1107.94,0.0,397.97,9937.3,1964.39
2025-08,867.34,709.49,6731.03,-483.62,973.64,2474.15,1010.09,1291.17,13573.29,4540.97
2025-09,673.17,861.01,17559.23,1225.64,244.88,1685.07,-79.92,-240.82,21928.25,-464.09
2025-10,2934.4,3483.8,9104.03,-161.01,2748.64,-759.13,3488.34,711.45,21550.52,8424.02
2025-11,-275.0,-1251.81,-1665.29,-672.08,0.0,-317.63,698.61,433.08,-3050.13,-3282.11
2025-12,1588.54,7596.3,12411.28,213.45,2155.49,1572.04,-1504.05,-671.89,23361.16,5850.49
2026-01,613.99,-2116.1,2451.3,111.19,431.27,777.35,723.74,4132.17,7124.91,3995.13
2026-02,9443.25,19810.16,3510.31,0.0,2349.18,-466.35,-262.53,3820.59,38204.6,9778.78
2026-03,-384.78,1654.52,3026.04,-240.55,-440.06,1469.56,988.5,2257.11,8330.33,1860.24
2026-04,462.62,-463.93,1428.2,-480.18,39.03,5216.65,104.95,566.1,6873.44,3353.9
2026-05,-977.56,-1535.13,44.41,2903.85,858.48,-1252.39,-199.04,-532.75,-690.13,-972.94
2026-06,4533.14,5035.11,7825.97,-190.52,0.0,-2117.54,-221.42,197.03,15061.78,666.32
2026-07,7711.92,16749.3,8254.14,642.44,-493.92,-687.43,550.61,10.14,32737.22,14325.01
2026-08,4141.81,9447.88,-1038.36,2399.85,-4.25,1183.94,486.81,141.22,16758.89,8754.19
