ea,mode,wait_minutes,hard_loss_cap_r,base_dev_return_pct,fast_dev_return_pct,base_dev_pf,fast_dev_pf,base_validation_return_pct,fast_validation_return_pct,base_validation_pf,fast_validation_pf,base_validation_dd_pct,fast_validation_dd_pct,dev_trades,validation_trades,dev_retention_pct,validation_retention_pct,base_locked_return_pct,fast_locked_return_pct,base_locked_pf,fast_locked_pf,base_locked_dd_pct,fast_locked_dd_pct,base_locked_trades,fast_locked_trades,prelock_decision,locked_oos
ATR Candle Breakout,baseline,0,1.0,62.71068117374987,62.71068117374987,1.136150445773199,1.136150445773199,-15.027553952230733,-15.027553952230733,0.7455891142285036,0.7455891142285036,19.909894248712064,19.909894248712064,478,73,100.0,100.0,39.616081480167644,39.616081480167644,1.3420911472231627,1.3420911472231627,11.680601081027888,11.680601081027888,119,119,REJECT,NOT TESTED
Asia Breakout,both,20,2.0,-13.072742320732889,-12.689908800424487,0.9504387755968048,0.9505831070422845,-2.5832202968675833,1.832931611883093,0.9544945189711131,1.0339261880106618,14.191484943183658,12.37946049135394,440,77,94.4206008583691,95.06172839506173,24.54328629253002,20.41049652705109,1.2680174911876918,1.2211571349890462,13.723569817780346,19.260157901635026,113,110,PASS,FAILED
Auction Market BTC,baseline,0,1.0,21.916417196735736,21.916417196735736,1.7529986778300506,1.7529986778300506,2.840564792233935,2.840564792233935,1.3114599715064672,1.3114599715064672,3.080769086362325,3.080769086362325,35,12,100.0,100.0,13.9488485379456,13.9488485379456,1.9142016620250968,1.9142016620250968,10.557638065631693,10.557638065631693,19,19,INSUFFICIENT,NOT TESTED
Auction Market ETH,both,15,1.5,29.764294483561994,38.968925108169984,1.681869378731526,1.9936465809603268,11.484981560283614,15.89225409045718,1.8605209885090164,2.346338000981871,9.93232275401473,8.32547403282547,39,12,88.63636363636364,92.3076923076923,14.330532973468934,12.902765131339255,2.882900344738168,2.837459294784938,4.130286744386557,3.347538297236229,11,10,PASS,FAILED
Auction Market US100,baseline,0,1.0,33.536631799848934,33.536631799848934,2.713624389744845,2.713624389744845,9.276567719700179,9.276567719700179,5.163565775020986,5.163565775020986,1.9981546456406727,1.9981546456406727,23,3,100.0,100.0,-1.0128517579997776,-1.0128517579997776,0.930777870649544,0.930777870649544,13.171338842182545,13.171338842182545,17,17,INSUFFICIENT,NOT TESTED
Auction Market US30,baseline,0,1.0,10.104979746023602,10.104979746023602,1.9185732402124258,1.9185732402124258,22.555448830424485,22.555448830424485,3.609896711372494,3.609896711372494,6.808787788501229,6.808787788501229,15,9,100.0,100.0,2.5322628876043307,2.5322628876043307,1.5152901452348695,1.5152901452348695,4.914246684166901,4.914246684166901,6,6,INSUFFICIENT,NOT TESTED
Auction Market XAG,exit,15,1.25,56.346634974751495,55.08522131542433,3.1569954339866237,3.011048073853414,20.19277004948501,20.651163085499945,4.711803584350478,4.850774545836255,3.19232307365568,3.0020536854678905,52,12,100.0,100.0,-1.4460869360829576,-1.6964279078070632,0.8157108523612653,0.7913959787855046,6.884558156522908,7.205678049434883,14,14,PASS,FAILED
Auction Market XAU,baseline,0,1.0,15.342706586697297,15.342706586697297,4.569037393361327,4.569037393361327,1.888780701833559,1.888780701833559,1.456794292206525,1.456794292206525,2.975654264939763,2.975654264939763,16,6,100.0,100.0,6.084122960321325,6.084122960321325,4619.642869592667,4619.642869592667,0.001241731839854928,0.001241731839854928,3,3,INSUFFICIENT,NOT TESTED
Auction Stock AMZN,baseline,0,1.0,20.59038500857926,20.59038500857926,3.778092744470437,3.778092744470437,1.847201873432347,1.847201873432347,2.8331564809484813,2.8331564809484813,1.0076618622740716,1.0076618622740716,18,2,100.0,100.0,0.8847086298689133,0.8847086298689133,1.4324804799267543,1.4324804799267543,1.0192605447095648,1.0192605447095648,3,3,INSUFFICIENT,NOT TESTED
Auction Stock AVGO,baseline,0,1.0,12.829774369484582,12.829774369484582,2.5704155307778596,2.5704155307778596,0.0,0.0,0.0,0.0,0.0,0.0,15,0,100.0,100.0,3.147068734395697,3.147068734395697,2.225023647980069,2.225023647980069,2.5058773114697104,2.5058773114697104,9,9,INSUFFICIENT,NOT TESTED
Auction Stock GOOGL,baseline,0,1.0,40.61241320294977,40.61241320294977,5.864662171974141,5.864662171974141,-2.0681444214526334,-2.0681444214526334,0.0,0.0,2.0681444214526343,2.0681444214526343,16,2,100.0,100.0,6.148363240417365,6.148363240417365,6.616817545832751,6.616817545832751,1.0207050295098736,1.0207050295098736,2,2,INSUFFICIENT,NOT TESTED
Auction Stock INTC,baseline,0,1.0,19.10422626128372,19.10422626128372,4.188446653388812,4.188446653388812,3.62580498866214,3.62580498866214,999.0,999.0,0.0,0.0,18,1,100.0,100.0,4.365318590573453,4.365318590573453,4.857994146405205,4.857994146405205,1.0143701903604676,1.0143701903604676,5,5,INSUFFICIENT,NOT TESTED
Auction Stock META,baseline,0,1.0,15.844135699757622,15.844135699757622,2.117066285250052,2.117066285250052,4.7991787261705054,4.7991787261705054,5.431725004227671,5.431725004227671,1.0227549779156897,1.0227549779156897,22,3,100.0,100.0,14.146990114546586,14.146990114546586,4.188007434030928,4.188007434030928,2.051496201014406,2.051496201014406,10,10,INSUFFICIENT,NOT TESTED
Auction Stock MSFT,baseline,0,1.0,15.513013668531283,15.513013668531283,3.7055749546781733,3.7055749546781733,-1.0180159654363474,-1.0180159654363474,0.0,0.0,1.0180159654363525,1.0180159654363525,12,1,100.0,100.0,4.856170021932704,4.856170021932704,5.409999103389633,5.409999103389633,1.0392602698196178,1.0392602698196178,3,3,INSUFFICIENT,NOT TESTED
Auction Stock NVDA,baseline,0,1.0,13.946082467596078,13.946082467596078,2.1494893668408905,2.1494893668408905,6.694888499796492,6.694888499796492,4.320849674303861,4.320849674303861,2.0160167295738756,2.0160167295738756,23,5,100.0,100.0,1.932126621502217,1.932126621502217,2.8963840686120323,2.8963840686120323,1.0188477394857909,1.0188477394857909,3,3,INSUFFICIENT,NOT TESTED
Auction Stock SP500,baseline,0,1.0,18.080526467611293,18.080526467611293,2.696343714689111,2.696343714689111,4.0905421004506115,4.0905421004506115,1.5796664943310557,1.5796664943310557,3.6167655844096065,3.6167655844096065,22,10,100.0,100.0,-0.06175222515948375,-0.06175222515948375,0.986157107669946,0.986157107669946,4.272958518334953,4.272958518334953,6,6,INSUFFICIENT,NOT TESTED
DmC,baseline,0,1.0,-24.68994970585464,-24.68994970585464,0.8177674304134129,0.8177674304134129,-14.517801517262374,-14.517801517262374,0.761012546526659,0.761012546526659,24.34189723452981,24.34189723452981,238,99,100.0,100.0,30.127283556386764,30.127283556386764,1.2001028625572565,1.2001028625572565,9.95357562647036,9.95357562647036,235,235,REJECT,NOT TESTED
EMA3,exit,60,1.5,9.661071324641446,8.772041252893747,1.1344199620730664,1.1221317177625239,2.2926043918628958,3.1062607272553056,1.1495516288934196,1.212491463431527,7.039896682516996,7.066918883179716,120,27,100.0,100.0,28.26214638584421,28.371161821145385,2.694832457786198,2.702918562505882,3.9445501932494014,4.090430389804196,40,40,PASS,FAILED
Go Long,baseline,0,1.0,-24.430164938423527,-24.430164938423527,0.9120977386435093,0.9120977386435093,-2.782642158753257,-2.782642158753257,0.9606120536395706,0.9606120536395706,18.300030732625235,18.300030732625235,1054,189,100.0,100.0,20.23709898101005,20.23709898101005,1.1949482169153063,1.1949482169153063,9.08971431153133,9.08971431153133,312,312,REJECT,NOT TESTED
LTA Volume Profile,baseline,0,1.0,-26.964842290967926,-26.964842290967926,0.9399151540418854,0.9399151540418854,-8.110517987831589,-8.110517987831589,0.9279054063061767,0.9279054063061767,15.646969443813932,15.646969443813932,766,151,100.0,100.0,93.95268676682309,93.95268676682309,1.3850402582407597,1.3850402582407597,13.132029093307526,13.132029093307526,243,243,REJECT,NOT TESTED
