kind,server_epoch,ny_day,side,high,low,poc,vah,val,requested_entry,stop,target,lots,planned_cash_risk,cutoff_epoch
profile,1632144600,20210920,0,1761.22,1741.858,1752.598,1757.59,1746.699,0.0,0.0,0.0,0.0,0.0,1632166200
entry,1632145200,20210920,1,1761.22,1741.858,1752.598,1757.59,1746.699,1757.976,1752.597,1761.22,0.19,102.201,1632166200
profile,1632231000,20210921,0,1775.037,1757.906,1762.323,1767.275,1759.244,0.0,0.0,0.0,0.0,0.0,1632252600
invalid_geometry,1632231300,20210921,1,1775.037,1757.906,1762.323,1767.275,1759.244,1773.037,1762.322,1775.037,0.0,0.0,1632252600
profile,1632317400,20210922,0,1780.292,1771.481,1774.992,1777.539,1772.858,0.0,0.0,0.0,0.0,0.0,1632339000
invalid_geometry,1632324300,20210922,1,1780.292,1771.481,1774.992,1777.539,1772.858,1778.884,1774.991,1780.292,0.0,0.0,1632339000
profile,1632403800,20210923,0,1776.566,1753.992,1763.692,1771.628,1761.046,0.0,0.0,0.0,0.0,0.0,1632425400
invalid_geometry,1632404100,20210923,-1,1776.566,1753.992,1763.692,1771.628,1761.046,1754.987,1763.693,1753.992,0.0,0.0,1632425400
profile,1632490200,20210924,0,1757.598,1741.275,1754.92,1756.323,1747.906,0.0,0.0,0.0,0.0,0.0,1632511800
invalid_geometry,1632490500,20210924,-1,1757.598,1741.275,1754.92,1756.323,1747.906,1744.09,1754.921,1741.275,0.0,0.0,1632511800
profile,1632749400,20210927,0,1760.832,1744.846,1749.467,1757.585,1747.094,0.0,0.0,0.0,0.0,0.0,1632771000
profile,1632835800,20210928,0,1754.448,1728.106,1743.129,1748.274,1730.987,0.0,0.0,0.0,0.0,0.0,1632857400
profile,1632922200,20210929,0,1745.51,1733.327,1738.562,1742.274,1736.563,0.0,0.0,0.0,0.0,0.0,1632943800
entry,1632924300,20210929,-1,1745.51,1733.327,1738.562,1742.274,1736.563,1735.218,1738.563,1733.327,0.31,103.695,1632943800
profile,1633008600,20210930,0,1741.531,1722.249,1732.643,1733.999,1727.07,0.0,0.0,0.0,0.0,0.0,1633030200
