kind,server_epoch,ny_day,side,high,low,poc,vah,val,requested_entry,stop,target,lots,planned_cash_risk,cutoff_epoch
profile,1632144600,20210920,0,1761.22,1741.858,1757.287,1760.212,1749.32,0.0,0.0,0.0,0.0,0.0,1632166200
invalid_geometry,1632147300,20210920,1,1761.22,1741.858,1757.287,1760.212,1749.32,1760.32,1757.286,1761.22,0.0,0.0,1632166200
profile,1632231000,20210921,0,1775.037,1757.906,1761.386,1769.327,1758.798,0.0,0.0,0.0,0.0,0.0,1632252600
invalid_geometry,1632231300,20210921,1,1775.037,1757.906,1761.386,1769.327,1758.798,1773.037,1761.385,1775.037,0.0,0.0,1632252600
profile,1632317400,20210922,0,1780.292,1771.481,1775.015,1778.181,1772.858,0.0,0.0,0.0,0.0,0.0,1632339000
invalid_geometry,1632324300,20210922,1,1780.292,1771.481,1775.015,1778.181,1772.858,1778.884,1775.014,1780.292,0.0,0.0,1632339000
profile,1632403800,20210923,0,1776.566,1753.992,1763.045,1773.039,1760.811,0.0,0.0,0.0,0.0,0.0,1632425400
invalid_geometry,1632404100,20210923,-1,1776.566,1753.992,1763.045,1773.039,1760.811,1754.987,1763.046,1753.992,0.0,0.0,1632425400
profile,1632490200,20210924,0,1757.598,1741.275,1755.133,1756.408,1746.546,0.0,0.0,0.0,0.0,0.0,1632511800
invalid_geometry,1632490500,20210924,-1,1757.598,1741.275,1755.133,1756.408,1746.546,1744.09,1755.134,1741.275,0.0,0.0,1632511800
profile,1632749400,20210927,0,1760.832,1744.846,1749.425,1758.834,1747.51,0.0,0.0,0.0,0.0,0.0,1632771000
profile,1632835800,20210928,0,1754.448,1728.106,1743.061,1750.606,1731.948,0.0,0.0,0.0,0.0,0.0,1632857400
invalid_geometry,1632837000,20210928,-1,1754.448,1728.106,1743.061,1750.606,1731.948,1730.988,1743.062,1728.106,0.0,0.0,1632857400
profile,1632922200,20210929,0,1745.51,1733.327,1738.467,1743.353,1736.5,0.0,0.0,0.0,0.0,0.0,1632943800
entry,1632924300,20210929,-1,1745.51,1733.327,1738.467,1743.353,1736.5,1735.218,1738.468,1733.327,0.16,52.0,1632943800
profile,1633008600,20210930,0,1741.531,1722.249,1732.593,1733.899,1725.463,0.0,0.0,0.0,0.0,0.0,1633030200
invalid_geometry,1633008900,20210930,1,1741.531,1722.249,1732.593,1733.899,1725.463,1742.334,1732.592,1741.531,0.0,0.0,1633030200
profile,1633095000,20211001,0,1759.792,1749.722,1754.705,1756.121,1751.715,0.0,0.0,0.0,0.0,0.0,1633116600
invalid_geometry,1633095300,20211001,1,1759.792,1749.722,1754.705,1756.121,1751.715,1758.282,1754.704,1759.792,0.0,0.0,1633116600
profile,1633354200,20211004,0,1765.694,1747.713,1764.102,1765.694,1751.272,0.0,0.0,0.0,0.0,0.0,1633375800
invalid_geometry,1633354500,20211004,-1,1765.694,1747.713,1764.102,1765.694,1751.272,1748.691,1764.103,1747.713,0.0,0.0,1633375800
profile,1633440600,20211005,0,1769.384,1751.337,1757.823,1763.744,1752.277,0.0,0.0,0.0,0.0,0.0,1633462200
invalid_geometry,1633442100,20211005,-1,1769.384,1751.337,1757.823,1763.744,1752.277,1751.163,1757.824,1751.337,0.0,0.0,1633462200
profile,1633527000,20211006,0,1761.275,1745.897,1755.108,1760.314,1748.941,0.0,0.0,0.0,0.0,0.0,1633548600
invalid_geometry,1633530900,20211006,1,1761.275,1745.897,1755.108,1760.314,1748.941,1760.646,1755.107,1761.275,0.0,0.0,1633548600
profile,1633613400,20211007,0,1766.929,1751.973,1760.464,1764.904,1756.024,0.0,0.0,0.0,0.0,0.0,1633635000
invalid_geometry,1633614000,20211007,-1,1766.929,1751.973,1760.464,1764.904,1756.024,1754.731,1760.465,1751.973,0.0,0.0,1633635000
profile,1633699800,20211008,0,1781.33,1753.357,1759.622,1772.006,1753.357,0.0,0.0,0.0,0.0,0.0,1633721400
invalid_geometry,1633700100,20211008,1,1781.33,1753.357,1759.622,1772.006,1753.357,1777.256,1759.621,1781.33,0.0,0.0,1633721400
profile,1633959000,20211011,0,1760.985,1750.166,1755.181,1757.829,1752.758,0.0,0.0,0.0,0.0,0.0,1633980600
entry,1633959600,20211011,1,1760.985,1750.166,1755.181,1757.829,1752.758,1758.032,1755.18,1760.985,0.18,51.336,1633980600
profile,1634045400,20211012,0,1764.971,1750.67,1757.746,1763.183,1755.437,0.0,0.0,0.0,0.0,0.0,1634067000
invalid_geometry,1634046600,20211012,1,1764.971,1750.67,1757.746,1763.183,1755.437,1766.488,1757.745,1764.971,0.0,0.0,1634067000
profile,1634131800,20211013,0,1777.549,1757.863,1760.631,1768.936,1759.093,0.0,0.0,0.0,0.0,0.0,1634153400
invalid_geometry,1634132100,20211013,1,1777.549,1757.863,1760.631,1768.936,1759.093,1772.073,1760.63,1777.549,0.0,0.0,1634153400
profile,1634218200,20211014,0,1800.463,1786.684,1798.812,1799.028,1789.985,0.0,0.0,0.0,0.0,0.0,1634239800
entry,1634221500,20211014,1,1800.463,1786.684,1798.812,1799.028,1789.985,1799.51,1798.811,1800.463,0.72,50.328,1634239800
profile,1634304600,20211015,0,1796.425,1764.756,1794.941,1796.425,1772.013,0.0,0.0,0.0,0.0,0.0,1634326200
invalid_geometry,1634304900,20211015,-1,1796.425,1764.756,1794.941,1796.425,1772.013,1767.4,1794.942,1764.756,0.0,0.0,1634326200
profile,1634563800,20211018,0,1772.051,1760.314,1764.654,1769.85,1761.17,0.0,0.0,0.0,0.0,0.0,1634585400
invalid_geometry,1634566200,20211018,1,1772.051,1760.314,1764.654,1769.85,1761.17,1770.476,1764.653,1772.051,0.0,0.0,1634585400
profile,1634650200,20211019,0,1785.1,1762.923,1779.209,1785.1,1773.318,0.0,0.0,0.0,0.0,0.0,1634671800
entry,1634653200,20211019,-1,1785.1,1762.923,1779.209,1785.1,1773.318,1772.983,1779.21,1762.923,0.09,56.043,1634671800
timed_exit,1634671800,20211019,0,1785.1,1762.923,1779.209,1785.1,1773.318,0.0,0.0,0.0,0.0,0.0,1634671800
profile,1634736600,20211020,0,1788.405,1766.876,1778.874,1785.265,1770.464,0.0,0.0,0.0,0.0,0.0,1634758200
invalid_geometry,1634747700,20211020,1,1788.405,1766.876,1778.874,1785.265,1770.464,1785.655,1778.873,1788.405,0.0,0.0,1634758200
profile,1634823000,20211021,0,1789.41,1776.342,1782.263,1787.096,1781.379,0.0,0.0,0.0,0.0,0.0,1634844600
entry,1634824500,20211021,-1,1789.41,1776.342,1782.263,1787.096,1781.379,1781.212,1782.264,1776.342,0.48,50.496,1634844600
profile,1634909400,20211022,0,1807.726,1782.943,1792.366,1807.726,1786.041,0.0,0.0,0.0,0.0,0.0,1634931000
invalid_geometry,1634911200,20211022,1,1807.726,1782.943,1792.366,1807.726,1786.041,1808.22,1792.365,1807.726,0.0,0.0,1634931000
profile,1635168600,20211025,0,1804.643,1792.238,1794.37,1801.542,1792.496,0.0,0.0,0.0,0.0,0.0,1635190200
invalid_geometry,1635168900,20211025,1,1804.643,1792.238,1794.37,1801.542,1792.496,1803.812,1794.369,1804.643,0.0,0.0,1635190200
profile,1635255000,20211026,0,1808.273,1794.008,1802.255,1808.273,1799.655,0.0,0.0,0.0,0.0,0.0,1635276600
invalid_geometry,1635255300,20211026,-1,1808.273,1794.008,1802.255,1808.273,1799.655,1790.124,1802.256,1794.008,0.0,0.0,1635276600
profile,1635341400,20211027,0,1796.051,1783.485,1787.085,1793.171,1785.318,0.0,0.0,0.0,0.0,0.0,1635363000
invalid_geometry,1635341700,20211027,1,1796.051,1783.485,1787.085,1793.171,1785.318,1795.241,1787.084,1796.051,0.0,0.0,1635363000
profile,1635427800,20211028,0,1807.816,1794.166,1802.626,1803.408,1796.725,0.0,0.0,0.0,0.0,0.0,1635449400
invalid_geometry,1635428100,20211028,1,1807.816,1794.166,1802.626,1803.408,1796.725,1806.612,1802.625,1807.816,0.0,0.0,1635449400
profile,1635514200,20211029,0,1801.18,1775.788,1796.287,1801.18,1785.046,0.0,0.0,0.0,0.0,0.0,1635535800
invalid_geometry,1635514500,20211029,-1,1801.18,1775.788,1796.287,1801.18,1785.046,1776.61,1796.288,1775.788,0.0,0.0,1635535800
profile,1635773400,20211101,0,1791.474,1779.093,1786.122,1787.734,1780.77,0.0,0.0,0.0,0.0,0.0,1635795000
entry,1635774000,20211101,1,1791.474,1779.093,1786.122,1787.734,1780.77,1787.862,1786.121,1791.474,0.29,50.489,1635795000
profile,1635859800,20211102,0,1796.387,1788.158,1791.458,1794.33,1789.529,0.0,0.0,0.0,0.0,0.0,1635881400
invalid_geometry,1635862200,20211102,-1,1796.387,1788.158,1791.458,1794.33,1789.529,1788.002,1791.459,1788.158,0.0,0.0,1635881400
profile,1635946200,20211103,0,1788.194,1768.734,1782.011,1787.586,1779.68,0.0,0.0,0.0,0.0,0.0,1635967800
invalid_geometry,1635946500,20211103,-1,1788.194,1768.734,1782.011,1787.586,1779.68,1769.858,1782.012,1768.734,0.0,0.0,1635967800
profile,1636032600,20211104,0,1793.255,1770.503,1776.547,1784.723,1770.977,0.0,0.0,0.0,0.0,0.0,1636054200
invalid_geometry,1636032900,20211104,1,1793.255,1770.503,1776.547,1784.723,1770.977,1792.23,1776.546,1793.255,0.0,0.0,1636054200
profile,1636119000,20211105,0,1803.543,1784.955,1794.733,1797.153,1790.764,0.0,0.0,0.0,0.0,0.0,1636140600
entry,1636119300,20211105,1,1803.543,1784.955,1794.733,1797.153,1790.764,1799.867,1794.732,1803.543,0.1,51.35,1636140600
profile,1636381800,20211108,0,1826.035,1812.441,1816.477,1820.654,1814.565,0.0,0.0,0.0,0.0,0.0,1636403400
entry,1636382100,20211108,1,1826.035,1812.441,1816.477,1820.654,1814.565,1821.103,1816.476,1826.035,0.11,50.897,1636403400
profile,1636468200,20211109,0,1830.369,1819.148,1824.817,1827.564,1822.655,0.0,0.0,0.0,0.0,0.0,1636489800
entry,1636468800,20211109,1,1830.369,1819.148,1824.817,1827.564,1822.655,1828.339,1824.816,1830.369,0.15,52.845,1636489800
profile,1636554600,20211110,0,1858.758,1822.331,1825.177,1846.616,1823.09,0.0,0.0,0.0,0.0,0.0,1636576200
invalid_geometry,1636554900,20211110,1,1858.758,1822.331,1825.177,1846.616,1823.09,1861.269,1825.176,1858.758,0.0,0.0,1636576200
profile,1636641000,20211111,0,1865.964,1842.898,1861.279,1865.724,1849.385,0.0,0.0,0.0,0.0,0.0,1636662600
profile,1636727400,20211112,0,1862.572,1845.266,1856.533,1860.589,1850.133,0.0,0.0,0.0,0.0,0.0,1636749000
invalid_geometry,1636729500,20211112,1,1862.572,1845.266,1856.533,1860.589,1850.133,1861.516,1856.532,1862.572,0.0,0.0,1636749000
profile,1636986600,20211115,0,1870.38,1856.346,1862.851,1865.848,1857.369,0.0,0.0,0.0,0.0,0.0,1637008200
entry,1637003100,20211115,1,1870.38,1856.346,1862.851,1865.848,1857.369,1866.367,1862.85,1870.38,0.15,52.754999999999995,1637008200
timed_exit,1637008200,20211115,0,1870.38,1856.346,1862.851,1865.848,1857.369,0.0,0.0,0.0,0.0,0.0,1637008200
profile,1637073000,20211116,0,1877.104,1859.036,1873.058,1877.104,1864.306,0.0,0.0,0.0,0.0,0.0,1637094600
entry,1637073600,20211116,-1,1877.104,1859.036,1873.058,1877.104,1864.306,1864.162,1873.059,1859.036,0.06,53.382,1637094600
profile,1637159400,20211117,0,1865.656,1849.567,1854.679,1863.142,1851.746,0.0,0.0,0.0,0.0,0.0,1637181000
invalid_geometry,1637159700,20211117,1,1865.656,1849.567,1854.679,1863.142,1851.746,1866.37,1854.678,1865.656,0.0,0.0,1637181000
profile,1637245800,20211118,0,1870.92,1855.098,1864.245,1869.437,1862.02,0.0,0.0,0.0,0.0,0.0,1637267400
entry,1637247600,20211118,-1,1870.92,1855.098,1864.245,1869.437,1862.02,1861.456,1864.246,1855.098,0.18,50.22,1637267400
profile,1637332200,20211119,0,1865.696,1851.468,1861.027,1863.769,1857.545,0.0,0.0,0.0,0.0,0.0,1637353800
entry,1637337000,20211119,-1,1865.696,1851.468,1861.027,1863.769,1857.545,1855.98,1861.028,1851.468,0.1,50.480000000000004,1637353800
profile,1637591400,20211122,0,1849.084,1815.252,1845.384,1848.732,1836.749,0.0,0.0,0.0,0.0,0.0,1637613000
invalid_geometry,1637591700,20211122,-1,1849.084,1815.252,1845.384,1848.732,1836.749,1814.262,1845.385,1815.252,0.0,0.0,1637613000
profile,1637677800,20211123,0,1812.407,1784.099,1808.426,1812.407,1790.881,0.0,0.0,0.0,0.0,0.0,1637699400
invalid_geometry,1637679300,20211123,-1,1812.407,1784.099,1808.426,1812.407,1790.881,1789.059,1808.427,1784.099,0.0,0.0,1637699400
profile,1637764200,20211124,0,1796.308,1778.308,1793.402,1795.933,1785.058,0.0,0.0,0.0,0.0,0.0,1637785800
invalid_geometry,1637764500,20211124,-1,1796.308,1778.308,1793.402,1795.933,1785.058,1782.127,1793.403,1778.308,0.0,0.0,1637785800
profile,1637850600,20211125,0,1795.065,1786.026,1791.817,1793.653,1789.981,0.0,0.0,0.0,0.0,0.0,1637872200
entry,1637852700,20211125,-1,1795.065,1786.026,1791.817,1793.653,1789.981,1788.653,1791.818,1786.026,0.16,50.64,1637872200
timed_exit,1637881260,20211125,0,1795.065,1786.026,1791.817,1793.653,1789.981,0.0,0.0,0.0,0.0,0.0,1637872200
profile,1637937000,20211126,0,1815.542,1790.007,1792.8,1808.094,1790.273,0.0,0.0,0.0,0.0,0.0,1637958600
invalid_geometry,1637945100,20211126,-1,1815.542,1790.007,1792.8,1808.094,1790.273,1785.451,1792.801,1790.007,0.0,0.0,1637958600
profile,1638196200,20211129,0,1799.399,1780.282,1794.122,1798.602,1790.637,0.0,0.0,0.0,0.0,0.0,1638217800
entry,1638196500,20211129,-1,1799.399,1780.282,1794.122,1798.602,1790.637,1786.874,1794.123,1780.282,0.07,50.743,1638217800
timed_exit,1638217800,20211129,0,1799.399,1780.282,1794.122,1798.602,1790.637,0.0,0.0,0.0,0.0,0.0,1638217800
profile,1638282600,20211130,0,1798.499,1782.923,1792.901,1797.688,1788.764,0.0,0.0,0.0,0.0,0.0,1638304200
invalid_geometry,1638283800,20211130,1,1798.499,1782.923,1792.901,1797.688,1788.764,1802.168,1792.9,1798.499,0.0,0.0,1638304200
profile,1638369000,20211201,0,1794.447,1772.203,1786.221,1790.045,1776.837,0.0,0.0,0.0,0.0,0.0,1638390600
entry,1638371400,20211201,1,1794.447,1772.203,1786.221,1790.045,1776.837,1790.534,1786.22,1794.447,0.12,51.767999999999994,1638390600
profile,1638455400,20211202,0,1783.436,1767.272,1777.459,1781.415,1773.334,0.0,0.0,0.0,0.0,0.0,1638477000
entry,1638455700,20211202,-1,1783.436,1767.272,1777.459,1781.415,1773.334,1770.929,1777.46,1767.272,0.08,52.248000000000005,1638477000
profile,1638541800,20211203,0,1778.619,1766.116,1772.693,1773.409,1767.679,0.0,0.0,0.0,0.0,0.0,1638563400
entry,1638543300,20211203,1,1778.619,1766.116,1772.693,1773.409,1767.679,1773.624,1772.692,1778.619,0.54,50.328,1638563400
profile,1638801000,20211206,0,1787.721,1776.563,1783.944,1784.467,1778.423,0.0,0.0,0.0,0.0,0.0,1638822600
invalid_geometry,1638801600,20211206,-1,1787.721,1776.563,1783.944,1784.467,1778.423,1778.294,1783.945,1776.563,0.0,0.0,1638822600
profile,1638887400,20211207,0,1784.684,1772.061,1780.016,1784.29,1778.241,0.0,0.0,0.0,0.0,0.0,1638909000
invalid_geometry,1638894600,20211207,1,1784.684,1772.061,1780.016,1784.29,1778.241,1786.117,1780.015,1784.684,0.0,0.0,1638909000
profile,1638973800,20211208,0,1793.099,1780.049,1789.089,1791.468,1783.991,0.0,0.0,0.0,0.0,0.0,1638995400
invalid_geometry,1638974100,20211208,-1,1793.099,1780.049,1789.089,1791.468,1783.991,1781.054,1789.09,1780.049,0.0,0.0,1638995400
profile,1639060200,20211209,0,1787.591,1773.669,1783.168,1787.591,1777.15,0.0,0.0,0.0,0.0,0.0,1639081800
entry,1639061100,20211209,-1,1787.591,1773.669,1783.168,1787.591,1777.15,1777.085,1783.169,1773.669,0.09,54.75599999999999,1639081800
profile,1639146600,20211210,0,1789.395,1770.107,1771.011,1780.153,1770.308,0.0,0.0,0.0,0.0,0.0,1639168200
