phase,symbol,variant,return_pct,profit_factor,win_rate_pct,equity_dd_pct,trades,net,commission,swap,history_quality
development,btcusd,h0850-l60-either,10.390099999999999,2.84,41.67,3.03,12,1039.01,-41.26,0.0,100%
development,btcusd,h0950-l120-fvg,-3.6229000000000005,0.62,23.08,6.85,13,-362.29,-15.36,0.0,100%
development,btcusd,h0950-l30-either,-7.7282,0.74,22.45,12.81,49,-772.82,-71.94,0.0,100%
development,btcusd,h0950-l60-either,-8.9632,0.65,20.93,11.57,43,-896.32,-61.01,0.0,100%
development,btcusd,h0950-l90-ob,-4.202699999999999,0.7,19.23,6.57,26,-420.27,-34.02,0.0,100%
development,btcusd,h1050-l60-either,-5.9846,0.0,0.0,6.26,10,-598.46,-18.38,0.0,100%
development,btcusd,h1150-l60-either,5.151,1.92,36.36,3.82,11,515.1,-24.880000000000003,0.0,100%
development,ustec,h0850-l60-either,-1.9681,0.37,16.67,3.56,6,-196.81,-11.22,0.0,100%
development,ustec,h0950-l120-fvg,-0.2425,0.97,40.0,5.02,15,-24.25,-22.47,0.0,100%
development,ustec,h0950-l30-either,-4.9712,0.88,25.64,11.83,78,-497.12,-156.54,0.0,100%
development,ustec,h0950-l60-either,-11.1679,0.74,23.46,15.01,81,-1116.79,-151.83,0.0,100%
development,ustec,h0950-l90-ob,-8.8863,0.68,23.53,11.61,51,-888.63,-92.8,0.0,100%
development,ustec,h1050-l60-either,3.2874,1.43,33.33,5.73,18,328.74,-40.95,0.0,100%
development,ustec,h1150-l60-either,-7.745100000000001,0.54,11.54,12.63,26,-774.51,-65.22,0.0,100%
development,xauusd,h0850-l60-either,-2.7739999999999996,0.82,24.32,10.49,37,-277.4,-62.96,0.0,99%
development,xauusd,h0950-l120-fvg,-2.9983999999999997,0.0,0.0,3.0,3,-299.84,-6.11,0.0,99%
development,xauusd,h0950-l30-either,-4.3019,0.86,22.54,16.01,71,-430.19,-125.47,0.0,99%
development,xauusd,h0950-l60-either,-5.850499999999999,0.72,23.91,14.56,46,-585.05,-79.09,0.0,99%
development,xauusd,h0950-l90-ob,1.8124000000000002,1.25,25.0,6.85,20,181.24,-34.22,0.0,99%
development,xauusd,h1050-l60-either,-12.929499999999999,0.37,14.71,14.31,34,-1292.95,-63.82,0.0,99%
development,xauusd,h1150-l60-either,-2.5733999999999995,0.8,28.0,9.77,25,-257.34,-50.839999999999996,0.0,99%
locked,btcusd,h0850-l60-either,2.1638,1.07,29.41,9.7,51,216.38,-213.69,0.0,100%
locked,ustec,h1050-l60-either,-5.2924,0.71,19.44,12.42,36,-529.24,-65.03,0.0,100%
locked,xauusd,h0950-l90-ob,-3.6476999999999995,0.8,12.12,8.24,33,-364.77,-23.57,0.0,99%
