id,label,symbol,timeframe,return_pct,equity_dd_pct,balance_dd_pct,profit_factor,win_rate_pct,wins,losses,trades,net,history_quality,score
us30-n12,US30 M1 stronger displacement,US30,M1,12.4207,4.53,4.2,1.87,54.84,17,14,31,1242.07,98%,17.213961170397944
us30-n06,US30 M1 short only,US30,M1,6.8997,5.21,4.03,1.49,46.15,12,14,26,689.97,98%,6.351144980889959
us30-n02,US30 M1 two R,US30,M1,6.4565,5.37,4.02,1.28,45.0,18,22,40,645.65,98%,6.196820935178311
us30-n01,US30 M1 repeat,US30,M1,5.0785,5.5,4.02,1.24,46.15,18,21,39,507.85,98%,4.359836555403346
us30-n03,US30 M1 three R,US30,M1,4.788,5.01,4.02,1.22,46.15,18,21,39,478.8,98%,4.168210304941983
us30-n08,US30 M1 prior day Asia,US30,M1,6.1557,8.37,6.07,1.51,56.0,14,11,25,615.57,98%,3.732513174934998
us30-n04,US30 M1 no break even,US30,M1,5.351,7.47,5.32,1.23,41.03,16,23,39,535.1,98%,3.353170032611914
us30-n09,US30 M1 prior day H1,US30,M1,4.8953,3.84,3.03,1.38,40.91,9,13,22,489.53,98%,2.6012881260215286
us30-n07,US30 M1 premium discount,US30,M1,4.2044999999999995,6.98,4.97,1.24,46.88,15,17,32,420.45,98%,2.5978365554033456
us30-n11,US30 M1 ATR trail,US30,M1,2.4297,8.04,5.94,1.11,45.0,18,22,40,242.97,98%,-1.1419798161090848
us30-n10,US30 M1 NY open,US30,M1,-0.5802,6.5,5.69,0.96,37.04,10,17,27,-58.02,98%,-5.273057540818756
us30-n05,US30 M1 long only,US30,M1,-3.6461,4.19,3.99,0.6,40.0,6,9,15,-364.61,98%,-10.145003742595945
us100-n11,US100 M1 ATR trail,USTEC,M1,14.458099999999998,5.26,4.21,1.68,52.38,22,20,42,1445.81,98%,17.52762552098201
us100-n03,US100 M1 three R,USTEC,M1,14.0799,5.26,4.2,1.67,52.38,22,20,42,1407.99,98%,17.077783517143963
us100-n01,US100 M1 repeat,USTEC,M1,11.328199999999999,5.52,4.2,1.54,52.38,22,20,42,1132.82,98%,13.197588997106454
us100-n02,US100 M1 two R,USTEC,M1,9.6547,5.26,4.2,1.46,52.38,22,20,42,965.47,98%,11.039937228642941
us100-n04,US100 M1 no break even,USTEC,M1,10.5574,8.27,6.56,1.42,39.02,16,25,41,1055.74,98%,9.803282459358032
us100-n08,US100 M1 prior day Asia,USTEC,M1,8.3379,6.45,5.95,1.44,50.0,17,17,34,833.79,98%,8.84361736305491
us100-n10,US100 M1 NY open,USTEC,M1,6.7217,4.93,4.54,1.37,51.35,19,18,37,672.17,98%,7.541428878080404
us100-n05,US100 M1 long only,USTEC,M1,6.755,6.47,5.06,1.56,52.0,13,12,25,675.5,98%,5.50769154594779
us100-n12,US100 M1 stronger displacement,USTEC,M1,4.4657,5.17,3.95,1.28,50.0,16,16,32,446.57,98%,4.32602093517831
us100-n07,US100 M1 premium discount,USTEC,M1,3.1393999999999997,7.53,5.56,1.17,43.75,14,18,32,313.94,98%,0.5054449857159762
us100-n06,US100 M1 short only,USTEC,M1,0.0785,6.25,5.94,1.01,42.86,9,12,21,7.85,98%,-4.886467220833389
us100-n09,US100 M1 prior day H1,USTEC,M1,-1.5548,7.54,5.98,0.91,40.0,12,18,30,-155.48,98%,-7.210528153654896
xag-n11,XAG short only,XAGUSD,M5,1.449,3.78,2.91,1.25,33.33,3,6,9,144.9,98%,-5.042383215268845
xag-n04,XAG three R,XAGUSD,M5,0.7249,4.61,3.87,1.09,27.27,3,8,11,72.49,98%,-5.435888136539369
xag-n03,XAG two R,XAGUSD,M5,-0.24559999999999998,4.61,3.87,0.97,33.33,4,8,12,-24.56,98%,-6.150844195926601
xag-n08,XAG M1 no BE,XAGUSD,M1,-0.018000000000000002,7.37,6.45,1.0,33.33,5,10,15,-1.8,98%,-6.22
xag-n02,XAG one point five R,XAGUSD,M5,-0.8868,2.8,2.77,0.89,38.46,5,8,13,-88.68,98%,-6.251589177864281
xag-n01,XAG no BE repeat,XAGUSD,M5,-0.6661,4.61,3.87,0.92,27.27,3,8,11,-66.61,98%,-6.6919824126651575
xag-n09,XAG M15 no BE,XAGUSD,M15,-0.3234,1.99,1.95,0.84,50.0,2,2,4,-32.34,98%,-7.414618752764978
xag-n10,XAG long only,XAGUSD,M5,-4.428299999999999,4.62,4.43,0.0,0.0,0,4,4,-442.83,98%,-10.468473993227894
xag-n07,XAG extended day,XAGUSD,M5,-4.500299999999999,6.53,4.77,0.68,25.0,4,12,16,-450.03,98%,-10.691333210530033
xag-n06,XAG New York only,XAGUSD,M5,-4.0494,4.61,4.05,0.0,0.0,0,5,5,-404.94,98%,-11.021442491534867
xag-n05,XAG London only,XAGUSD,M5,-3.5723000000000003,4.65,4.33,0.2,28.57,2,5,7,-357.23,98%,-12.12429615481548
xau-n10,XAU M15 stronger displacement,XAUUSD,M15,14.125499999999999,4.32,2.24,2.44,50.0,15,15,30,1412.55,98%,22.237476471661324
xau-n01,XAU M15 repeat,XAUUSD,M15,10.3897,4.65,3.88,1.76,42.11,16,22,38,1038.97,98%,14.383465708600724
xau-n07,XAU M15 prior day Asia,XAUUSD,M15,9.5851,4.27,3.51,1.78,50.0,17,17,34,958.51,98%,13.942460371647927
xau-n04,XAU M15 no break even,XAUUSD,M15,9.1364,5.5,3.88,1.62,39.47,15,23,38,913.64,98%,11.625513790931514
xau-n02,XAU M15 two R,XAUUSD,M15,8.189400000000001,4.75,3.88,1.6,42.11,16,22,38,818.94,98%,10.97944355094883
xau-n08,XAU M15 premium discount,XAUUSD,M15,6.315900000000001,4.68,3.91,1.45,38.24,13,21,34,631.59,98%,7.966662677189797
xau-n03,XAU M15 three R,XAUUSD,M15,5.6655999999999995,4.91,3.94,1.42,42.11,16,22,38,566.56,98%,6.927482459358032
xau-n05,XAU M15 long only,XAUUSD,M15,5.9818,3.18,2.21,2.32,41.18,7,10,17,598.18,98%,4.564476862611885
xau-n06,XAU M15 short only,XAUUSD,M15,3.1177,5.02,3.88,1.25,42.86,12,16,28,311.77,98%,2.06452777471915
xau-n09,XAU M15 London,XAUUSD,M15,0.621,2.89,2.07,1.19,50.0,4,4,8,62.1,98%,-5.606816083871665
