number,leg,entry_date,exit_date,days,return_pct,pnl_10k_compounded,result
1,USTEC,2023-09-11,2024-04-19,188,11.1553,1115.53,Win
2,XAUUSD,2024-04-21,2024-06-03,38,-1.9485,-216.59,Loss
3,USTEC,2024-06-04,2024-06-07,4,1.8752,204.37,Win
4,XAUUSD,2024-06-09,2024-06-25,15,0.8862,98.40,Win
5,USTEC,2024-06-26,2024-08-02,33,-6.8111,-762.96,Loss
6,XAUUSD,2024-08-04,2024-10-21,68,11.1068,1159.41,Win
7,USTEC,2024-10-22,2025-05-15,175,4.3844,508.51,Win
8,XAUUSD,2025-05-16,2025-06-23,33,3.0264,366.40,Win
9,USTEC,2025-06-24,2025-11-23,131,10.5436,1315.11,Win
10,XAUUSD,2025-11-24,2026-01-02,35,6.0100,828.67,Win
11,USTEC,2026-01-04,2026-04-12,84,-1.7166,-250.92,Loss
12,XAUUSD,2026-04-13,2026-05-11,25,1.7935,257.65,Win
13,USTEC,2026-05-12,2026-09-11,106,-0.0860,-12.57,Loss
