deal,time,time_msc,symbol,position_id,type,entry,reason,volume,price,profit,commission,swap,fee,comment
1,2025.09.05 00:00:00,1757030400000,,0,2,0,0,0.0,0.0,10000.0,0.0,0.0,0.0,
2,2025.09.05 03:15:00,1757042100001,XAUUSD,2,0,0,3,0.04,3554.034,0.0,-0.22,0.0,0.0,Safe LTA EM1-DoubleWick Demand(
3,2025.09.08 14:07:15,1757340435159,XAUUSD,2,1,1,5,0.04,3637.024,331.96,0.0,-2.14,0.0,tp 3637.014
4,2025.09.09 00:00:00,1757376000001,XAUUSD,4,0,0,3,0.19,3635.14,0.0,-1.05,0.0,0.0,Safe LTA EM1-DoubleWick PD-POC 
5,2025.09.09 02:09:24,1757383764517,XAUUSD,4,1,1,5,0.19,3651.629,313.29,0.0,0.0,0.0,tp 3651.613
6,2025.09.09 03:15:00,1757387700001,XAUUSD,6,0,0,3,0.21,3648.466,0.0,-1.16,0.0,0.0,Safe LTA EM1-DoubleWick PD-VAH 
7,2025.09.09 03:38:27,1757389107652,XAUUSD,6,1,1,4,0.21,3643.213,-110.32,0.0,0.0,0.0,sl 3643.233
8,2025.09.09 08:45:00,1757407500001,XAUUSD,8,0,0,3,0.12,3650.501,0.0,-0.66,0.0,0.0,Safe LTA EM1-DoubleWick PD-VAH 
9,2025.09.09 14:34:40,1757428480545,XAUUSD,8,1,1,4,0.12,3641.521,-107.76,0.0,0.0,0.0,sl 3641.523
10,2025.09.09 15:30:00,1757431800001,XAUUSD,10,0,0,3,0.08,3640.374,0.0,-0.44,0.0,0.0,Safe LTA EM1-DoubleWick PD-POC 
11,2025.09.09 22:02:00,1757455320000,XAUUSD,10,1,1,4,0.08,3625.208,-121.33,0.0,0.0,0.0,sl 3625.609
12,2025.09.10 07:15:00,1757488500001,XAUUSD,12,0,0,3,0.17,3647.146,0.0,-0.94,0.0,0.0,Safe LTA EM1-DoubleWick PD-POC 
13,2025.09.10 12:52:41,1757508761565,XAUUSD,12,1,1,4,0.17,3640.804,-107.81,0.0,0.0,0.0,sl 3640.829
14,2025.09.11 00:15:00,1757549700001,XAUUSD,14,0,0,3,0.29,3646.714,0.0,-1.6,0.0,0.0,Safe LTA EM1-DoubleWick PD-POC 
15,2025.09.11 00:53:30,1757552010517,XAUUSD,14,1,1,4,0.29,3643.16,-103.07,0.0,0.0,0.0,sl 3643.180
16,2025.09.11 01:15:00,1757553300001,XAUUSD,16,0,0,3,0.25,3646.331,0.0,-1.38,0.0,0.0,Safe LTA EM1-DoubleWick PD-POC 
17,2025.09.11 01:47:29,1757555249634,XAUUSD,16,1,1,4,0.25,3642.284,-101.18,0.0,0.0,0.0,sl 3642.290
18,2025.09.12 09:30:00,1757669400001,XAUUSD,18,0,0,3,0.12,3646.216,0.0,-0.66,0.0,0.0,Safe LTA EM4-Continuation PD-VA
19,2025.09.14 23:33:36,1757892816756,XAUUSD,18,1,1,4,0.12,3637.239,-107.72,0.0,-6.42,0.0,sl 3637.278
20,2025.09.15 00:15:00,1757895300001,XAUUSD,20,0,0,3,0.15,3641.42,0.0,-0.83,0.0,0.0,Safe LTA EM1-DoubleWick PD-POC 
21,2025.09.15 00:39:28,1757896768949,XAUUSD,20,1,1,4,0.15,3634.515,-103.57,0.0,0.0,0.0,sl 3634.525
22,2025.09.15 01:30:00,1757899800001,XAUUSD,22,0,0,3,0.17,3631.959,0.0,-0.94,0.0,0.0,Safe LTA EM1-DoubleWick PW-VAL 
23,2025.09.15 12:47:31,1757940451943,XAUUSD,22,1,1,5,0.17,3647.215,259.36,0.0,0.0,0.0,tp 3647.200
24,2025.09.15 13:30:00,1757943000001,XAUUSD,24,0,0,3,0.14,3653.85,0.0,-0.77,0.0,0.0,Safe LTA EM1-DoubleWick PW-POC 
25,2025.09.15 13:34:39,1757943279557,XAUUSD,24,1,1,5,0.14,3655.378,21.39,0.0,0.0,0.0,tp 3655.359
26,2025.09.15 14:15:00,1757945700001,XAUUSD,26,0,0,3,0.15,3660.104,0.0,-0.83,0.0,0.0,Safe LTA EM1-DoubleWick PW-VAH 
27,2025.09.15 15:58:20,1757951900309,XAUUSD,26,1,1,5,0.15,3680.714,309.15,0.0,0.0,0.0,tp 3680.705
28,2025.09.17 14:15:00,1758118500001,XAUUSD,28,0,0,3,0.13,3684.043,0.0,-0.72,0.0,0.0,Safe LTA EM1-DoubleWick PD-VAL 
29,2025.09.17 18:01:00,1758132060959,XAUUSD,28,1,1,4,0.13,3675.53,-110.67,0.0,0.0,0.0,sl 3675.749
30,2025.09.22 00:15:00,1758500100001,XAUUSD,30,0,0,3,0.2,3690.629,0.0,-1.1,0.0,0.0,Safe LTA EM4-Continuation PD-VA
