time,event,position_id,dir,entry,sl,tp,note,buffer,broken,previous,close1,close2,old_sl,closed_bar,balance,equity,ladder
2023.11.15 01:45:00,entry,2,1,1963.084,1961.468,1963.166,aoi_target|risk=100.1900|volume=0.6200|PD=2023.11.15 00:00:00|PW=2023.11.12 00:00:00,0.04329285714285902,0.0,0.0,0.0,0.0,0.0,,9996.59,9988.84,PD.VAL=1937.606;PD.POC=1945.691;PD.VAH=1963.166
2023.11.15 02:45:00,entry,4,1,1964.253,1962.721,1968.849,fallback_3R|risk=101.1100|volume=0.6600|PD=2023.11.15 00:00:00|PW=2023.11.12 00:00:00,0.05277857142857231,0.0,0.0,0.0,0.0,0.0,,9999.65,9991.4,PD.VAL=1937.606;PD.POC=1945.691;PD.VAH=1963.166
2023.11.15 07:30:00,entry,6,1,1969.312,1967.133,1975.849,fallback_3R|risk=104.6000|volume=0.4800|PD=2023.11.15 00:00:00|PW=2023.11.12 00:00:00,0.06896071428571418,0.0,0.0,0.0,0.0,0.0,,10302.52,10296.52,PD.VAL=1937.606;PD.POC=1945.691;PD.VAH=1963.166
2023.11.16 02:30:00,entry,8,1,1958.265,1956.309,1962.139,aoi_target|risk=103.6700|volume=0.5300|PD=2023.11.16 00:00:00|PW=2023.11.12 00:00:00,0.06219999999999898,0.0,0.0,0.0,0.0,0.0,,10194.96,10188.33,PD.VAL=1957.328;PD.POC=1962.139;PD.VAH=1969.743
2023.11.16 09:15:00,entry,10,1,1968.194,1966.237,1969.743,aoi_target|risk=105.6800|volume=0.5400|PD=2023.11.16 00:00:00|PW=2023.11.12 00:00:00,0.07308928571428543,0.0,0.0,0.0,0.0,0.0,,10397.78,10391.03,PD.VAL=1957.328;PD.POC=1962.139;PD.VAH=1969.743
2023.11.16 12:30:00,entry,12,1,1963.632,1961.944,1969.743,aoi_target|risk=102.9700|volume=0.6100|PD=2023.11.16 00:00:00|PW=2023.11.12 00:00:00,0.06570714285714335,0.0,0.0,0.0,0.0,0.0,,10287.98,10280.36,PD.VAL=1957.328;PD.POC=1962.139;PD.VAH=1969.743
2023.11.17 00:00:00,entry,14,1,1982.812,1981.238,1987.534,fallback_3R|risk=107.0400|volume=0.6800|PD=2023.11.17 00:00:00|PW=2023.11.12 00:00:00,0.04498928571428645,0.0,0.0,0.0,0.0,0.0,,10658.84,10650.34,PD.VAL=1956.458;PD.POC=1966.554;PD.VAH=1981.575
2023.11.22 06:00:00,entry,16,1,1998.931,1996.605,1999.583,aoi_target|risk=111.6500|volume=0.4800|PD=2023.11.22 00:00:00|PW=2023.11.19 00:00:00,0.06623571428571527,0.0,0.0,0.0,0.0,0.0,,10979.2,10973.2,PD.VAL=1983.679;PD.POC=1991.840;PD.VAH=1999.583
2023.11.22 06:15:00,entry,18,1,1999.878,1997.156,2008.044,fallback_3R|risk=111.6000|volume=0.4100|PD=2023.11.22 00:00:00|PW=2023.11.19 00:00:00,0.06761785714285794,0.0,0.0,0.0,0.0,0.0,,11009.0,11003.87,PD.VAL=1983.679;PD.POC=1991.840;PD.VAH=1999.583
2023.11.22 15:45:00,entry,20,1,1995.064,1989.562,1999.583,aoi_target|risk=110.0400|volume=0.2000|PD=2023.11.22 00:00:00|PW=2023.11.19 00:00:00,0.15171785714285876,0.0,0.0,0.0,0.0,0.0,,10894.66,10892.16,PD.VAL=1983.679;PD.POC=1991.840;PD.VAH=1999.583
2023.11.23 01:15:00,entry,22,1,1992.687,1991.087,1993.616,aoi_target|risk=108.8000|volume=0.6800|PD=2023.11.23 00:00:00|PW=2023.11.19 00:00:00,0.047328571428572073,0.0,0.0,0.0,0.0,0.0,,10780.64,10772.14,PD.VAL=1993.616;PD.POC=2002.026;PD.VAH=2003.708
2023.11.23 02:00:00,entry,24,1,1993.606,1991.441,1993.616,aoi_target|risk=110.4200|volume=0.5100|PD=2023.11.23 00:00:00|PW=2023.11.19 00:00:00,0.05324285714285679,0.0,0.0,0.0,0.0,0.0,,10841.2,10834.82,PD.VAL=1993.616;PD.POC=2002.026;PD.VAH=2003.708
