time,event,position_id,dir,entry,sl,tp,note,buffer,broken,previous,close1,close2,old_sl,closed_bar,balance,equity,ladder
2023.11.15 01:45:00,entry,2,1,1963.084,1961.468,1968.177,aoi_target|risk=100.1900|volume=0.6200|PD=2023.11.15 00:00:00|PW=2023.11.12 00:00:00,0.04329285714285902,0.0,0.0,0.0,0.0,0.0,,9996.59,9988.84,PW.VAL=1943.273;PW.POC=1968.177;PW.VAH=1970.526
2023.11.15 07:30:00,entry,4,1,1969.312,1967.133,1970.526,aoi_target|risk=104.6000|volume=0.4800|PD=2023.11.15 00:00:00|PW=2023.11.12 00:00:00,0.06896071428571418,0.0,0.0,0.0,0.0,0.0,,10310.71,10304.71,PW.VAL=1943.273;PW.POC=1968.177;PW.VAH=1970.526
2023.11.15 07:45:00,entry,6,1,1970.373,1967.127,1970.526,aoi_target|risk=103.8800|volume=0.3200|PD=2023.11.15 00:00:00|PW=2023.11.12 00:00:00,0.07186785714285732,0.0,0.0,0.0,0.0,0.0,,10367.27,10363.27,PW.VAL=1943.273;PW.POC=1968.177;PW.VAH=1970.526
2023.11.15 08:00:00,entry,8,1,1970.454,1969.012,1970.526,aoi_target|risk=103.8300|volume=0.7200|PD=2023.11.15 00:00:00|PW=2023.11.12 00:00:00,0.07308214285714355,0.0,0.0,0.0,0.0,0.0,,10368.33,10359.33,PW.VAL=1943.273;PW.POC=1968.177;PW.VAH=1970.526
2023.11.15 08:15:00,entry,10,1,1970.597,1969.468,1973.984,fallback_3R|risk=103.8600|volume=0.9200|PD=2023.11.15 00:00:00|PW=2023.11.12 00:00:00,0.07455714285714359,0.0,0.0,0.0,0.0,0.0,,10369.03,10357.53,PW.VAL=1943.273;PW.POC=1968.177;PW.VAH=1970.526
2023.11.15 13:00:00,entry,12,1,1971.651,1970.126,1976.226,fallback_3R|risk=108.2700|volume=0.7100|PD=2023.11.15 00:00:00|PW=2023.11.12 00:00:00,0.07351071428571458,0.0,0.0,0.0,0.0,0.0,,10678.38,10669.51,PW.VAL=1943.273;PW.POC=1968.177;PW.VAH=1970.526
2023.11.16 02:30:00,entry,14,1,1958.265,1956.309,1968.177,aoi_target|risk=107.5800|volume=0.5500|PD=2023.11.16 00:00:00|PW=2023.11.12 00:00:00,0.06219999999999898,0.0,0.0,0.0,0.0,0.0,,10564.52,10557.64,PW.VAL=1943.273;PW.POC=1968.177;PW.VAH=1970.526
2023.11.16 09:15:00,entry,16,1,1968.194,1966.237,1970.526,aoi_target|risk=111.5500|volume=0.5700|PD=2023.11.16 00:00:00|PW=2023.11.12 00:00:00,0.07308928571428543,0.0,0.0,0.0,0.0,0.0,,11107.91,11100.78,PW.VAL=1943.273;PW.POC=1968.177;PW.VAH=1970.526
2023.11.16 12:30:00,entry,18,1,1963.632,1961.944,1968.177,aoi_target|risk=111.4100|volume=0.6600|PD=2023.11.16 00:00:00|PW=2023.11.12 00:00:00,0.06570714285714335,0.0,0.0,0.0,0.0,0.0,,10991.93,10983.68,PW.VAL=1943.273;PW.POC=1968.177;PW.VAH=1970.526
2023.11.17 00:00:00,entry,20,1,1982.812,1981.238,1987.534,fallback_3R|risk=113.3200|volume=0.7200|PD=2023.11.17 00:00:00|PW=2023.11.12 00:00:00,0.04498928571428645,0.0,0.0,0.0,0.0,0.0,,11289.72,11280.72,PW.VAL=1943.273;PW.POC=1968.177;PW.VAH=1970.526
