deal,time,time_msc,symbol,position_id,type,entry,reason,volume,price,profit,commission,swap,fee,comment
1,2026.03.05 00:00:00,1772668800000,,0,2,0,0,0.0,0.0,10000.0,0.0,0.0,0.0,
2,2026.03.05 13:45:00,1772718300040,XAUUSD,2,0,0,3,0.02,5131.546,0.0,-0.11,0.0,0.0,Safe LTA EM1-DoubleWick PD-VAL 
3,2026.03.05 15:08:39,1772723319213,XAUUSD,2,1,1,4,0.02,5079.844,-103.4,0.0,0.0,0.0,sl 5080.125
4,2026.03.10 02:00:00,1773108000259,XAUUSD,4,0,0,3,0.03,5184.348,0.0,-0.17,0.0,0.0,Safe LTA EM1-DoubleWick PW-POC 
5,2026.03.11 13:51:58,1773237118758,XAUUSD,4,1,1,4,0.03,5151.249,-99.29,0.0,-1.6,0.0,sl 5151.291
6,2026.03.11 14:00:00,1773237600153,XAUUSD,6,0,0,3,0.04,5176.746,0.0,-0.22,0.0,0.0,Safe LTA EM1-DoubleWick Demand(
7,2026.03.11 14:00:00,1773237600563,XAUUSD,6,1,1,5,0.04,5177.426,2.7199999999999998,0.0,0.0,0.0,tp 5177.151
8,2026.03.11 14:15:00,1773238500178,XAUUSD,8,0,0,3,0.03,5190.315,0.0,-0.17,0.0,0.0,Safe LTA EM1-DoubleWick Demand(
9,2026.03.11 22:56:24,1773269784873,XAUUSD,8,1,1,4,0.03,5147.428,-128.67,0.0,0.0,0.0,sl 5147.549
10,2026.03.23 00:15:00,1774224900105,XAUUSD,10,1,0,3,0.02,4436.906,0.0,-0.11,0.0,0.0,Safe LTA EM4-Continuation PD-VA
11,2026.03.23 06:28:19,1774247299117,XAUUSD,10,0,1,5,0.02,4256.801,360.21,0.0,0.0,0.0,tp 4256.813
12,2026.03.24 01:45:00,1774316700004,XAUUSD,12,1,0,3,0.02,4321.438,0.0,-0.11,0.0,0.0,Safe LTA EM1-DoubleWick PD-VAL 
13,2026.03.24 01:47:32,1774316852734,XAUUSD,12,0,1,5,0.02,4318.619,5.64,0.0,0.0,0.0,tp 4318.643
14,2026.03.24 02:15:00,1774318500100,XAUUSD,14,1,0,3,0.04,4312.036,0.0,-0.22,0.0,0.0,Safe LTA EM1-DoubleWick PD-VAL 
15,2026.03.24 02:22:30,1774318950113,XAUUSD,14,0,1,4,0.04,4342.055,-120.08,0.0,0.0,0.0,sl 4341.078
16,2026.03.24 12:00:00,1774353600080,XAUUSD,16,1,0,3,0.04,4407.856,0.0,-0.22,0.0,0.0,Safe LTA EM1-DoubleWick PD-POC 
17,2026.03.24 12:02:02,1774353722332,XAUUSD,16,0,1,5,0.04,4406.023,7.33,0.0,0.0,0.0,tp 4406.064
18,2026.03.24 12:45:00,1774356300120,XAUUSD,18,1,0,3,0.02,4369.941,0.0,-0.11,0.0,0.0,Safe LTA EM4-Continuation PD-PO
19,2026.03.24 14:52:18,1774363938714,XAUUSD,18,0,1,4,0.02,4430.689,-121.5,0.0,0.0,0.0,sl 4430.645
20,2026.03.24 15:15:00,1774365300135,XAUUSD,20,1,0,3,0.04,4411.577,0.0,-0.22,0.0,0.0,Safe LTA EM1-DoubleWick PD-POC 
21,2026.03.24 15:17:55,1774365475109,XAUUSD,20,0,1,5,0.04,4406.054,22.09,0.0,0.0,0.0,tp 4406.064
22,2026.03.24 17:15:00,1774372500020,XAUUSD,22,1,0,3,0.04,4397.671,0.0,-0.22,0.0,0.0,Safe LTA EM1-DoubleWick PD-POC 
23,2026.03.24 20:22:37,1774383757035,XAUUSD,22,0,1,4,0.04,4430.45,-131.12,0.0,0.0,0.0,sl 4430.403
24,2026.03.27 03:15:00,1774581300003,XAUUSD,24,1,0,3,0.08,4429.715,0.0,-0.44,0.0,0.0,Safe LTA EM1-DoubleWick PD-POC 
25,2026.03.27 03:39:55,1774582795172,XAUUSD,24,0,1,4,0.08,4442.521,-102.45,0.0,0.0,0.0,sl 4442.484
26,2026.03.27 06:00:00,1774591200093,XAUUSD,26,1,0,3,0.05,4454.679,0.0,-0.28,0.0,0.0,Safe LTA EM1-DoubleWick PD-VAH 
27,2026.03.27 07:54:56,1774598096216,XAUUSD,26,0,1,5,0.05,4443.302,56.89,0.0,0.0,0.0,tp 4443.336
28,2026.03.27 08:30:00,1774600200094,XAUUSD,28,1,0,3,0.06,4434.056,0.0,-0.33,0.0,0.0,Safe LTA EM1-DoubleWick PD-POC 
29,2026.03.27 14:03:32,1774620212283,XAUUSD,28,0,1,4,0.06,4452.599,-111.25,0.0,0.0,0.0,sl 4452.522
30,2026.03.27 14:30:00,1774621800084,XAUUSD,30,1,0,3,0.06,4455.26,0.0,-0.33,0.0,0.0,Safe LTA EM1-DoubleWick PD-VAH 
31,2026.03.27 14:47:39,1774622859789,XAUUSD,30,0,1,4,0.06,4472.188,-101.57,0.0,0.0,0.0,sl 4471.933
32,2026.04.05 22:15:00,1775427300145,XAUUSD,32,1,0,3,0.02,4630.573,0.0,-0.11,0.0,0.0,Safe LTA EM4-Continuation PD-PO
33,2026.04.05 23:30:44,1775431844243,XAUUSD,32,0,1,5,0.02,4607.369,46.41,0.0,0.0,0.0,tp 4607.537
34,2026.04.06 00:30:00,1775435400154,XAUUSD,34,1,0,3,0.04,4603.299,0.0,-0.22,0.0,0.0,Safe LTA EM4-Continuation PD-VA
