number,ea,symbol,side,open_time,close_time,net_profit,open_dt,close_dt,clock10,clock20,clock40,rolling20,family,strategy
1,LVN XAGUSD optimized,XAGUSD,Short,2024-11-06T03:30:00,2024-11-06T14:31:37,169.72,2024-11-06 03:30:00+00:00,2024-11-06 14:31:37+00:00,2.024390243902439,1.9683794466403162,2.024390243902439,1.2512562814070352,LVN,LVN XAGUSD optimized
2,LVN XAGUSD optimized,XAGUSD,Long,2025-04-07T01:30:00,2025-04-08T01:45:00,-17.89,2025-04-07 01:30:00+00:00,2025-04-08 01:45:00+00:00,3.8,3.8974358974358974,3.864406779661017,2.0,LVN,LVN XAGUSD optimized
3,LVN XAGUSD optimized,XAGUSD,Long,2025-06-12T08:00:00,2025-06-12T13:06:36,187.65,2025-06-12 08:00:00+00:00,2025-06-12 13:06:36+00:00,2.2325581395348837,2.388059701492537,2.388059701492537,1.6494845360824741,LVN,LVN XAGUSD optimized
4,LVN XAGUSD optimized,XAGUSD,Long,2025-07-03T07:30:00,2025-07-03T08:39:06,193.5,2025-07-03 07:30:00+00:00,2025-07-03 08:39:06+00:00,0.8661417322834646,0.8661417322834646,1.0,0.8870967741935484,LVN,LVN XAGUSD optimized
5,LVN XAGUSD optimized,XAGUSD,Short,2025-07-16T06:30:00,2025-07-16T07:15:16,-119.7,2025-07-16 06:30:00+00:00,2025-07-16 07:15:16+00:00,0.9557522123893806,0.864,0.9152542372881356,1.375796178343949,LVN,LVN XAGUSD optimized
6,LVN XAGUSD optimized,XAGUSD,Short,2025-08-01T08:00:00,2025-08-01T12:33:34,-102.6,2025-08-01 08:00:00+00:00,2025-08-01 12:33:34+00:00,1.1770833333333333,1.158974358974359,1.0134529147982063,0.9617021276595744,LVN,LVN XAGUSD optimized
7,LVN XAGUSD optimized,XAGUSD,Long,2025-08-04T02:45:00,2025-08-04T06:40:41,183.75,2025-08-04 02:45:00+00:00,2025-08-04 06:40:41+00:00,0.7807486631016043,0.776595744680851,0.7263681592039801,0.6822429906542056,LVN,LVN XAGUSD optimized
8,LVN XAGUSD optimized,XAGUSD,Long,2025-08-04T07:15:00,2025-08-05T07:30:00,80.79,2025-08-04 07:15:00+00:00,2025-08-05 07:30:00+00:00,0.7788461538461539,0.7397260273972602,0.6532258064516129,0.8393782383419689,LVN,LVN XAGUSD optimized
9,LVN XAGUSD optimized,XAGUSD,Short,2025-08-05T07:30:00,2025-08-05T08:17:38,-117.75,2025-08-05 07:30:00+00:00,2025-08-05 08:17:38+00:00,1.0666666666666667,1.0052356020942408,0.8727272727272727,1.1228070175438596,LVN,LVN XAGUSD optimized
10,LVN XAGUSD optimized,XAGUSD,Short,2025-09-09T07:45:00,2025-09-09T12:26:24,191.67,2025-09-09 07:45:00+00:00,2025-09-09 12:26:24+00:00,1.0458015267175573,1.4345549738219896,1.4891304347826086,0.9013157894736842,LVN,LVN XAGUSD optimized
11,LVN XAGUSD optimized,XAGUSD,Long,2025-09-18T02:00:00,2025-09-18T04:00:31,-113.93,2025-09-18 02:00:00+00:00,2025-09-18 04:00:31+00:00,0.9310344827586207,1.08,1.3366336633663367,0.7736389684813754,LVN,LVN XAGUSD optimized
12,LVN XAGUSD optimized,XAGUSD,Long,2025-09-24T05:45:00,2025-09-24T06:28:20,-107.53,2025-09-24 05:45:00+00:00,2025-09-24 06:28:20+00:00,1.320754716981132,1.5217391304347827,1.7857142857142858,2.0833333333333335,LVN,LVN XAGUSD optimized
13,LVN XAGUSD optimized,XAGUSD,Short,2025-09-26T01:15:00,2025-09-26T06:30:25,-108.75,2025-09-26 01:15:00+00:00,2025-09-26 06:30:25+00:00,1.1849710982658959,1.2166172106824926,1.553030303030303,1.8721461187214612,LVN,LVN XAGUSD optimized
14,LVN XAGUSD optimized,XAGUSD,Long,2025-10-09T06:00:00,2025-10-09T06:46:40,-102.38,2025-10-09 06:00:00+00:00,2025-10-09 06:46:40+00:00,1.4514767932489452,1.4098360655737705,1.5357142857142858,1.6780487804878048,LVN,LVN XAGUSD optimized
15,LVN XAGUSD optimized,XAGUSD,Long,2025-10-17T02:00:00,2025-10-17T03:10:40,184.2,2025-10-17 02:00:00+00:00,2025-10-17 03:10:40+00:00,1.8066914498141264,1.6418918918918919,1.7173144876325088,1.0062111801242235,LVN,LVN XAGUSD optimized
16,LVN XAGUSD optimized,XAGUSD,Short,2025-10-28T02:15:00,2025-10-28T05:38:05,201.82,2025-10-28 02:15:00+00:00,2025-10-28 05:38:05+00:00,0.9347258485639687,0.9781420765027322,1.0623145400593472,1.0257879656160458,LVN,LVN XAGUSD optimized
17,LVN XAGUSD optimized,XAGUSD,Long,2025-10-29T01:15:00,2025-10-29T07:56:35,193.05,2025-10-29 01:15:00+00:00,2025-10-29 07:56:35+00:00,0.9043062200956937,1.0134048257372654,1.0588235294117647,1.2475247524752475,LVN,LVN XAGUSD optimized
18,LVN XAGUSD optimized,XAGUSD,Long,2025-10-30T03:15:00,2025-10-30T04:36:28,203.77,2025-10-30 03:15:00+00:00,2025-10-30 04:36:28+00:00,0.8900804289544236,0.9299719887955182,1.0440251572327044,0.8405063291139241,LVN,LVN XAGUSD optimized
19,LVN XAGUSD optimized,XAGUSD,Long,2025-11-14T05:30:00,2025-11-14T07:01:32,-111.4,2025-11-14 05:30:00+00:00,2025-11-14 07:01:32+00:00,1.383399209486166,1.1589403973509933,1.3944223107569722,1.2110726643598615,LVN,LVN XAGUSD optimized
20,LVN XAGUSD optimized,XAGUSD,Short,2025-11-14T07:15:00,2025-11-14T08:37:36,-89.48,2025-11-14 07:15:00+00:00,2025-11-14 08:37:36+00:00,1.288888888888889,1.215568862275449,1.2192192192192193,1.068421052631579,LVN,LVN XAGUSD optimized
21,LVN XAGUSD optimized,XAGUSD,Long,2025-11-19T06:45:00,2025-11-19T09:53:32,199.95,2025-11-19 06:45:00+00:00,2025-11-19 09:53:32+00:00,0.9369369369369369,0.9122807017543859,0.9369369369369369,0.859504132231405,LVN,LVN XAGUSD optimized
22,LVN XAGUSD optimized,XAGUSD,Short,2025-11-26T03:00:00,2025-11-26T05:09:18,-115.38,2025-11-26 03:00:00+00:00,2025-11-26 05:09:18+00:00,0.8106666666666666,0.8238482384823849,0.8710601719197708,0.8660968660968661,LVN,LVN XAGUSD optimized
23,LVN XAGUSD optimized,XAGUSD,Short,2025-11-28T00:45:00,2025-11-28T01:00:16,-118.28,2025-11-28 00:45:00+00:00,2025-11-28 01:00:16+00:00,1.007936507936508,1.0495867768595042,0.9202898550724637,2.4901960784313726,LVN,LVN XAGUSD optimized
24,LVN XAGUSD optimized,XAGUSD,Long,2025-12-15T06:30:00,2025-12-16T03:14:40,-101.66,2025-12-15 06:30:00+00:00,2025-12-16 03:14:40+00:00,1.0855745721271393,1.2065217391304348,1.2197802197802199,1.1326530612244898,LVN,LVN XAGUSD optimized
25,LVN XAGUSD optimized,XAGUSD,Long,2025-12-19T02:00:00,2025-12-19T03:01:28,-107.8,2025-12-19 02:00:00+00:00,2025-12-19 03:01:28+00:00,1.7951807228915662,2.0135135135135136,2.2019704433497536,0.745,LVN,LVN XAGUSD optimized
26,LVN XAGUSD optimized,XAGUSD,Short,2026-01-19T02:45:00,2026-01-19T06:56:37,-96.25,2026-01-19 02:45:00+00:00,2026-01-19 06:56:37+00:00,1.1602855288773524,1.5656742556917689,2.4227642276422765,0.6895487851908986,LVN,LVN XAGUSD optimized
27,LVN XAGUSD optimized,XAGUSD,Short,2026-01-20T00:30:00,2026-01-20T05:31:40,-64.18,2026-01-20 00:30:00+00:00,2026-01-20 05:31:40+00:00,1.7207472959685348,1.7587939698492463,4.098360655737705,3.4313725490196076,LVN,LVN XAGUSD optimized
28,LVN XAGUSD optimized,XAGUSD,Short,2026-01-29T01:15:00,2026-01-29T01:36:14,-65.33,2026-01-29 01:15:00+00:00,2026-01-29 01:36:14+00:00,1.5646050214329454,2.2751558325912735,2.7458355722729717,1.3440294581799053,LVN,LVN XAGUSD optimized
29,LVN XAGUSD optimized,XAGUSD,Short,2026-02-04T07:15:00,2026-02-04T07:23:19,-80.25,2026-02-04 07:15:00+00:00,2026-02-04 07:23:19+00:00,0.3526230394808004,0.5927272727272728,0.7941534713763703,0.5959780621572212,LVN,LVN XAGUSD optimized
30,LVN XAGUSD optimized,XAGUSD,Long,2026-02-24T06:45:00,2026-02-24T13:48:38,-58.58,2026-02-24 06:45:00+00:00,2026-02-24 13:48:38+00:00,1.2080924855491328,0.7391688770999116,0.6875,0.8156097560975609,LVN,LVN XAGUSD optimized
31,LVN XAGUSD optimized,XAGUSD,Short,2026-02-25T01:45:00,2026-02-25T02:15:26,-98.7,2026-02-25 01:45:00+00:00,2026-02-25 02:15:26+00:00,1.2580195258019526,0.6901300688599847,0.5423932651834035,1.0880579010856453,LVN,LVN XAGUSD optimized
32,LVN XAGUSD optimized,XAGUSD,Short,2026-03-03T01:45:00,2026-03-03T02:00:41,105.67,2026-03-03 01:45:00+00:00,2026-03-03 02:00:41+00:00,1.7319148936170212,1.3831775700934579,0.9789536981358989,1.4535714285714285,LVN,LVN XAGUSD optimized
33,LVN XAGUSD optimized,XAGUSD,Long,2026-03-09T01:00:00,2026-03-09T01:00:30,-75.65,2026-03-09 01:00:00+00:00,2026-03-09 01:00:30+00:00,1.5760456273764258,1.651394422310757,1.2646834477498092,1.1325136612021858,LVN,LVN XAGUSD optimized
34,LVN XAGUSD optimized,XAGUSD,Short,2026-03-09T01:30:00,2026-03-09T02:09:35,-80.83,2026-03-09 01:30:00+00:00,2026-03-09 02:09:35+00:00,1.4060427413411938,1.5474452554744527,1.0352685838307107,1.10801393728223,LVN,LVN XAGUSD optimized
35,LVN XAGUSD optimized,XAGUSD,Long,2026-03-24T05:45:00,2026-03-24T07:56:30,144.82,2026-03-24 05:45:00+00:00,2026-03-24 07:56:30+00:00,2.313011828935396,2.237676056338028,2.2737030411449015,2.5912334352701327,LVN,LVN XAGUSD optimized
36,LVN XAGUSD optimized,XAGUSD,Long,2026-04-01T05:45:00,2026-04-02T01:06:39,-100.81,2026-04-01 05:45:00+00:00,2026-04-02 01:06:39+00:00,0.6330067822155238,0.721030042918455,0.7560756075607561,1.6122840690978886,LVN,LVN XAGUSD optimized
37,LVN XAGUSD optimized,XAGUSD,Short,2026-04-17T01:30:00,2026-04-17T03:05:25,-52.33,2026-04-17 01:30:00+00:00,2026-04-17 03:05:25+00:00,1.2851469420174741,1.1097393689986284,1.1767272727272726,2.447806354009077,LVN,LVN XAGUSD optimized
38,LVN XAGUSD optimized,XAGUSD,Long,2026-04-28T02:15:00,2026-04-28T02:45:38,-89.33,2026-04-28 02:15:00+00:00,2026-04-28 02:45:38+00:00,0.89179548156956,0.7267441860465116,0.6437768240343348,0.9933774834437086,LVN,LVN XAGUSD optimized
