number,ea,symbol,side,volume,open_time,close_time,open_price,close_price,net_profit,result,source,entry_comment,exit_comment,cache_slug,cache_mode,cache_period,price_move,price_move_unit,pip_size,estimated_r,estimated_risk_cash,configured_risk_pct,r_is_estimate,open_dt,close_dt,clock10,clock20,clock40,rolling20,family,strategy
1,ORB Volume Profile Volume Confirmed — Standard,XAUUSD,Long,0.14,2023-10-13T13:50:00,2023-10-13T17:52:38,1911.941,1929.044,238.68,Win,Precomputed native MT5 deals,ORB RV 1.29 BV 1.13,tp 1929.036,orb-volume-profile-volume-confirmed,standard,3y,171.03,pips,0.1,2.39,100.0,1.0,True,2023-10-13 13:50:00+00:00,2023-10-13 17:52:38+00:00,1.3396337861783816,1.4409148665819569,1.5252185608607935,1.128358208955224,ORB,orb-volume-profile-volume-confirmed
2,ORB Volume Profile Volume Confirmed — Standard,XAUUSD,Long,0.19,2023-10-24T14:10:00,2023-10-24T19:55:00,1965.12,1972.076,131.11,Win,Precomputed native MT5 deals,ORB RV 1.22 BV 1.40,,orb-volume-profile-volume-confirmed,standard,3y,69.56,pips,0.1,1.28,102.39,1.0,True,2023-10-24 14:10:00+00:00,2023-10-24 19:55:00+00:00,1.1307742355237476,1.1184041184041185,1.2921933085501858,1.3971061093247588,ORB,orb-volume-profile-volume-confirmed
3,ORB Volume Profile Volume Confirmed — Standard,XAUUSD,Long,0.16,2023-12-04T14:50:00,2023-12-04T15:22:53,2049.241,2042.875,-102.74,Loss,Precomputed native MT5 deals,ORB RV 1.86 BV 1.13,sl 2042.886,orb-volume-profile-volume-confirmed,standard,3y,-63.66,pips,0.1,-0.99,103.7,1.0,True,2023-12-04 14:50:00+00:00,2023-12-04 15:22:53+00:00,1.922962962962963,1.9201183431952662,1.9801678108314265,1.1316477768090671,ORB,orb-volume-profile-volume-confirmed
4,ORB Volume Profile Volume Confirmed — Standard,XAUUSD,Long,0.23,2023-12-05T15:05:00,2023-12-05T15:06:30,2026.273,2021.8,-104.15,Loss,Precomputed native MT5 deals,ORB RV 1.18 BV 3.35,sl 2021.822,orb-volume-profile-volume-confirmed,standard,3y,-44.73,pips,0.1,-1.01,102.67,1.0,True,2023-12-05 15:05:00+00:00,2023-12-05 15:06:30+00:00,2.939563862928349,3.087696335078534,3.382078853046595,3.353233830845771,ORB,orb-volume-profile-volume-confirmed
5,ORB Volume Profile Volume Confirmed — Standard,XAUUSD,Long,0.2,2023-12-21T14:50:00,2023-12-21T15:03:20,2046.001,2041.004,-101.04,Loss,Precomputed native MT5 deals,ORB RV 1.09 BV 1.43,sl 2041.024,orb-volume-profile-volume-confirmed,standard,3y,-49.97,pips,0.1,-0.99,101.63,1.0,True,2023-12-21 14:50:00+00:00,2023-12-21 15:03:20+00:00,1.03472571716155,1.1359116022099447,1.487698986975398,1.4317548746518105,ORB,orb-volume-profile-volume-confirmed
6,ORB Volume Profile Volume Confirmed — Standard,XAUUSD,Short,0.14,2024-01-16T16:05:00,2024-01-16T20:55:00,2036.071,2028.778,101.33,Win,Precomputed native MT5 deals,ORB RV 1.23 BV 5.49,,orb-volume-profile-volume-confirmed,standard,3y,72.93,pips,0.1,1.01,100.62,1.0,True,2024-01-16 16:05:00+00:00,2024-01-16 20:55:00+00:00,4.80551724137931,5.925170068027211,6.177304964539007,5.486614173228347,ORB,orb-volume-profile-volume-confirmed
7,ORB Volume Profile Volume Confirmed — Standard,XAUUSD,Short,0.21,2024-01-26T15:05:00,2024-01-26T20:55:00,2018.133,2018.935,-18.01,Loss,Precomputed native MT5 deals,ORB RV 0.83 BV 1.14,,orb-volume-profile-volume-confirmed,standard,3y,-8.02,pips,0.1,-0.18,101.63,1.0,True,2024-01-26 15:05:00+00:00,2024-01-26 20:55:00+00:00,0.8130563798219584,0.8092144122858831,0.8082595870206489,1.1378737541528239,ORB,orb-volume-profile-volume-confirmed
8,ORB Volume Profile Volume Confirmed — Standard,XAUUSD,Short,0.24,2024-02-01T15:00:00,2024-02-01T15:03:30,2046.132,2046.143,-1.58,Loss,Precomputed native MT5 deals,ORB RV 0.98 BV 1.33,sl 2046.132,orb-volume-profile-volume-confirmed,standard,3y,-0.11,pips,0.1,-0.02,101.45,1.0,True,2024-02-01 15:00:00+00:00,2024-02-01 15:03:30+00:00,1.553556827473426,1.4797507788161994,1.4274981217129978,1.330532212885154,ORB,orb-volume-profile-volume-confirmed
9,ORB Volume Profile Volume Confirmed — Standard,XAUUSD,Long,0.13,2024-02-02T14:50:00,2024-02-02T20:55:00,2034.794,2037.248,31.18,Win,Precomputed native MT5 deals,ORB RV 1.55 BV 1.12,,orb-volume-profile-volume-confirmed,standard,3y,24.54,pips,0.1,0.31,101.44,1.0,True,2024-02-02 14:50:00+00:00,2024-02-02 20:55:00+00:00,1.6828402366863906,1.6534883720930234,1.6828402366863906,1.1214511041009463,ORB,orb-volume-profile-volume-confirmed
10,ORB Volume Profile Volume Confirmed — Standard,XAUUSD,Long,0.21,2024-03-01T15:15:00,2024-03-01T15:47:37,2055.757,2067.798,251.7,Win,Precomputed native MT5 deals,ORB RV 1.00 BV 2.10,tp 2067.785,orb-volume-profile-volume-confirmed,standard,3y,120.41,pips,0.1,2.47,101.75,1.0,True,2024-03-01 15:15:00+00:00,2024-03-01 15:47:37+00:00,2.1307692307692307,1.7326035965598123,1.6787878787878787,2.0984848484848486,ORB,orb-volume-profile-volume-confirmed
11,ORB Volume Profile Volume Confirmed — Standard,XAUUSD,Short,0.13,2024-03-05T15:55:00,2024-03-05T19:16:26,2125.893,2133.78,-103.25,Loss,Precomputed native MT5 deals,ORB RV 1.56 BV 1.17,sl 2133.741,orb-volume-profile-volume-confirmed,standard,3y,-78.87,pips,0.1,-0.99,104.26,1.0,True,2024-03-05 15:55:00+00:00,2024-03-05 19:16:26+00:00,2.8739290085679317,2.2796116504854367,2.2404580152671754,1.1681592039800994,ORB,orb-volume-profile-volume-confirmed
12,ORB Volume Profile Volume Confirmed — Standard,XAUUSD,Short,0.13,2024-03-14T15:20:00,2024-03-14T19:55:00,2157.331,2163.449,-80.26,Loss,Precomputed native MT5 deals,ORB RV 1.38 BV 1.13,,orb-volume-profile-volume-confirmed,standard,3y,-61.18,pips,0.1,-0.78,103.23,1.0,True,2024-03-14 15:20:00+00:00,2024-03-14 19:55:00+00:00,1.015748031496063,1.2772277227722773,1.1112706389088298,1.1258181818181818,ORB,orb-volume-profile-volume-confirmed
13,ORB Volume Profile Volume Confirmed — Standard,XAUUSD,Long,0.16,2024-03-15T14:05:00,2024-03-15T17:31:30,2162.434,2156.174,-101.04,Loss,Precomputed native MT5 deals,ORB RV 1.04 BV 1.32,sl 2156.179,orb-volume-profile-volume-confirmed,standard,3y,-62.6,pips,0.1,-0.99,102.43,1.0,True,2024-03-15 14:05:00+00:00,2024-03-15 17:31:30+00:00,0.9702170620898536,1.3065941536369816,1.6178451178451179,1.3246037215713302,ORB,orb-volume-profile-volume-confirmed
