number,ea,symbol,side,volume,open_time,close_time,open_price,close_price,net_profit,result,source,entry_comment,exit_comment,cache_slug,cache_mode,cache_period,price_move,price_move_unit,pip_size,estimated_r,estimated_risk_cash,configured_risk_pct,r_is_estimate,open_dt,close_dt,clock10,clock20,clock40,rolling20,family,strategy
1,US100 H1 ORB 13UTC — Standard,USTEC,Short,1.52,2023-09-20T14:15:00,2023-09-20T20:00:00,15193.27,14983.22,318.33,Win,Precomputed native MT5 deals,ORB RV 0.83 BV 2.17,,us100-h1-orb-13utc,standard,3y,210.05,points,1.0,3.18,100.0,1.0,True,2023-09-20 14:15:00+00:00,2023-09-20 20:00:00+00:00,0.8475524475524475,0.8475524475524475,0.8535211267605634,1.6422764227642277,ORB,us100-h1-orb-13utc
2,US100 H1 ORB 13UTC — Standard,USTEC,Short,0.98,2023-09-26T14:15:00,2023-09-26T20:00:00,14587.99,14557.21,29.55,Win,Precomputed native MT5 deals,ORB RV 0.99 BV 1.75,,us100-h1-orb-13utc,standard,3y,30.78,points,1.0,0.29,103.18,1.0,True,2023-09-26 14:15:00+00:00,2023-09-26 20:00:00+00:00,0.9898107714701602,0.9898107714701602,0.9742120343839542,1.4592274678111588,ORB,us100-h1-orb-13utc
3,US100 H1 ORB 13UTC — Standard,USTEC,Short,1.45,2023-09-27T14:45:00,2023-09-27T19:08:03,14579.24,14650.3,-103.95,Loss,Precomputed native MT5 deals,ORB RV 0.96 BV 1.57,sl 14650.19,us100-h1-orb-13utc,standard,3y,-71.06,points,1.0,-1.0,103.48,1.0,True,2023-09-27 14:45:00+00:00,2023-09-27 19:08:03+00:00,0.964516129032258,0.9614147909967846,0.9314641744548287,0.9285714285714286,ORB,us100-h1-orb-13utc
4,US100 H1 ORB 13UTC — Standard,USTEC,Short,1.05,2023-10-04T14:30:00,2023-10-04T14:41:26,14599.22,14697.82,-104.19,Loss,Precomputed native MT5 deals,ORB RV 1.00 BV 1.81,sl 14696.57,us100-h1-orb-13utc,standard,3y,-98.6,points,1.0,-1.02,102.44,1.0,True,2023-10-04 14:30:00+00:00,2023-10-04 14:41:26+00:00,1.191860465116279,1.2184249628528974,1.2112259970457901,1.1420612813370474,ORB,us100-h1-orb-13utc
5,US100 H1 ORB 13UTC — Standard,USTEC,Short,1.28,2023-10-13T14:15:00,2023-10-15T22:05:00,15163.14,15044.08,151.6,Win,Precomputed native MT5 deals,ORB RV 1.03 BV 1.84,,us100-h1-orb-13utc,standard,3y,119.06,points,1.0,1.5,101.4,1.0,True,2023-10-13 14:15:00+00:00,2023-10-15 22:05:00+00:00,1.0514603616133518,1.0893371757925072,1.0893371757925072,1.445506692160612,ORB,us100-h1-orb-13utc
6,US100 H1 ORB 13UTC — Standard,USTEC,Short,0.92,2023-10-19T14:30:00,2023-10-19T16:02:53,14890.41,15001.89,-103.14,Loss,Precomputed native MT5 deals,ORB RV 1.00 BV 1.71,sl 15001.47,us100-h1-orb-13utc,standard,3y,-111.48,points,1.0,-1.0,102.91,1.0,True,2023-10-19 14:30:00+00:00,2023-10-19 16:02:53+00:00,1.1114503816793893,1.0833333333333333,1.103030303030303,1.0326241134751772,ORB,us100-h1-orb-13utc
7,US100 H1 ORB 13UTC — Standard,USTEC,Short,0.97,2023-10-20T14:15:00,2023-10-22T22:05:00,14677.31,14591.52,82.61,Win,Precomputed native MT5 deals,ORB RV 1.05 BV 1.96,,us100-h1-orb-13utc,standard,3y,85.79,points,1.0,0.81,101.88,1.0,True,2023-10-20 14:15:00+00:00,2023-10-22 22:05:00+00:00,1.0916784203102963,1.0916784203102963,1.0947666195190948,1.5925925925925926,ORB,us100-h1-orb-13utc
8,US100 H1 ORB 13UTC — Standard,USTEC,Short,1.26,2023-10-27T14:45:00,2023-10-27T15:05:42,14192.47,14274.51,-104.16,Loss,Precomputed native MT5 deals,ORB RV 1.13 BV 2.01,sl 14273.95,us100-h1-orb-13utc,standard,3y,-82.04,points,1.0,-1.01,102.71,1.0,True,2023-10-27 14:45:00+00:00,2023-10-27 15:05:42+00:00,1.1126760563380282,1.1499272197962154,1.2191358024691359,0.933806146572104,ORB,us100-h1-orb-13utc
9,US100 H1 ORB 13UTC — Standard,USTEC,Short,1.45,2023-11-02T14:15:00,2023-11-02T14:51:34,14809.21,14879.5,-102.83,Loss,Precomputed native MT5 deals,ORB RV 0.95 BV 1.92,sl 14879.26,us100-h1-orb-13utc,standard,3y,-70.29,points,1.0,-1.01,101.67,1.0,True,2023-11-02 14:15:00+00:00,2023-11-02 14:51:34+00:00,0.9573091849935317,0.9775429326287979,1.0292072322670376,1.3703703703703705,ORB,us100-h1-orb-13utc
10,US100 H1 ORB 13UTC — Standard,USTEC,Long,1.62,2023-11-07T14:30:00,2023-11-07T20:00:00,15212.29,15319.1,172.02,Win,Precomputed native MT5 deals,ORB RV 0.62 BV 1.52,,us100-h1-orb-13utc,standard,3y,106.81,points,1.0,1.71,100.64,1.0,True,2023-11-07 14:30:00+00:00,2023-11-07 20:00:00+00:00,0.6324324324324324,0.6563814866760168,0.6802325581395349,1.1116389548693586,ORB,us100-h1-orb-13utc
