number,ea,symbol,side,volume,open_time,close_time,open_price,close_price,net_profit,result,source,entry_comment,exit_comment,cache_slug,cache_mode,cache_period,price_move,price_move_unit,pip_size,estimated_r,estimated_risk_cash,configured_risk_pct,r_is_estimate,open_dt,close_dt,clock10,clock20,clock40,rolling20,family,strategy
1,US100 Selective ORB V3 — Standard,USTEC,Short,1.34,2023-09-20T15:00:00,2023-09-20T18:31:24,15183.61,15184.35,-1.83,Loss,Precomputed native MT5 deals,US100 OR30 RV 0.85,sl 15183.61,us100-selective-orb-v3,standard,3y,-0.74,points,1.0,-0.02,100.0,1.0,True,2023-09-20 15:00:00+00:00,2023-09-20 18:31:24+00:00,0.8974789915966387,0.8974789915966387,0.8668831168831169,0.8914858096828047,ORB,us100-selective-orb-v3
2,US100 Selective ORB V3 — Standard,USTEC,Short,1.23,2023-10-13T14:20:00,2023-10-13T15:52:38,15161.17,14998.76,198.99,Win,Precomputed native MT5 deals,US100 OR30 RV 0.99,tp 14999.39,us100-selective-orb-v3,standard,3y,162.41,points,1.0,1.99,99.98,1.0,True,2023-10-13 14:20:00+00:00,2023-10-13 15:52:38+00:00,1.0042918454935623,1.0430906389301635,1.0430906389301635,1.3,ORB,us100-selective-orb-v3
3,US100 Selective ORB V3 — Standard,USTEC,Short,1.03,2023-10-18T15:10:00,2023-10-18T19:55:00,14989.89,14912.73,78.83,Win,Precomputed native MT5 deals,US100 OR30 RV 1.05,,us100-selective-orb-v3,standard,3y,77.16,points,1.0,0.77,101.97,1.0,True,2023-10-18 15:10:00+00:00,2023-10-18 19:55:00+00:00,0.9823434991974318,0.9698890649762282,1.0337837837837838,0.830393487109905,ORB,us100-selective-orb-v3
4,US100 Selective ORB V3 — Standard,USTEC,Short,0.94,2023-10-20T14:25:00,2023-10-20T17:17:38,14673.62,14673.65,-0.62,Loss,Precomputed native MT5 deals,US100 OR30 RV 1.09,sl 14673.62,us100-selective-orb-v3,standard,3y,-0.03,points,1.0,-0.01,102.76,1.0,True,2023-10-20 14:25:00+00:00,2023-10-20 17:17:38+00:00,1.0863095238095237,1.0369318181818181,1.0863095238095237,1.061046511627907,ORB,us100-selective-orb-v3
5,US100 Selective ORB V3 — Standard,USTEC,Long,1.21,2023-12-15T15:40:00,2023-12-15T18:41:41,16668.45,16583.44,-103.62,Loss,Precomputed native MT5 deals,US100 OR30 RV 1.27,sl 16584.02,us100-selective-orb-v3,standard,3y,-85.01,points,1.0,-1.01,102.75,1.0,True,2023-12-15 15:40:00+00:00,2023-12-15 18:41:41+00:00,0.7949044585987262,0.9203539823008849,0.9780564263322884,0.8375838926174497,ORB,us100-selective-orb-v3
6,US100 Selective ORB V3 — Standard,USTEC,Long,1.85,2024-01-19T15:40:00,2024-01-19T18:09:05,17097.6,17207.71,202.54,Win,Precomputed native MT5 deals,US100 OR30 RV 1.03,tp 17207.52,us100-selective-orb-v3,standard,3y,110.11,points,1.0,1.99,101.72,1.0,True,2024-01-19 15:40:00+00:00,2024-01-19 18:09:05+00:00,1.0871261378413524,1.2133526850507983,1.2133526850507983,0.9361702127659575,ORB,us100-selective-orb-v3
7,US100 Selective ORB V3 — Standard,USTEC,Short,1.29,2024-02-05T15:15:00,2024-02-05T16:58:26,17580.33,17580.62,-1.18,Loss,Precomputed native MT5 deals,US100 OR30 RV 1.02,sl 17580.33,us100-selective-orb-v3,standard,3y,-0.29,points,1.0,-0.01,103.74,1.0,True,2024-02-05 15:15:00+00:00,2024-02-05 16:58:26+00:00,1.1334894613583137,1.1062857142857143,1.1442080378250592,2.136865342163355,ORB,us100-selective-orb-v3
8,US100 Selective ORB V3 — Standard,USTEC,Long,1.56,2024-06-10T14:40:00,2024-06-10T18:30:26,19035.23,19034.88,-1.53,Loss,Precomputed native MT5 deals,US100 OR30 RV 1.08,sl 19035.23,us100-selective-orb-v3,standard,3y,-0.35,points,1.0,-0.01,103.73,1.0,True,2024-06-10 14:40:00+00:00,2024-06-10 18:30:26+00:00,0.8167539267015707,0.9056603773584906,0.8103896103896104,0.9030390738060782,ORB,us100-selective-orb-v3
9,US100 Selective ORB V3 — Standard,USTEC,Long,0.62,2024-07-31T14:20:00,2024-07-31T19:55:00,19347.51,19382.75,21.46,Win,Precomputed native MT5 deals,US100 OR30 RV 1.62,,us100-selective-orb-v3,standard,3y,35.24,points,1.0,0.21,103.72,1.0,True,2024-07-31 14:20:00+00:00,2024-07-31 19:55:00+00:00,0.9211444521981856,1.1827956989247312,1.4949037372593432,1.7254901960784315,ORB,us100-selective-orb-v3
10,US100 Selective ORB V3 — Standard,USTEC,Short,0.89,2024-09-10T14:25:00,2024-09-10T16:53:35,18695.51,18695.89,-0.9,Loss,Precomputed native MT5 deals,US100 OR30 RV 1.23,sl 18695.51,us100-selective-orb-v3,standard,3y,-0.38,points,1.0,-0.01,103.93,1.0,True,2024-09-10 14:25:00+00:00,2024-09-10 16:53:35+00:00,1.2886002886002885,1.5989256938227394,1.322962962962963,1.5476603119584056,ORB,us100-selective-orb-v3
11,US100 Selective ORB V3 — Standard,USTEC,Long,0.67,2024-09-12T14:20:00,2024-09-12T19:55:00,19325.47,19408.85,55.44,Win,Precomputed native MT5 deals,US100 OR30 RV 1.48,,us100-selective-orb-v3,standard,3y,83.38,points,1.0,0.53,103.92,1.0,True,2024-09-12 14:20:00+00:00,2024-09-12 19:55:00+00:00,0.8594285714285714,1.1480916030534352,1.0712250712250713,1.5425641025641026,ORB,us100-selective-orb-v3
12,US100 Selective ORB V3 — Standard,USTEC,Long,0.77,2024-09-13T14:50:00,2024-09-13T19:55:00,19520.08,19536.06,11.82,Win,Precomputed native MT5 deals,US100 OR30 RV 0.94,,us100-selective-orb-v3,standard,3y,15.98,points,1.0,0.11,104.48,1.0,True,2024-09-13 14:50:00+00:00,2024-09-13 19:55:00+00:00,0.6888260254596889,0.8123436196830692,0.7867528271405493,0.6992103374012921,ORB,us100-selective-orb-v3
13,US100 Selective ORB V3 — Standard,USTEC,Short,0.99,2025-05-07T15:00:00,2025-05-07T18:37:41,19762.53,19762.59,-0.68,Loss,Precomputed native MT5 deals,US100 OR30 RV 0.85,sl 19762.53,us100-selective-orb-v3,standard,3y,-0.06,points,1.0,-0.01,104.59,1.0,True,2025-05-07 15:00:00+00:00,2025-05-07 18:37:41+00:00,2.3159844415632524,1.7776514074495309,1.603076923076923,2.21662825740117,ORB,us100-selective-orb-v3
14,US100 Selective ORB V3 — Standard,USTEC,Short,1.39,2025-08-13T14:15:00,2025-08-13T19:55:00,23915.07,23860.95,74.36,Win,Precomputed native MT5 deals,US100 OR30 RV 0.81,,us100-selective-orb-v3,standard,3y,54.12,points,1.0,0.71,104.59,1.0,True,2025-08-13 14:15:00+00:00,2025-08-13 19:55:00+00:00,0.8199722607489598,1.0907749077490776,1.275787656452309,5.3843351548269585,ORB,us100-selective-orb-v3
15,US100 Selective ORB V3 — Standard,USTEC,Long,1.23,2025-09-03T14:25:00,2025-09-03T17:45:27,23423.01,23337.59,-105.84,Loss,Precomputed native MT5 deals,US100 OR30 RV 3.37,sl 23337.65,us100-selective-orb-v3,standard,3y,-85.42,points,1.0,-1.0,105.33,1.0,True,2025-09-03 14:25:00+00:00,2025-09-03 17:45:27+00:00,1.2878589126949425,2.435501653803749,3.3919385796545107,1.2039787436980516,ORB,us100-selective-orb-v3
16,US100 Selective ORB V3 — Standard,USTEC,Short,0.44,2025-11-20T16:10:00,2025-11-20T16:56:41,25024.59,24558.74,204.69,Win,Precomputed native MT5 deals,US100 OR30 RV 2.54,tp 24558.77,us100-selective-orb-v3,standard,3y,465.85,points,1.0,1.96,104.27,1.0,True,2025-11-20 16:10:00+00:00,2025-11-20 16:56:41+00:00,1.5828667413213886,2.524670685420853,2.083655795098581,0.941705529646902,ORB,us100-selective-orb-v3
17,US100 Selective ORB V3 — Standard,USTEC,Long,0.49,2026-03-04T15:20:00,2026-03-04T20:55:00,25017.63,25126.61,53.09,Win,Precomputed native MT5 deals,US100 OR30 RV 1.06,,us100-selective-orb-v3,standard,3y,108.98,points,1.0,0.5,106.32,1.0,True,2026-03-04 15:20:00+00:00,2026-03-04 20:55:00+00:00,0.7432932469935245,0.6856533333333333,0.9211808541129264,2.0284001262227833,ORB,us100-selective-orb-v3
18,US100 Selective ORB V3 — Standard,USTEC,Long,0.56,2026-03-06T15:15:00,2026-03-08T22:05:00,24781.3,24262.72,-300.71,Loss,Precomputed native MT5 deals,US100 OR30 RV 1.21,sl 24593.10,us100-selective-orb-v3,standard,3y,-518.58,points,1.0,-2.81,106.85,1.0,True,2026-03-06 15:15:00+00:00,2026-03-08 22:05:00+00:00,1.6854077807935892,1.6092805133901025,1.7719798885718168,2.0767638158942505,ORB,us100-selective-orb-v3
19,US100 Selective ORB V3 — Standard,USTEC,Short,0.57,2026-06-16T14:25:00,2026-06-16T19:16:30,30452.61,30092.56,204.87,Win,Precomputed native MT5 deals,US100 OR30 RV 0.94,tp 30092.63,us100-selective-orb-v3,standard,3y,360.05,points,1.0,1.97,103.84,1.0,True,2026-06-16 14:25:00+00:00,2026-06-16 19:16:30+00:00,1.2074376612209803,1.3811163019424637,1.9757298628209639,2.5307501689569722,ORB,us100-selective-orb-v3
20,US100 Selective ORB V3 — Standard,USTEC,Long,0.71,2026-09-02T14:20:00,2026-09-02T19:55:00,29136.83,29167.75,21.51,Win,Precomputed native MT5 deals,US100 OR30 RV 0.87,,us100-selective-orb-v3,standard,3y,30.92,points,1.0,0.2,105.89,1.0,True,2026-09-02 14:20:00+00:00,2026-09-02 19:55:00+00:00,0.7998285469352765,1.6304062909567496,2.4472131147540983,3.8875,ORB,us100-selective-orb-v3
