period,date,direction,outcome,entry_time,entry_price,stop,target,exit_time,exit_price,risk_points,planned_rr,gross_r,paper_cost_r,paper_net_r,broker_spread_points,broker_spread_imputed,broker_net_r,asia_range
full,2022-03-07,short,win,2022-03-07T10:15:00-05:00,13619.34,13657.6,13531.82,2022-03-07T12:00:00-05:00,13531.82,38.26000000000022,2.2875065342394127,2.2875065342394127,0.15682174594877066,2.130684788290642,3.4,False,2.198640878201776,92.47000000000116
full,2022-08-31,short,win,2022-08-31T10:15:00-04:00,12430.31,12459.45,12339.81,2022-08-31T11:00:00-04:00,12339.81,29.140000000001237,3.1056966369250567,3.1056966369250567,0.20590253946464465,2.899794097460412,2.81,False,3.0092656142757814,104.35000000000036
full,2023-02-08,long,loss,2023-02-08T09:45:00-05:00,12699.98,12668.51,12751.25,2023-02-08T09:45:00-05:00,12668.51,31.469999999999345,1.629170638703575,-1.0,0.1906577693041031,-1.1906577693041032,2.61,False,-1.0829361296472848,57.25
full,2024-04-22,short,win,2024-04-22T10:15:00-04:00,17137.21,17174.59,17066.02,2024-04-22T10:15:00-04:00,17066.02,37.38000000000102,1.904494382022385,1.904494382022385,0.1605136436597067,1.7439807383626782,3.0300000000000002,False,1.823434991974233,72.34999999999854
full,2024-10-22,long,loss,2024-10-22T10:00:00-04:00,20325.87,20291.59,20391.46,2024-10-22T12:30:00-04:00,20291.59,34.279999999998836,1.913360560093418,-1.0,0.17502917152859404,-1.175029171528594,1.21,False,-1.0352975495915997,68.09999999999854
full,2025-02-20,long,loss,2025-02-20T09:45:00-05:00,22105.56,22074.24,22166.6,2025-02-20T09:45:00-05:00,22074.24,31.31999999999971,1.9489144316729823,-1.0,0.19157088122605542,-1.1915708812260555,1.29,False,-1.041187739463602,71.57999999999811
full,2025-08-14,long,win,2025-08-14T09:45:00-04:00,23839.59,23814.4,23883.21,2025-08-14T10:30:00-04:00,23883.21,25.18999999999869,1.7316395394998512,1.7316395394998512,0.23818975784042526,1.4934497816594259,2.67,True,1.625645097260862,47.5
full,2025-12-22,short,loss,2025-12-22T09:45:00-05:00,25492.34,25524.12,25440.88,2025-12-22T09:45:00-05:00,25524.12,31.779999999998836,1.6192573945878228,-1.0,0.18879798615482127,-1.1887979861548212,2.67,True,-1.0840151038388954,53.039999999997235
3y,2024-04-22,short,win,2024-04-22T10:15:00-04:00,17137.21,17174.59,17066.02,2024-04-22T10:15:00-04:00,17066.02,37.38000000000102,1.904494382022385,1.904494382022385,0.1605136436597067,1.7439807383626782,3.0300000000000002,False,1.823434991974233,72.34999999999854
3y,2024-10-22,long,loss,2024-10-22T10:00:00-04:00,20325.87,20291.59,20391.46,2024-10-22T12:30:00-04:00,20291.59,34.279999999998836,1.913360560093418,-1.0,0.17502917152859404,-1.175029171528594,1.21,False,-1.0352975495915997,68.09999999999854
3y,2025-02-20,long,loss,2025-02-20T09:45:00-05:00,22105.56,22074.24,22166.6,2025-02-20T09:45:00-05:00,22074.24,31.31999999999971,1.9489144316729823,-1.0,0.19157088122605542,-1.1915708812260555,1.29,False,-1.041187739463602,71.57999999999811
3y,2025-08-14,long,win,2025-08-14T09:45:00-04:00,23839.59,23814.4,23883.21,2025-08-14T10:30:00-04:00,23883.21,25.18999999999869,1.7316395394998512,1.7316395394998512,0.23818975784042526,1.4934497816594259,2.99,True,1.6129416435093726,47.5
3y,2025-12-22,short,loss,2025-12-22T09:45:00-05:00,25492.34,25524.12,25440.88,2025-12-22T09:45:00-05:00,25524.12,31.779999999998836,1.6192573945878228,-1.0,0.18879798615482127,-1.1887979861548212,2.99,True,-1.0940843297671525,53.039999999997235
1y,2025-08-14,long,win,2025-08-14T09:45:00-04:00,23839.59,23814.4,23883.21,2025-08-14T10:30:00-04:00,23883.21,25.18999999999869,1.7316395394998512,1.7316395394998512,0.23818975784042526,1.4934497816594259,0.08,True,1.728463676061979,47.5
1y,2025-12-22,short,loss,2025-12-22T09:45:00-05:00,25492.34,25524.12,25440.88,2025-12-22T09:45:00-05:00,25524.12,31.779999999998836,1.6192573945878228,-1.0,0.18879798615482127,-1.1887979861548212,0.08,True,-1.0025173064820643,53.039999999997235
