period,signal,regime_basis,regime,signals,correct,accuracy_pct,binomial_p_two_sided
full,bearish,none,all,257,103,40.07782101167315,0.0017608289799464962
full,bullish,none,all,224,105,46.875,0.3851110004364599
full,bearish,regime_same_day,downtrend,73,50,68.4931506849315,0.0021181727464006325
full,bearish,regime_same_day,ranging,30,10,33.33333333333333,0.09873714670538905
full,bearish,regime_same_day,uptrend,154,43,27.92207792207792,4.0768259858620634e-08
full,bullish,regime_same_day,downtrend,78,23,29.48717948717949,0.00037779201420676267
full,bullish,regime_same_day,ranging,36,15,41.66666666666667,0.4050322461407632
full,bullish,regime_same_day,uptrend,110,67,60.909090909090914,0.0278508881256621
full,bearish,regime_prior_day,downtrend,79,36,45.56962025316456,0.499896876860327
full,bearish,regime_prior_day,ranging,36,11,30.555555555555557,0.028816719655878845
full,bearish,regime_prior_day,uptrend,142,56,39.436619718309856,0.01465654304783001
full,bullish,regime_prior_day,downtrend,73,36,49.31506849315068,1.0
full,bullish,regime_prior_day,ranging,29,14,48.275862068965516,1.0
full,bullish,regime_prior_day,uptrend,122,55,45.08196721311475,0.3193082974752441
3y,bearish,none,all,170,59,34.705882352941174,8.152473202823984e-05
3y,bullish,none,all,142,67,47.183098591549296,0.5570709871103278
3y,bearish,regime_same_day,downtrend,34,21,61.76470588235294,0.22948101302608848
3y,bearish,regime_same_day,ranging,26,8,30.76923076923077,0.07551869750022888
3y,bearish,regime_same_day,uptrend,110,30,27.27272727272727,2.0183787682242732e-06
3y,bullish,regime_same_day,downtrend,46,10,21.73913043478261,0.00015641720852954677
3y,bullish,regime_same_day,ranging,22,10,45.45454545454545,0.8318119049072266
3y,bullish,regime_same_day,uptrend,74,47,63.51351351351351,0.02651683255068482
3y,bearish,regime_prior_day,downtrend,44,14,31.818181818181817,0.022628841205914796
3y,bearish,regime_prior_day,ranging,24,6,25.0,0.022655844688415527
3y,bearish,regime_prior_day,uptrend,102,39,38.23529411764706,0.02229766182469293
3y,bullish,regime_prior_day,downtrend,40,18,45.0,0.6358280026288412
3y,bullish,regime_prior_day,ranging,21,10,47.61904761904761,1.0
3y,bullish,regime_prior_day,uptrend,81,39,48.148148148148145,0.824313215105208
1y,bearish,none,all,66,23,34.84848484848485,0.01865726035402101
1y,bullish,none,all,44,21,47.72727272727273,0.880395821280672
1y,bearish,regime_same_day,downtrend,12,9,75.0,0.14599609375
1y,bearish,regime_same_day,ranging,13,4,30.76923076923077,0.266845703125
1y,bearish,regime_same_day,uptrend,41,10,24.390243902439025,0.0014504910141113214
1y,bullish,regime_same_day,downtrend,12,3,25.0,0.14599609375
1y,bullish,regime_same_day,ranging,9,4,44.44444444444444,1.0
1y,bullish,regime_same_day,uptrend,23,14,60.86956521739131,0.4048728942871094
1y,bearish,regime_prior_day,downtrend,15,5,33.33333333333333,0.30175781249999994
1y,bearish,regime_prior_day,ranging,12,4,33.33333333333333,0.3876953125
1y,bearish,regime_prior_day,uptrend,39,14,35.8974358974359,0.10812902140605732
1y,bullish,regime_prior_day,downtrend,13,8,61.53846153846154,0.5810546875
1y,bullish,regime_prior_day,ranging,7,2,28.57142857142857,0.453125
1y,bullish,regime_prior_day,uptrend,24,11,45.83333333333333,0.8388197422027588
