prague_day;start_balance;min_equity;daily_loss_usd;end_balance;max_margin_usd
2026.07.19;10000.00;10000.00;0.00;10000.00;0.00
2026.07.20;10000.00;10000.00;0.00;10000.00;0.00
2026.07.21;10000.00;10000.00;0.00;10000.00;0.00
2026.07.22;10000.00;10000.00;0.00;10000.00;0.00
2026.07.23;10000.00;10000.00;0.00;10000.00;0.00
2026.07.24;10000.00;10000.00;0.00;10000.00;0.00
2026.07.27;10000.00;10000.00;0.00;10000.00;0.00
2026.07.28;10000.00;10000.00;0.00;10000.00;0.00
2026.07.29;10000.00;10000.00;0.00;10000.00;0.00
2026.07.30;10000.00;10000.00;0.00;10000.00;0.00
2026.07.31;10000.00;10000.00;0.00;10000.00;0.00
2026.08.03;10000.00;10000.00;0.00;10000.00;0.00
2026.08.04;10000.00;10000.00;0.00;10000.00;0.00
2026.08.05;10000.00;10000.00;0.00;10000.00;0.00
2026.08.06;10000.00;10000.00;0.00;10000.00;0.00
2026.08.07;10000.00;10000.00;0.00;10000.00;0.00
2026.08.10;10000.00;9898.75;101.25;9898.75;66.20
2026.08.11;9898.75;9898.75;0.00;9898.75;0.00
2026.08.12;9898.75;9898.75;0.00;9898.75;0.00
2026.08.13;9898.75;9898.75;0.00;9898.75;0.00
2026.08.14;9898.75;9898.75;0.00;9898.75;0.00
2026.08.17;9898.75;9898.75;0.00;9898.75;0.00
2026.08.18;9898.75;9898.75;0.00;9898.75;0.00
2026.08.19;9898.75;9898.75;0.00;9898.75;0.00
2026.08.20;9898.75;9898.75;0.00;9898.75;0.00
2026.08.21;9898.75;9898.75;0.00;9898.75;0.00
2026.08.24;9898.75;9898.75;0.00;9898.75;0.00
2026.08.25;9898.75;9898.75;0.00;9898.75;0.00
2026.08.26;9898.75;9898.75;0.00;9898.75;0.00
2026.08.27;9898.75;9898.75;0.00;9898.75;0.00
2026.08.28;9898.75;9898.75;0.00;9898.75;0.00
2026.08.31;9898.75;9898.75;0.00;9898.75;0.00
2026.09.01;9898.75;9898.75;0.00;9898.75;0.00
2026.09.02;9898.75;9898.75;0.00;9898.75;0.00
2026.09.03;9898.75;9898.75;0.00;9898.75;0.00
2026.09.04;9898.75;9898.75;0.00;9898.75;0.00
2026.09.07;9898.75;9898.75;0.00;9898.75;0.00
2026.09.08;9898.75;9839.45;59.30;9946.86;59.12
2026.09.09;9946.86;9946.86;0.00;9946.86;0.00
2026.09.10;9946.86;9946.86;0.00;9946.86;0.00
2026.09.11;9946.86;9946.86;0.00;9946.86;0.00
2026.09.14;9946.86;9946.86;0.00;9946.86;0.00
2026.09.15;9946.86;9946.86;0.00;9946.86;0.00
2026.09.16;9946.86;9946.86;0.00;9946.86;0.00
2026.09.17;9946.86;9946.86;0.00;9946.86;0.00
2026.09.18;9946.86;9946.86;0.00;9946.86;0.00
