prague_day;start_balance;min_equity;daily_loss_usd;end_balance;max_margin_usd
2026.07.19;10000.00;10000.00;0.00;10000.00;0.00
2026.07.20;10000.00;10000.00;0.00;10000.00;0.00
2026.07.21;10000.00;10000.00;0.00;10000.00;0.00
2026.07.22;10000.00;10000.00;0.00;10000.00;0.00
2026.07.23;10000.00;10000.00;0.00;10000.00;0.00
2026.07.24;10000.00;10000.00;0.00;10000.00;0.00
2026.07.27;10000.00;10000.00;0.00;10000.00;0.00
2026.07.28;10000.00;10000.00;0.00;10000.00;0.00
2026.07.29;10000.00;10000.00;0.00;10000.00;0.00
2026.07.30;10000.00;10000.00;0.00;10000.00;0.00
2026.07.31;10000.00;10000.00;0.00;10000.00;0.00
2026.08.03;10000.00;10000.00;0.00;10000.00;0.00
2026.08.04;10000.00;10000.00;0.00;10000.00;0.00
2026.08.05;10000.00;10000.00;0.00;10000.00;0.00
2026.08.06;10000.00;10000.00;0.00;10000.00;0.00
2026.08.07;10000.00;9932.04;67.96;9993.28;578.90
2026.08.10;9993.28;9993.28;0.00;9993.28;0.00
2026.08.11;9993.28;9993.28;0.00;9993.28;0.00
2026.08.12;9993.28;9993.28;0.00;9993.28;0.00
2026.08.13;9993.28;9993.28;0.00;9993.28;0.00
2026.08.14;9993.28;9884.28;109.00;10050.95;1022.34
2026.08.17;10050.95;10050.95;0.00;10050.95;0.00
2026.08.18;10050.95;10050.95;0.00;10050.95;0.00
2026.08.19;10050.95;10050.95;0.00;10050.95;0.00
2026.08.20;10050.95;10050.95;0.00;10050.95;0.00
2026.08.21;10050.95;10050.95;0.00;10050.95;0.00
2026.08.24;10050.95;10050.95;0.00;10050.95;0.00
2026.08.25;10050.95;10050.95;0.00;10050.95;0.00
2026.08.26;10050.95;10050.95;0.00;10050.95;0.00
2026.08.27;10050.95;10050.95;0.00;10050.95;0.00
2026.08.28;10050.95;10050.95;0.00;10050.95;0.00
2026.08.31;10050.95;10050.95;0.00;10050.95;0.00
2026.09.01;10050.95;10050.95;0.00;10050.95;0.00
2026.09.02;10050.95;10050.95;0.00;10050.95;0.00
2026.09.03;10050.95;10050.95;0.00;10050.95;0.00
2026.09.04;10050.95;10050.95;0.00;10050.95;0.00
2026.09.07;10050.95;10050.95;0.00;10050.95;0.00
2026.09.08;10050.95;10050.95;0.00;10050.95;0.00
2026.09.09;10050.95;10050.95;0.00;10050.95;0.00
2026.09.10;10050.95;10050.95;0.00;10050.95;0.00
2026.09.11;10050.95;10013.41;37.54;10109.41;583.37
2026.09.14;10109.41;10109.41;0.00;10109.41;0.00
2026.09.15;10109.41;10109.41;0.00;10109.41;0.00
2026.09.16;10109.41;10109.41;0.00;10109.41;0.00
2026.09.17;10109.41;10017.27;92.14;10162.53;725.72
2026.09.18;10162.53;10162.53;0.00;10162.53;0.00
