phase,case,label,symbol,timeframe,initial,final,net,return_pct,cagr_pct,equity_dd_pct,balance_dd_pct,profit_factor,win_rate_pct,trades,history_quality,report
training-screen,b00,BTC published seed,BTCUSD,M5,10000.0,13201.04,3201.04,32.0104,14.972282012909965,12.04,10.79,1.2,39.01,364,100%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Online Research EAs 2026-08-11\Backtest Reports\Training Screen\b00.htm
training-screen,b01,BTC long 5/20 TP3 SL3,BTCUSD,M5,10000.0,12423.76,2423.76,24.2376,11.519916538803532,15.08,14.12,1.15,39.63,376,100%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Online Research EAs 2026-08-11\Backtest Reports\Training Screen\b01.htm
training-screen,b02,BTC long 10/30 TP5 SL4,BTCUSD,M5,10000.0,11871.28,1871.28,18.712799999999998,9.000209507239344,10.98,10.13,1.22,40.09,217,100%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Online Research EAs 2026-08-11\Backtest Reports\Training Screen\b02.htm
training-screen,b03,BTC long 10/50 TP8 SL6,BTCUSD,M5,10000.0,11716.75,1716.75,17.1675,8.28504996293924,7.08,5.87,1.49,38.83,103,100%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Online Research EAs 2026-08-11\Backtest Reports\Training Screen\b03.htm
training-screen,b04,BTC long 20/80 TP10 SL6,BTCUSD,M5,10000.0,11845.35,1845.35,18.453500000000002,8.880531208534004,6.35,5.05,1.57,41.41,99,100%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Online Research EAs 2026-08-11\Backtest Reports\Training Screen\b04.htm
training-screen,b05,BTC both 5/30 and 10/50,BTCUSD,M5,10000.0,11968.39,1968.39,19.6839,9.447262936367862,17.54,16.57,1.25,40.09,212,100%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Online Research EAs 2026-08-11\Backtest Reports\Training Screen\b05.htm
training-screen,b06,BTC both 10/50 and 20/80,BTCUSD,M5,10000.0,10742.23,742.23,7.4223,3.6625174912548797,10.62,9.45,1.21,37.07,116,100%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Online Research EAs 2026-08-11\Backtest Reports\Training Screen\b06.htm
training-screen,b07,BTC long 5/50 TP2 SL2,BTCUSD,M5,10000.0,15067.4,5067.4,50.674,22.87000829903567,16.6,15.7,1.17,37.5,640,100%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Online Research EAs 2026-08-11\Backtest Reports\Training Screen\b07.htm
training-screen,b08,BTC long 20/100 TP15 SL10,BTCUSD,M5,10000.0,11015.42,1015.42,10.1542,4.978702331136153,3.1,1.81,2.24,44.12,34,100%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Online Research EAs 2026-08-11\Backtest Reports\Training Screen\b08.htm
training-screen,b09,BTC both 20/80 and 10/40,BTCUSD,M5,10000.0,8951.31,-1048.69,-10.4869,-5.413756244275936,14.16,13.34,0.73,33.09,136,100%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Online Research EAs 2026-08-11\Backtest Reports\Training Screen\b09.htm
