symbol,period,return_pct,profit_factor,win_rate_pct,max_drawdown_pct,trades,sharpe,recovery_factor,commission,swap,decision
xauusd,,-2.6556,0.95,39.81,15.78,103,-1.04,-0.17,-68.29,0.0,REJECT
xauusd,,-9.0912,0.46,47.06,11.87,34,-5.0,-0.76,-20.87,0.0,REJECT
xauusd,,0.8666999999999999,1.02,57.61,13.1,92,0.58,0.06,-155.24,0.0,REJECT
xagusd,,-16.876300000000004,0.67,33.73,18.28,83,-5.0,-0.91,-388.78,0.0,REJECT
xagusd,,-0.8933,0.94,39.29,10.98,28,-1.75,-0.08,-99.83,0.0,REJECT
xagusd,,4.162,1.16,46.81,13.65,47,5.01,0.28,-330.75,0.0,REJECT
btcusd,,-7.8652,0.91,39.01,12.02,141,-2.83,-0.63,-369.82,-20.15,WATCH / insufficient robustness
btcusd,,8.3729,1.4,26.92,9.32,26,4.86,0.76,-37.93,-22.94,WATCH / insufficient robustness
btcusd,,28.542299999999997,1.52,33.8,9.32,71,4.57,2.19,-101.68,-124.36,WATCH / insufficient robustness
us30,,-18.797900000000002,0.69,34.07,24.16,91,-5.0,-0.73,-119.69,-19.79,REJECT
us30,,-13.9728,0.5,26.83,15.12,41,-5.0,-0.92,-18.5,-46.84,REJECT
us30,,-8.287799999999999,0.87,38.24,17.54,102,-2.44,-0.43,-59.43,-200.92,REJECT
ustec,,1.3356999999999999,1.01,43.07,12.96,137,0.43,0.09,-249.38,-95.73,REJECT
ustec,,-1.4784,0.86,58.33,7.21,24,-3.76,-0.2,-28.47,0.0,REJECT
ustec,,-1.3497000000000001,0.94,58.93,7.21,56,-1.63,-0.18,-73.54,0.0,REJECT
gbpjpy,,-14.5429,0.73,35.71,19.14,84,-5.0,-0.75,-481.17,0.0,REJECT
gbpjpy,,-13.581500000000002,0.4,31.43,17.62,35,-5.0,-0.76,-93.31,-5.7,REJECT
gbpjpy,,14.977200000000002,1.23,46.15,17.83,104,2.86,0.62,-289.72,-113.24,REJECT
