symbol,variant,return_pct,profit_factor,win_rate_pct,max_drawdown_pct,trades,sharpe,recovery_factor,selection_score,history_quality,commission,swap,path
btcusd,atr150,9.9469,1.21,45.98,10.68,87,4.2,0.9,6.621344315303797,100%,-138.06,-32.7,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\POC Fibonacci Volume Profile Research 2026-09-04\Backtest Reports\stop\btcusd--atr150--stop.htm
btcusd,atr100,1.0132999999999999,1.02,41.84,12.2,98,0.56,0.08,-8.671068472445842,100%,-233.19,-25.4,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\POC Fibonacci Volume Profile Research 2026-09-04\Backtest Reports\stop\btcusd--atr100--stop.htm
btcusd,atr200,-2.4624,0.95,40.74,12.65,81,-0.98,-0.19,-14.631919532650604,100%,-87.89,-48.49,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\POC Fibonacci Volume Profile Research 2026-09-04\Backtest Reports\stop\btcusd--atr200--stop.htm
btcusd,swing8,-4.3854999999999995,0.91,40.24,10.72,82,-1.74,-0.4,-16.074228153654897,100%,-126.11,-39.18,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\POC Fibonacci Volume Profile Research 2026-09-04\Backtest Reports\stop\btcusd--swing8--stop.htm
btcusd,swing3,-7.5367999999999995,0.86,38.46,13.24,91,-3.54,-0.57,-23.455174676815005,100%,-172.61,-55.95,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\POC Fibonacci Volume Profile Research 2026-09-04\Backtest Reports\stop\btcusd--swing3--stop.htm
btcusd,swing5,-9.8668,0.8,37.21,15.47,86,-4.27,-0.63,-29.117022615770516,100%,-145.95,-48.49,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\POC Fibonacci Volume Profile Research 2026-09-04\Backtest Reports\stop\btcusd--swing5--stop.htm
btcusd,signal,-12.886199999999997,0.78,36.0,19.06,100,-5.0,-0.67,-36.05323631158198,100%,-236.89,-40.51,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\POC Fibonacci Volume Profile Research 2026-09-04\Backtest Reports\stop\btcusd--signal--stop.htm
gbpjpy,atr200,15.356199999999998,1.43,50.0,7.72,68,5.96,1.94,18.23529333126179,100%,-153.88,-68.85,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\POC Fibonacci Volume Profile Research 2026-09-04\Backtest Reports\stop\gbpjpy--atr200--stop.htm
gbpjpy,atr150,9.522400000000001,1.23,45.45,11.95,77,4.8,0.78,5.722070032611915,100%,-215.99,-21.63,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\POC Fibonacci Volume Profile Research 2026-09-04\Backtest Reports\stop\gbpjpy--atr150--stop.htm
gbpjpy,swing5,-1.1878,0.97,40.26,12.6,77,-0.56,-0.09,-12.714810489816502,100%,-291.49,-52.29,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\POC Fibonacci Volume Profile Research 2026-09-04\Backtest Reports\stop\gbpjpy--swing5--stop.htm
