name,daily_profit_pct,daily_loss_pct,recovery_factor,maximum_multiplier,initial,final,net,return_pct,realized_dd_amount,realized_dd_pct,profit_factor,trades,wins,losses,win_rate_pct,skipped_entries,lock_days,max_loss_streak,max_multiplier_used,max_nominal_risk_pct,ruined
Baseline 1.0x — no daily locks,,,1.0,1.0,10000.0,43803.14,33803.14,338.0314,3104.0,31.04,1.3104,2066,855,1211,41.3843,0,0,14,1.0,1.0,False
Fixed recovery 1.6x after loss until win,,,1.6,1.6,10000.0,56855.52,46855.52,468.5552,4485.54,44.8554,1.3182,2066,855,1211,41.3843,0,0,14,1.6,1.6,False
Literal 1.6x until win — unlimited,,,1.6,,10000.0,0.0,-10000.0,-100.0,10000.0,100.0,0.1711,56,13,43,23.2143,0,0,9,68.719477,68.719477,True
Recovery 1.6x — capped at 2.56x,,,1.6,2.56,10000.0,71666.2,61666.2,616.662,6223.47,62.2347,1.3388,2066,855,1211,41.3843,0,0,14,2.56,2.56,False
Recovery 1.6x — capped at 4.096x,,,1.6,4.096,10000.0,83403.57,73403.57,734.0357,8406.12,84.0612,1.3371,2066,855,1211,41.3843,0,0,14,4.096,4.096,False
Daily 1% win / 1% loss,1.0,1.0,1.0,1.0,10000.0,30829.94,20829.94,208.2994,1553.36,10.8642,1.3584,1112,468,644,42.0863,954,238,10,1.0,1.0,False
Daily 1%/1% + fixed recovery 1.6x,1.0,1.0,1.6,1.6,10000.0,30136.64,20136.64,201.3664,1158.98,11.5898,1.2705,1049,435,614,41.4681,1017,257,10,1.6,1.6,False
Daily 1%/1% + recovery cap 2.56x,1.0,1.0,1.6,2.56,10000.0,36684.06,26684.06,266.8406,4238.09,21.5393,1.3283,991,418,573,42.1796,1075,262,10,2.56,2.56,False
Daily 1%/1% + literal unlimited recovery,1.0,1.0,1.6,,10000.0,107879.98,97879.98,978.7998,18741.31,48.5765,1.4864,1371,567,804,41.3567,695,196,11,109.951163,109.951163,False
Daily 1% win / 1.5% loss,1.0,1.5,1.0,1.0,10000.0,33880.97,23880.97,238.8097,1347.77,13.4777,1.3554,1266,529,737,41.7852,800,218,12,1.0,1.0,False
Daily 1%/1.5% + fixed recovery 1.6x,1.0,1.5,1.6,1.6,10000.0,41067.19,31067.19,310.6719,3002.78,16.4762,1.3545,1214,510,704,42.0099,852,233,10,1.6,1.6,False
Daily 1%/1.5% + recovery cap 2.56x,1.0,1.5,1.6,2.56,10000.0,54003.39,44003.39,440.0339,1620.15,16.2015,1.4252,1201,507,694,42.2148,865,239,10,2.56,2.56,False
Daily 1%/1.5% + literal unlimited recovery,1.0,1.5,1.6,,10000.0,0.0,-10000.0,-100.0,40853.2,100.0,0.8995,586,230,356,39.2491,559,158,12,109.951163,109.951163,True
Daily 1% win / 2% loss,1.0,2.0,1.0,1.0,10000.0,34369.26,24369.26,243.6926,1420.8,14.208,1.3328,1382,575,807,41.6064,684,193,12,1.0,1.0,False
Daily 1%/2% + fixed recovery 1.6x,1.0,2.0,1.6,1.6,10000.0,44031.32,34031.32,340.3132,1907.33,19.0733,1.3442,1352,560,792,41.4201,714,209,11,1.6,1.6,False
Daily 1%/2% + recovery cap 2.56x,1.0,2.0,1.6,2.56,10000.0,54937.4,44937.4,449.374,1828.95,18.2895,1.3944,1283,533,750,41.5433,783,220,11,2.56,2.56,False
Daily 1%/2% + literal unlimited recovery,1.0,2.0,1.6,,10000.0,0.0,-10000.0,-100.0,45254.84,100.0,0.8927,448,177,271,39.5089,288,88,13,281.474977,281.474977,True
Daily 1% win / 2.5% loss,1.0,2.5,1.0,1.0,10000.0,36730.3,26730.3,267.303,2577.3,25.773,1.3458,1478,619,859,41.8809,588,169,14,1.0,1.0,False
Daily 1%/2.5% + fixed recovery 1.6x,1.0,2.5,1.6,1.6,10000.0,44539.16,34539.16,345.3916,1907.33,19.0733,1.3364,1407,585,822,41.5778,659,195,12,1.6,1.6,False
Daily 1%/2.5% + recovery cap 2.56x,1.0,2.5,1.6,2.56,10000.0,54678.88,44678.88,446.7888,1830.61,18.3061,1.3623,1356,559,797,41.2242,710,203,11,2.56,2.56,False
Daily 1%/2.5% + literal unlimited recovery,1.0,2.5,1.6,,10000.0,78130.68,68130.68,681.3068,24127.95,87.3513,1.2505,1429,590,839,41.2876,637,188,12,109.951163,109.951163,False
Daily 1% win / 3% loss,1.0,3.0,1.0,1.0,10000.0,39576.81,29576.81,295.7681,2557.6,25.576,1.3704,1543,649,894,42.0609,523,145,14,1.0,1.0,False
Daily 1%/3% + fixed recovery 1.6x,1.0,3.0,1.6,1.6,10000.0,47101.19,37101.19,371.0119,3051.67,30.5167,1.3528,1454,607,847,41.7469,612,179,11,1.6,1.6,False
Daily 1%/3% + recovery cap 2.56x,1.0,3.0,1.6,2.56,10000.0,55255.33,45255.33,452.5533,3190.47,31.9047,1.3579,1391,570,821,40.9777,675,202,11,2.56,2.56,False
Daily 1%/3% + literal unlimited recovery,1.0,3.0,1.6,,10000.0,142445.44,132445.44,1324.4544,24127.95,91.0333,1.4578,1598,661,937,41.3642,468,139,12,175.92186,175.92186,False
Daily 1% win / 4% loss,1.0,4.0,1.0,1.0,10000.0,39753.71,29753.71,297.5371,2933.64,29.3364,1.3703,1557,656,901,42.1323,509,137,14,1.0,1.0,False
Daily 1%/4% + fixed recovery 1.6x,1.0,4.0,1.6,1.6,10000.0,49026.02,39026.02,390.2602,3680.06,36.8006,1.3597,1512,634,878,41.9312,554,158,13,1.6,1.6,False
Daily 1%/4% + recovery cap 2.56x,1.0,4.0,1.6,2.56,10000.0,57773.06,47773.06,477.7306,4196.6,41.966,1.3621,1458,601,857,41.2209,608,185,12,2.56,2.56,False
Daily 1%/4% + literal unlimited recovery,1.0,4.0,1.6,,10000.0,123228.83,113228.83,1132.2883,24127.95,93.0269,1.3822,1595,660,935,41.3793,471,146,12,175.92186,175.92186,False
Daily 1.5% win / 1% loss,1.5,1.0,1.0,1.0,10000.0,34463.25,24463.25,244.6325,1271.25,12.7125,1.3723,1254,529,725,42.185,812,212,10,1.0,1.0,False
Daily 1.5%/1% + fixed recovery 1.6x,1.5,1.0,1.6,1.6,10000.0,42149.52,32149.52,321.4952,1650.2,16.502,1.3978,1151,485,666,42.1373,915,230,10,1.6,1.6,False
Daily 1.5%/1% + recovery cap 2.56x,1.5,1.0,1.6,2.56,10000.0,38725.58,28725.58,287.2558,2078.52,20.7852,1.3274,1057,438,619,41.438,1009,247,10,2.56,2.56,False
Daily 1.5%/1% + literal unlimited recovery,1.5,1.0,1.6,,10000.0,0.0,-10000.0,-100.0,23000.52,100.0,0.511,188,83,105,44.1489,214,52,12,175.92186,175.92186,True
Daily 1.5% win / 1.5% loss,1.5,1.5,1.0,1.0,10000.0,35611.87,25611.87,256.1187,1730.7,17.307,1.3457,1392,579,813,41.5948,674,192,12,1.0,1.0,False
Daily 1.5%/1.5% + fixed recovery 1.6x,1.5,1.5,1.6,1.6,10000.0,44177.56,34177.56,341.7756,1921.82,19.2182,1.3612,1304,544,760,41.7178,762,214,10,1.6,1.6,False
Daily 1.5%/1.5% + recovery cap 2.56x,1.5,1.5,1.6,2.56,10000.0,56550.98,46550.98,465.5098,2393.09,23.9309,1.4006,1334,562,772,42.1289,732,215,9,2.56,2.56,False
Daily 1.5%/1.5% + literal unlimited recovery,1.5,1.5,1.6,,10000.0,118619.63,108619.63,1086.1963,21892.08,72.164,1.4205,1500,616,884,41.0667,566,161,12,175.92186,175.92186,False
Daily 1.5% win / 2% loss,1.5,2.0,1.0,1.0,10000.0,37560.28,27560.28,275.6028,1811.74,18.1174,1.3343,1550,643,907,41.4839,516,157,12,1.0,1.0,False
Daily 1.5%/2% + fixed recovery 1.6x,1.5,2.0,1.6,1.6,10000.0,41737.64,31737.64,317.3764,2411.15,24.1115,1.3265,1333,549,784,41.1853,733,211,11,1.6,1.6,False
Daily 1.5%/2% + recovery cap 2.56x,1.5,2.0,1.6,2.56,10000.0,56543.75,46543.75,465.4375,2413.24,24.1324,1.3546,1467,608,859,41.4451,599,182,11,2.56,2.56,False
Daily 1.5%/2% + literal unlimited recovery,1.5,2.0,1.6,,10000.0,59221.72,49221.72,492.2172,30647.83,73.1313,1.2406,1356,555,801,40.9292,710,207,12,109.951163,109.951163,False
Daily 1.5% win / 2.5% loss,1.5,2.5,1.0,1.0,10000.0,36558.96,26558.96,265.5896,2577.3,25.773,1.3115,1595,657,938,41.1912,471,147,12,1.0,1.0,False
Daily 1.5%/2.5% + fixed recovery 1.6x,1.5,2.5,1.6,1.6,10000.0,46074.63,36074.63,360.7463,2411.15,24.1115,1.3286,1498,615,883,41.0547,568,173,12,1.6,1.6,False
Daily 1.5%/2.5% + recovery cap 2.56x,1.5,2.5,1.6,2.56,10000.0,56972.78,46972.78,469.7278,2414.91,24.1491,1.3444,1512,627,885,41.4683,554,168,10,2.56,2.56,False
Daily 1.5%/2.5% + literal unlimited recovery,1.5,2.5,1.6,,10000.0,76340.26,66340.26,663.4026,35431.83,84.8909,1.2555,1441,596,845,41.3602,625,188,12,175.92186,175.92186,False
Daily 1.5% win / 3% loss,1.5,3.0,1.0,1.0,10000.0,41823.63,31823.63,318.2363,2557.6,25.576,1.3613,1688,714,974,42.2986,378,115,12,1.0,1.0,False
Daily 1.5%/3% + fixed recovery 1.6x,1.5,3.0,1.6,1.6,10000.0,46682.0,36682.0,366.82,3051.67,30.5167,1.3236,1558,642,916,41.2067,508,156,12,1.6,1.6,False
Daily 1.5%/3% + recovery cap 2.56x,1.5,3.0,1.6,2.56,10000.0,59059.79,49059.79,490.5979,3190.47,31.9047,1.344,1583,651,932,41.1244,483,155,11,2.56,2.56,False
Daily 1.5%/3% + literal unlimited recovery,1.5,3.0,1.6,,10000.0,87648.54,77648.54,776.4854,41545.36,87.8979,1.296,1508,618,890,40.9814,558,170,12,109.951163,109.951163,False
Daily 1.5% win / 4% loss,1.5,4.0,1.0,1.0,10000.0,41877.87,31877.87,318.7787,2933.64,29.3364,1.3595,1700,720,980,42.3529,366,106,12,1.0,1.0,False
Daily 1.5%/4% + fixed recovery 1.6x,1.5,4.0,1.6,1.6,10000.0,50002.98,40002.98,400.0298,3680.06,36.8006,1.3382,1649,690,959,41.8435,417,127,14,1.6,1.6,False
Daily 1.5%/4% + recovery cap 2.56x,1.5,4.0,1.6,2.56,10000.0,58592.47,48592.47,485.9247,4196.6,41.966,1.3379,1593,660,933,41.4313,473,151,12,2.56,2.56,False
Daily 1.5%/4% + literal unlimited recovery,1.5,4.0,1.6,,10000.0,128157.74,118157.74,1181.5774,3971.45,39.7145,1.3888,1690,702,988,41.5385,376,113,12,175.92186,175.92186,False
Daily 2% win / 1% loss,2.0,1.0,1.0,1.0,10000.0,36841.89,26841.89,268.4189,1271.25,12.7125,1.373,1370,581,789,42.4088,696,185,10,1.0,1.0,False
Daily 2%/1% + fixed recovery 1.6x,2.0,1.0,1.6,1.6,10000.0,44450.68,34450.68,344.5068,1650.2,16.502,1.3799,1281,542,739,42.3107,785,209,10,1.6,1.6,False
Daily 2%/1% + recovery cap 2.56x,2.0,1.0,1.6,2.56,10000.0,38528.3,28528.3,285.283,2078.52,20.7852,1.3125,1089,450,639,41.3223,977,245,12,2.56,2.56,False
