basket,entry_time,exit_time,side,entry_a,entry_b,exit_a,exit_b,lots_a,lots_b,net,return_fraction,R,reason,swap,fees,entry_adaptive_RR,risk_usd,entry_fills,exit_fills
1,1756684800,1756685062,-1,108228.14,4393.61,108197.67,4384.97,0.18,4.58,-37.16,-0.0037159999999999997,-0.3716,1,0.0,-3.08,2.4748922872008707,100.0,2,2
2,1756685700,1756686349,-1,107951.33,4388.79,107680.79,4378.74,0.17,4.34,-0.5300000000000011,-0.000053197682588498974,-0.005319768258849898,1,0.0,-2.91,2.074087691231837,99.6284,2,2
3,1756687500,1756689061,-1,108141.2,4396.39,107978.09,4387.2,0.16,4.01,-13.46,-0.0013510922667533936,-0.13510922667533937,1,0.0,-2.71,1.812567864679986,99.6231,2,2
4,1756726200,1756726411,-1,108689.06,4404.39,108575.94,4395.54,0.21,5.23,-26.08,-0.00262140850450052,-0.262140850450052,1,0.0,-3.54,1.5368538216168672,99.4885,2,2
5,1756727100,1756727322,-1,108514.35,4386.09,108723.73,4394.33,0.21,5.23,-4.409999999999997,-0.0004444323510471367,-0.04444323510471367,1,0.0,-3.54,2.062893034767765,99.2277,2,2
6,1756728000,1756728249,-1,108759.51,4395.72,108638.35,4387.58,0.21,5.22,-20.570000000000004,-0.0020739315773978767,-0.20739315773978764,1,0.0,-3.53,2.0758485526888015,99.18360000000001,2,2
7,1756728900,1756730311,-1,108908.35,4403.19,109118.86,4410.97,0.21,5.21,-7.210000000000001,-0.0007284454408509374,-0.07284454408509375,1,0.0,-3.53,1.9502931551974072,98.9779,2,2
8,1756731600,1756732810,-1,109088.37,4407.09,109354.34,4410.86,0.19,4.92,-35.269999999999996,-0.003566019384100831,-0.3566019384100831,1,0.0,-3.29,1.9573373483869851,98.9058,2,2
9,1756734300,1756734385,-1,109173.59,4388.1,109045.19,4380.22,0.18,4.62,-16.38,-0.0016620481750447222,-0.1662048175044722,1,0.0,-3.1,2.584756304148831,98.5531,2,2
10,1756735200,1756735578,-1,109015.56,4386.94,109289.74,4402.44,0.17,4.46,19.549999999999997,0.0019870046844524757,0.19870046844524755,1,0.0,-2.9699999999999998,2.2304449929856034,98.3893,2,2
11,1756737900,1756738119,-1,109105.69,4393.85,108897.48,4383.61,0.17,4.26,-11.089999999999996,-0.0011249198659428225,-0.11249198659428225,1,0.0,-2.87,1.8406405883489483,98.5848,2,2
12,1756738800,1756739432,-1,109149.74,4399.15,109140.98,4387.69,0.16,4.14,-48.809999999999995,-0.004956643333918937,-0.49566433339189364,1,0.0,-2.7699999999999996,1.6923527330340191,98.4739,2,2
13,1756740600,1756741729,-1,108723.97,4374.16,108652.0,4362.56,0.15,3.94,-37.53,-0.003830146817191879,-0.3830146817191879,1,0.0,-2.63,1.8085752659982188,97.9858,2,2
14,1756742400,1756742582,-1,108810.13,4367.08,108677.62,4352.15,0.14,3.72,-39.459999999999994,-0.004042597876253067,-0.4042597876253067,1,0.0,-2.4699999999999998,2.122659507718942,97.61049999999999,2,2
15,1756743300,1756744873,-1,109018.47,4366.21,108858.78,4354.83,0.14,3.56,-20.550000000000004,-0.0021138517464735712,-0.2113851746473571,1,0.0,-2.39,2.2355832442461487,97.2159,2,2
16,1756746000,1756746709,-1,108799.96,4355.57,108608.58,4343.03,0.12,3.17,-18.9,-0.0019482447242769843,-0.19482447242769846,1,0.0,-2.12,1.9325213132533785,97.0104,2,2
17,1756747800,1756749922,-1,108645.29,4320.85,109058.16,4333.98,0.11,2.94,-8.770000000000003,-0.0009057914882453676,-0.09057914882453676,1,0.0,-1.95,2.673986634220756,96.8214,2,2
18,1756751400,1756759073,-1,109179.08,4344.24,108901.87,4325.39,0.09,2.44,-22.66,-0.0023425135190734974,-0.23425135190734975,1,0.0,-1.6099999999999999,1.9684313530874966,96.73370000000001,2,2
19,1756760400,1756760610,-1,108908.83,4290.06,108573.59,4267.17,0.08,2.16,-24.049999999999997,-0.002492044626768393,-0.2492044626768393,1,0.0,-1.4300000000000002,2.328361351654181,96.5071,2,2
20,1756761300,1756762865,-1,108390.47,4276.25,107713.8,4254.76,0.08,2.09,7.830000000000005,0.0008133662142425312,0.08133662142425312,1,0.0,-1.4,2.063595156382911,96.2666,2,2
21,1756818000,1756818162,-1,108777.31,4278.1,109077.04,4293.24,0.17,4.5,14.179999999999993,0.0014717956010126113,0.14717956010126113,1,0.0,-2.99,1.7252064380215708,96.3449,2,2
22,1756818900,1756819537,-1,109197.33,4294.61,109461.45,4315.41,0.17,4.45,44.690000000000005,0.004631726445199183,0.46317264451991835,1,0.0,-2.9699999999999998,1.6950292375715519,96.4867,2,2
23,1756822500,1756822582,-1,111090.09,4358.39,110896.35,4345.67,0.16,4.21,-25.37,-0.002617255523368574,-0.26172555233685735,1,0.0,-2.8099999999999996,2.073027257224048,96.93360000000001,2,2
24,1756823400,1756823790,-1,111486.63,4371.95,111786.2,4375.0,0.15,4.0200000000000005,-35.35,-0.003656396003719491,-0.3656396003719491,1,0.0,-2.67,1.9082693436805864,96.6799,2,2
