basket,entry_time,exit_time,side,entry_a,entry_b,exit_a,exit_b,lots_a,lots_b,net,return_fraction,R,reason,swap,fees,entry_adaptive_RR,risk_usd,entry_fills,exit_fills
1,1756778400,1756779240,-1,3498.006,40.695,3494.905,40.601,0.05,0.09,-31.36,-0.003136,-0.3136,1,0.0,-4.5600000000000005,0.96490113582316,100.0,2,2
2,1756780200,1756796624,-1,3493.071,40.671,3486.329,40.757,0.05,0.09,67.85,0.006806344696969697,0.6806344696969697,4,0.0,-4.5600000000000005,0.8513570451703832,99.68639999999999,2,2
3,1756801800,1756802972,-1,3476.938,40.407,3479.708,40.306,0.05,0.09,-63.86000000000001,-0.006362782207724016,-0.6362782207724016,1,0.0,-4.5600000000000005,0.988382742762263,100.36489999999999,2,2
4,1756803600,1756813879,-1,3477.438,40.249,3487.014,40.579,0.05,0.09,96.06,0.009632363779664943,0.9632363779664944,1,0.0,-4.5600000000000005,1.7890785492018422,99.7263,2,2
5,1756816200,1756816781,-1,3483.476,40.391,3475.598,40.275,0.05,0.09,-17.370000000000005,-0.0017251499450276057,-0.17251499450276056,1,0.0,-4.5600000000000005,1.155493578264894,100.68690000000001,2,2
6,1756819800,1756819886,-1,3487.653,40.351,3482.73,40.224,0.05,0.09,-37.09,-0.00369006259874325,-0.369006259874325,1,0.0,-4.5600000000000005,1.4273182713222827,100.5132,2,2
7,1756820700,1756822125,-1,3489.15,40.381,3498.6,40.565,0.05,0.09,30.989999999999995,0.003094596389337972,0.3094596389337972,1,0.0,-4.5600000000000005,1.2603672889155682,100.14229999999999,2,2
8,1756833300,1756840609,-1,3527.337,40.774,3536.68,40.926,0.05,0.09,17.130000000000003,0.0017052886845683821,0.1705288684568382,1,0.0,-4.5600000000000005,1.1879285842068084,100.45219999999999,2,2
9,1756860300,1756861681,-1,3540.54,40.843,3536.422,40.735,0.05,0.09,-32.57000000000001,-0.003236818437045025,-0.3236818437045025,1,0.0,-4.5600000000000005,1.0501255656088149,100.6235,2,2
10,1756863000,1756866722,-1,3537.784,40.816,3539.298,40.7,0.05,0.09,-64.33000000000001,-0.006413899407564275,-0.6413899407564274,1,0.0,-4.5600000000000005,0.9415606842168945,100.29780000000001,2,2
11,1756867500,1756870061,-1,3538.142,40.742,3530.107,40.644,0.05,0.09,-8.490000000000002,-0.0008519434646704365,-0.08519434646704364,1,0.0,-4.5600000000000005,1.1571012604261643,99.65450000000001,2,2
12,1756909800,1756911206,1,3563.129,41.403,3558.284,41.044,0.05,0.09,132.76000000000002,0.013333386897205576,1.3333386897205575,4,0.0,-4.5600000000000005,1.3469160904575903,99.5696,2,2
13,1756915200,1756920673,1,3564.096,41.272,3572.673,41.371,0.05,0.09,-6.219999999999999,-0.0006164690397751374,-0.06164690397751374,1,0.0,-4.5600000000000005,0.6982237890075526,100.8972,2,2
14,1756952100,1756955020,-1,3543.253,40.729,3527.015,40.629,0.05,0.09,31.629999999999995,0.0031368076560718,0.31368076560718,1,0.0,-4.5600000000000005,0.8944651118557558,100.835,2,2
15,1756993500,1756993539,-1,3550.984,40.777,3547.055,40.695,0.05,0.09,-21.82,-0.0021571645643704038,-0.21571645643704038,1,0.0,-4.5600000000000005,0.9496741593546394,101.15129999999999,2,2
16,1756994400,1756994549,-1,3545.103,40.612,3540.633,40.528,0.05,0.09,-20.009999999999998,-0.0019825012805511767,-0.19825012805511769,1,0.0,-4.5600000000000005,1.5182260393083817,100.9331,2,2
17,1756995300,1756995516,-1,3545.08,40.585,3540.286,40.474,0.05,0.09,-30.540000000000006,-0.0030317770740472347,-0.3031777074047235,1,0.0,-4.5600000000000005,1.6599269688232225,100.73299999999999,2,2
18,1756996200,1757000741,-1,3541.8,40.548,3551.219,40.753,0.05,0.09,40.589999999999996,0.004041717615476223,0.40417176154762235,1,0.0,-4.5600000000000005,1.6071898297343044,100.4276,2,2
19,1757001600,1757007199,-1,3552.943,40.747,3548.012,40.644,0.05,0.09,-26.250000000000004,-0.002603301482146311,-0.2603301482146311,1,0.0,-4.5600000000000005,1.189361676726159,100.8335,2,2
20,1757007900,1757008677,-1,3546.59,40.599,3543.017,40.493,0.05,0.09,-34.400000000000006,-0.003420469121317279,-0.3420469121317279,1,0.0,-4.5600000000000005,1.4003991323755025,100.571,2,2
21,1757010600,1757030470,-1,3545.762,40.552,3555.03,40.748,0.05,0.09,37.3,0.003721552076785696,0.3721552076785696,1,0.0,-4.5600000000000005,1.5135072475706182,100.227,2,2
22,1757053800,1757069713,1,3551.673,40.892,3552.834,40.76,0.05,0.09,60.64,0.006027833001988072,0.6027833001988072,4,0.0,-4.5600000000000005,0.7497352664163851,100.6,2,2
23,1757075400,1757075432,-1,3555.052,40.672,3564.485,40.881,0.05,0.09,42.31999999999999,0.004181553735732127,0.41815537357321275,1,0.0,-4.5600000000000005,0.784503282300142,101.20639999999999,2,2
24,1757077200,1757080110,1,3580.05,41.256,3592.201,41.377,0.05,0.09,1.749999999999993,0.000172193927753331,0.0172193927753331,1,0.0,-4.5600000000000005,0.7584560301374242,101.6296,2,2
25,1757082600,1757083167,-1,3579.939,40.868,3578.443,40.771,0.05,0.09,-40.730000000000004,-0.004007000691608517,-0.40070006916085166,1,0.0,-4.5600000000000005,1.135375300262087,101.6471,2,2
26,1757084400,1757085095,-1,3590.224,40.961,3586.324,40.856,0.05,0.09,-32.31,-0.003191432618397113,-0.31914326183971126,1,0.0,-4.5600000000000005,1.3108848786745517,101.2398,2,2
27,1757086200,1757088497,-1,3589.246,40.998,3598.681,41.063,0.05,0.09,-22.490000000000002,-0.002228570692462199,-0.2228570692462199,1,0.0,-4.5600000000000005,1.1064116909797437,100.9167,2,2
28,1757089800,1757090424,-1,3599.527,41.08,3593.727,40.978,0.05,0.09,-21.46,-0.0021312559711912987,-0.21312559711912987,1,0.0,-4.5600000000000005,1.192067850089839,100.6918,2,2
