slug,timeframe,lookback,fast,slow,rr,return_pct,profit_factor,win_rate,equity_dd_pct,trades,net_profit,commission,swap,score,report
m15-lb20-ema50x200-rr15,M15,20,50,200,1.5,-0.6676000000000001,1.0,43.47,35.42,1102,-66.76,-1152.3700000000033,-1161.0199999999986,-0.018848108413325806,Backtest Reports\Training\m15-lb20-ema50x200-rr15.htm
m30-lb20-ema50x200-rr15,M30,20,50,200,1.5,-0.6676000000000001,1.0,43.47,35.42,1102,-66.76,-1152.3700000000033,-1161.0199999999986,-0.018848108413325806,Backtest Reports\Training\m30-lb20-ema50x200-rr15.htm
m15-lb20-ema50x200-rr10,M15,20,50,200,1.0,-25.9542,0.93,49.71,44.95,1207,-2595.42,-1026.0500000000043,-744.8799999999994,-0.5369834482758621,Backtest Reports\Training\m15-lb20-ema50x200-rr10.htm
m30-lb20-ema50x200-rr10,M30,20,50,200,1.0,-25.9542,0.93,49.71,44.95,1207,-2595.42,-1026.0500000000043,-744.8799999999994,-0.5369834482758621,Backtest Reports\Training\m30-lb20-ema50x200-rr10.htm
m15-lb20-ema20x50-rr15,M15,20,20,50,1.5,-34.4617,0.92,41.93,49.73,1214,-3446.17,-1019.0500000000037,-915.8399999999995,-0.6375379851196461,Backtest Reports\Training\m15-lb20-ema20x50-rr15.htm
m30-lb20-ema20x50-rr15,M30,20,20,50,1.5,-34.4617,0.92,41.93,49.73,1214,-3446.17,-1019.0500000000037,-915.8399999999995,-0.6375379851196461,Backtest Reports\Training\m30-lb20-ema20x50-rr15.htm
m15-lb20-ema20x50-rr20,M15,20,20,50,2.0,-50.6268,0.86,37.23,60.23,1155,-5062.68,-856.1700000000025,-741.6399999999999,-0.7228797609164869,Backtest Reports\Training\m15-lb20-ema20x50-rr20.htm
m30-lb20-ema20x50-rr20,M30,20,20,50,2.0,-50.6268,0.86,37.23,60.23,1155,-5062.68,-856.1700000000025,-741.6399999999999,-0.7228797609164869,Backtest Reports\Training\m30-lb20-ema20x50-rr20.htm
m15-lb20-ema20x50-rr10,M15,20,20,50,1.0,-45.660000000000004,0.88,48.84,54.93,1333,-4566.0,-1018.4300000000027,-699.9799999999999,-0.7314909885308576,Backtest Reports\Training\m15-lb20-ema20x50-rr10.htm
m30-lb20-ema20x50-rr10,M30,20,20,50,1.0,-45.660000000000004,0.88,48.84,54.93,1333,-4566.0,-1018.4300000000027,-699.9799999999999,-0.7314909885308576,Backtest Reports\Training\m30-lb20-ema20x50-rr10.htm
m15-lb20-ema50x200-rr20,M15,20,50,200,2.0,-37.6802,0.91,37.75,45.72,1049,-3768.02,-909.160000000004,-883.2499999999993,-0.7499777340332457,Backtest Reports\Training\m15-lb20-ema50x200-rr20.htm
m30-lb20-ema50x200-rr20,M30,20,50,200,2.0,-37.6802,0.91,37.75,45.72,1049,-3768.02,-909.160000000004,-883.2499999999993,-0.7499777340332457,Backtest Reports\Training\m30-lb20-ema50x200-rr20.htm
m15-lb8-ema20x50-rr15,M15,8,20,50,1.5,-47.138000000000005,0.92,41.64,55.9,1837,-4713.8,-1519.2000000000064,-1327.4299999999985,-0.7757953488372095,Backtest Reports\Training\m15-lb8-ema20x50-rr15.htm
m30-lb8-ema20x50-rr15,M30,8,20,50,1.5,-47.138000000000005,0.92,41.64,55.9,1837,-4713.8,-1519.2000000000064,-1327.4299999999985,-0.7757953488372095,Backtest Reports\Training\m30-lb8-ema20x50-rr15.htm
m15-lb8-ema50x200-rr20,M15,8,50,200,2.0,-56.484100000000005,0.88,36.63,63.93,1586,-5648.41,-1141.6000000000065,-1071.6399999999992,-0.777506773033005,Backtest Reports\Training\m15-lb8-ema50x200-rr20.htm
m30-lb8-ema50x200-rr20,M30,8,50,200,2.0,-56.484100000000005,0.88,36.63,63.93,1586,-5648.41,-1141.6000000000065,-1071.6399999999992,-0.777506773033005,Backtest Reports\Training\m30-lb8-ema50x200-rr20.htm
m15-lb8-ema20x50-rr20,M15,8,20,50,2.0,-54.6424,0.9,36.91,62.9,1723,-5464.24,-1262.1500000000076,-1131.2199999999991,-0.7818467408585057,Backtest Reports\Training\m15-lb8-ema20x50-rr20.htm
