label,symbol,variant,return_pct,profit_factor,win_rate_pct,realized_balance_dd_pct,trades,final,net,gross_profit,gross_loss,wins,losses,history_quality
LTA Volume Profile,XAUUSD,base,86.6545,1.3905,32.377,11.7875,244,18665.45,8665.45,30853.53,-22188.08,79,165,Saved net MT5 trades
DmC,XAUUSD,filtered-native,67.3719,1.7,50.62,8.63,160,16737.19,6737.19,16380.36,-9643.17,81,79,99%
News Pulse,XAUUSD,base,62.5123,45.7155,84.2105,1.0184,19,16251.23,6251.23,6391.03,-139.8,16,3,Saved net MT5 trades
Nasdaq 5M Candle Momentum,USTEC,base-native,32.1464,1.18,40.75,11.84,265,13214.64,3214.64,20687.8,-17473.16,108,157,100%
Asia Breakout,XAUUSD,filtered-native,31.956599999999995,1.75,44.12,5.88,68,13195.66,3195.66,7432.51,-4236.85,30,38,99%
EMA3,XAUUSD,base,16.9365,2.2969,64.1026,2.6343,39,11693.65,1693.65,2999.58,-1305.93,25,14,Saved net MT5 trades
XAU Weakness,XAUUSD,filtered-native,15.2621,1.12,37.44,8.89,195,11526.21,1526.21,13893.72,-12367.51,73,122,99%
BTC Top Down FVG Liquidity,BTCUSD,base,12.7417,1.9347,50.0,2.0546,26,11274.17,1274.17,2637.36,-1363.19,13,13,Saved net MT5 trades
ETH Top Down FVG Liquidity,ETHUSD,base,11.4594,1.7062,40.0,4.4321,25,11145.94,1145.94,2768.62,-1622.68,10,15,Saved net MT5 trades
ORB Volume Profile,XAUUSD,base,9.6976,1.6709,38.7755,5.3228,49,10969.76,969.76,2415.29,-1445.53,19,30,Saved net MT5 trades
US100 Fabio ORB 1R,USTEC,base,9.0831,1.2026,59.0062,7.7158,161,10908.31,908.31,5391.17,-4482.86,95,66,Saved net MT5 trades
Nasdaq Overnight,USTEC,base,7.7632,1.8095,58.3333,1.7783,72,10776.32,776.32,1735.34,-959.02,42,30,Saved net MT5 trades
XAU Markov Regime,XAUUSD,standalone,5.9963,5.4977,70.0,1.8537,10,10599.63,599.63,732.94,-133.32,7,3,GC=F daily proxy; conservative costs
