symbol,timeframe,status,history_quality_pct,initial_balance,final_balance,net_profit,return_pct,profit_factor,win_rate,trades,equity_dd_pct,equity_dd_amount,gross_profit,gross_loss,long_trades,long_win_rate,short_trades,short_win_rate,largest_win,largest_loss,average_win,average_loss,commission,swap,report,graph
XAUUSD,H1,valid,99.0,10000.0,11311.49,1311.49,13.114899999999999,1.31,48.04,179,5.08,572.82,5601.79,-4290.3,104,50.0,75,45.33,82.82,-84.05,65.14,-45.86,-25.429999999999982,-43.79999999999999,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Sweep Engulf Continuation Research 2026-08-20\Backtest Reports\MT5 Exness Live 1Y\xauusd.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Sweep Engulf Continuation Research 2026-08-20\Backtest Reports\MT5 Exness Live 1Y\xauusd.png
XAGUSD,H1,valid,99.0,10000.0,10018.23,18.23,0.1823,1.01,43.07,137,5.34,534.12,3434.75,-3416.52,93,41.94,44,45.45,74.7,-100.41,58.22,-41.96,-143.92000000000016,-23.10000000000001,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Sweep Engulf Continuation Research 2026-08-20\Backtest Reports\MT5 Exness Live 1Y\xagusd.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Sweep Engulf Continuation Research 2026-08-20\Backtest Reports\MT5 Exness Live 1Y\xagusd.png
BTCUSD,H1,valid,100.0,10000.0,10260.42,260.42,2.6042,1.04,41.82,220,9.22,1020.65,6610.48,-6350.06,99,37.37,121,45.45,80.01,-54.68,71.85,-48.89,-91.66000000000007,-28.79,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Sweep Engulf Continuation Research 2026-08-20\Backtest Reports\MT5 Exness Live 1Y\btcusd.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Sweep Engulf Continuation Research 2026-08-20\Backtest Reports\MT5 Exness Live 1Y\btcusd.png
ETHUSD,H1,valid,100.0,10000.0,9529.0,-471.0,-4.71,0.92,39.11,179,10.5,1118.19,5270.1,-5741.1,85,32.94,94,44.68,82.43,-60.02,75.29,-50.66,-219.45000000000002,-13.73,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Sweep Engulf Continuation Research 2026-08-20\Backtest Reports\MT5 Exness Live 1Y\ethusd.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Sweep Engulf Continuation Research 2026-08-20\Backtest Reports\MT5 Exness Live 1Y\ethusd.png
US30,H1,valid,100.0,10000.0,10065.23,65.23,0.6523,1.01,41.08,185,5.61,578.44,5616.32,-5551.09,111,42.34,74,39.19,78.37,-57.76,73.9,-50.4,-57.50999999999999,-89.80000000000003,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Sweep Engulf Continuation Research 2026-08-20\Backtest Reports\MT5 Exness Live 1Y\us30.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Sweep Engulf Continuation Research 2026-08-20\Backtest Reports\MT5 Exness Live 1Y\us30.png
USTEC,H1,valid,100.0,10000.0,9547.78,-452.22,-4.522200000000001,0.92,38.46,195,11.04,1141.13,5441.13,-5893.35,116,42.24,79,32.91,126.66,-58.86,72.55,-48.53,-69.67,-93.99999999999999,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Sweep Engulf Continuation Research 2026-08-20\Backtest Reports\MT5 Exness Live 1Y\ustec.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Sweep Engulf Continuation Research 2026-08-20\Backtest Reports\MT5 Exness Live 1Y\ustec.png
EURUSD,H1,valid,100.0,10000.0,9433.59,-566.41,-5.6640999999999995,0.88,38.06,155,10.18,1048.93,4248.3,-4814.71,72,38.89,83,37.35,76.59,-62.01,72.01,-48.71,-138.64,-72.81,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Sweep Engulf Continuation Research 2026-08-20\Backtest Reports\MT5 Exness Live 1Y\eurusd.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Sweep Engulf Continuation Research 2026-08-20\Backtest Reports\MT5 Exness Live 1Y\eurusd.png
GBPUSD,H1,valid,100.0,10000.0,8586.65,-1413.35,-14.133499999999998,0.63,30.51,118,17.44,1778.44,2387.78,-3801.13,58,34.48,60,26.67,83.12,-50.88,66.33,-45.32,-85.17999999999999,-16.649999999999995,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Sweep Engulf Continuation Research 2026-08-20\Backtest Reports\MT5 Exness Live 1Y\gbpusd.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Sweep Engulf Continuation Research 2026-08-20\Backtest Reports\MT5 Exness Live 1Y\gbpusd.png
USDJPY,H1,valid,100.0,10000.0,9433.79,-566.21,-5.662100000000001,0.89,38.04,163,13.56,1448.51,4682.75,-5248.96,92,41.3,71,33.8,206.84,-92.74,75.53,-50.58,-140.06,-87.36999999999999,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Sweep Engulf Continuation Research 2026-08-20\Backtest Reports\MT5 Exness Live 1Y\usdjpy.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Sweep Engulf Continuation Research 2026-08-20\Backtest Reports\MT5 Exness Live 1Y\usdjpy.png
USDCAD,H1,valid,100.0,10000.0,10332.82,332.82,3.3282,1.06,43.92,189,9.89,1010.36,5953.12,-5620.3,99,44.44,90,43.33,77.12,-64.89,71.72,-49.29,-396.05000000000007,-140.68999999999997,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Sweep Engulf Continuation Research 2026-08-20\Backtest Reports\MT5 Exness Live 1Y\usdcad.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Sweep Engulf Continuation Research 2026-08-20\Backtest Reports\MT5 Exness Live 1Y\usdcad.png
