strategy,case,symbol,period,history_quality_pct,bars,ticks,initial_balance,final_balance,net_profit,return_pct,gross_profit,gross_loss,profit_factor,equity_dd_amount,equity_dd_pct,balance_dd_amount,balance_dd_pct,trades,wins,losses,win_rate,long_trades,long_win_rate,short_trades,short_win_rate,largest_win,largest_loss,average_win,average_loss,expected_payoff,recovery_factor,sharpe_ratio,commission,swap,score,status,report,graph
09:30 1M ORB,s2-entry1-rv08-range002-rr2,USTEC,M1 (2020.01.01 - 2024.12.31),98.0,1688580,6750720,10000.0,10252.52,252.52,2.5252,1009.14,-756.62,1.33,407.13,3.82,323.99,3.06,16,9,7,56.25,11,54.55,5,60.0,207.33,-105.61,112.13,-102.62,15.78,0.62,13.52,-38.29,0.0,0.09520000000000106,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Three Influencer Strategies Research 2026-08-20\Backtest Reports\Training\s2-entry1-rv08-range002-rr2.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Three Influencer Strategies Research 2026-08-20\Backtest Reports\Training\s2-entry1-rv08-range002-rr2.png
09:30 1M ORB,s2-entry1-rv08-range005-rr2,USTEC,M1 (2020.01.01 - 2024.12.31),98.0,1688580,6750720,10000.0,10252.52,252.52,2.5252,1009.14,-756.62,1.33,407.13,3.82,323.99,3.06,16,9,7,56.25,11,54.55,5,60.0,207.33,-105.61,112.13,-102.62,15.78,0.62,13.52,-38.29,0.0,0.09520000000000106,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Three Influencer Strategies Research 2026-08-20\Backtest Reports\Training\s2-entry1-rv08-range005-rr2.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Three Influencer Strategies Research 2026-08-20\Backtest Reports\Training\s2-entry1-rv08-range005-rr2.png
09:30 1M ORB,s2-entry1-rv08-range002-rr15,USTEC,M1 (2020.01.01 - 2024.12.31),98.0,1688580,6750720,10000.0,10003.44,3.44,0.0344,749.19,-745.75,1.0,397.37,3.82,316.22,3.06,16,9,7,56.25,11,54.55,5,60.0,152.42,-103.08,83.24,-101.14,0.21,0.01,0.2,-37.75,0.0,-5.6956,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Three Influencer Strategies Research 2026-08-20\Backtest Reports\Training\s2-entry1-rv08-range002-rr15.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Three Influencer Strategies Research 2026-08-20\Backtest Reports\Training\s2-entry1-rv08-range002-rr15.png
09:30 1M ORB,s2-entry1-rv08-range005-rr15,USTEC,M1 (2020.01.01 - 2024.12.31),98.0,1688580,6750720,10000.0,10003.44,3.44,0.0344,749.19,-745.75,1.0,397.37,3.82,316.22,3.06,16,9,7,56.25,11,54.55,5,60.0,152.42,-103.08,83.24,-101.14,0.21,0.01,0.2,-37.75,0.0,-5.6956,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Three Influencer Strategies Research 2026-08-20\Backtest Reports\Training\s2-entry1-rv08-range005-rr15.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Three Influencer Strategies Research 2026-08-20\Backtest Reports\Training\s2-entry1-rv08-range005-rr15.png
09:30 1M ORB,s2-entry0-rv11-range002-rr2,USTEC,M1 (2020.01.01 - 2024.12.31),98.0,1688580,6750720,10000.0,10280.36,280.36,2.8036000000000003,2636.73,-2356.37,1.12,797.8,7.48,631.23,5.96,41,19,22,46.34,22,45.45,19,47.37,207.68,-105.85,138.78,-103.11,6.84,0.35,10.08,-88.03000000000002,0.0,-7.216399999999998,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Three Influencer Strategies Research 2026-08-20\Backtest Reports\Training\s2-entry0-rv11-range002-rr2.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Three Influencer Strategies Research 2026-08-20\Backtest Reports\Training\s2-entry0-rv11-range002-rr2.png
09:30 1M ORB,s2-entry0-rv11-range005-rr2,USTEC,M1 (2020.01.01 - 2024.12.31),98.0,1688580,6750720,10000.0,10280.36,280.36,2.8036000000000003,2636.73,-2356.37,1.12,797.8,7.48,631.23,5.96,41,19,22,46.34,22,45.45,19,47.37,207.68,-105.85,138.78,-103.11,6.84,0.35,10.08,-88.03000000000002,0.0,-7.216399999999998,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Three Influencer Strategies Research 2026-08-20\Backtest Reports\Training\s2-entry0-rv11-range005-rr2.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Three Influencer Strategies Research 2026-08-20\Backtest Reports\Training\s2-entry0-rv11-range005-rr2.png
09:30 1M ORB,s2-entry0-rv11-range002-rr15,USTEC,M1 (2020.01.01 - 2024.12.31),98.0,1688580,6750720,10000.0,9937.7,-62.3,-0.623,2252.33,-2314.63,0.97,633.68,6.08,469.98,4.55,41,19,22,46.34,22,45.45,19,47.37,152.58,-103.02,118.54,-101.27,-1.52,-0.1,-2.84,-86.59,0.0,-10.043000000000001,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Three Influencer Strategies Research 2026-08-20\Backtest Reports\Training\s2-entry0-rv11-range002-rr15.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Three Influencer Strategies Research 2026-08-20\Backtest Reports\Training\s2-entry0-rv11-range002-rr15.png
09:30 1M ORB,s2-entry0-rv11-range005-rr15,USTEC,M1 (2020.01.01 - 2024.12.31),98.0,1688580,6750720,10000.0,9937.7,-62.3,-0.623,2252.33,-2314.63,0.97,633.68,6.08,469.98,4.55,41,19,22,46.34,22,45.45,19,47.37,152.58,-103.02,118.54,-101.27,-1.52,-0.1,-2.84,-86.59,0.0,-10.043000000000001,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Three Influencer Strategies Research 2026-08-20\Backtest Reports\Training\s2-entry0-rv11-range005-rr15.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Three Influencer Strategies Research 2026-08-20\Backtest Reports\Training\s2-entry0-rv11-range005-rr15.png
09:30 1M ORB,s2-entry1-rv11-range002-rr2,USTEC,M1 (2020.01.01 - 2024.12.31),98.0,1688580,6750720,10000.0,9887.06,-112.94,-1.1294,199.96,-312.9,0.64,390.21,3.8,310.06,3.04,5,2,3,40.0,3,66.67,2,0.0,199.96,-101.82,99.98,-100.78,-22.59,-0.29,-2.31,-10.549999999999999,0.0,-10.4294,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Three Influencer Strategies Research 2026-08-20\Backtest Reports\Training\s2-entry1-rv11-range002-rr2.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Three Influencer Strategies Research 2026-08-20\Backtest Reports\Training\s2-entry1-rv11-range002-rr2.png
09:30 1M ORB,s2-entry1-rv11-range005-rr2,USTEC,M1 (2020.01.01 - 2024.12.31),98.0,1688580,6750720,10000.0,9887.06,-112.94,-1.1294,199.96,-312.9,0.64,390.21,3.8,310.06,3.04,5,2,3,40.0,3,66.67,2,0.0,199.96,-101.82,99.98,-100.78,-22.59,-0.29,-2.31,-10.549999999999999,0.0,-10.4294,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Three Influencer Strategies Research 2026-08-20\Backtest Reports\Training\s2-entry1-rv11-range005-rr2.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Three Influencer Strategies Research 2026-08-20\Backtest Reports\Training\s2-entry1-rv11-range005-rr2.png
