symbol,timeframe,variant,return_pct,profit_factor,win_rate_pct,equity_dd_pct,trades,sharpe,recovery_factor,score,history_quality,commission,swap,path
ethusd,h4,longonly,-9.8389,0.82,36.05,14.24,86,-1.26,-0.67,-22.9489,100%,-69.07000000000001,-62.76,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Trend Progression Research 2026-09-02\Backtest Reports\extension-screen\ethusd--h4--longonly--screen.htm
ethusd,h1,longonly,-36.706300000000006,0.81,35.56,43.03,315,-2.7,-0.77,-72.2288,100%,-621.33,-152.19,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Trend Progression Research 2026-09-02\Backtest Reports\extension-screen\ethusd--h1--longonly--screen.htm
ethusd,m15,longonly,-78.5116,0.8,37.35,80.09,1296,-4.2,-0.96,-142.6791,100%,-2700.69,-325.9,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Trend Progression Research 2026-09-02\Backtest Reports\extension-screen\ethusd--m15--longonly--screen.htm
eurusd,h4,longonly,-3.873,0.9,39.06,8.96,64,-0.6,-0.41,-11.893,100%,-48.06,-221.65,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Trend Progression Research 2026-09-02\Backtest Reports\extension-screen\eurusd--h4--longonly--screen.htm
eurusd,h1,longonly,-34.6403,0.72,34.25,36.53,219,-3.71,-0.92,-66.6928,100%,-293.78,-345.0,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Trend Progression Research 2026-09-02\Backtest Reports\extension-screen\eurusd--h1--longonly--screen.htm
eurusd,m15,longonly,-84.16120000000001,0.65,33.33,84.18,789,-5.0,-1.0,-153.2962,100%,-1082.78,-672.91,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Trend Progression Research 2026-09-02\Backtest Reports\extension-screen\eurusd--m15--longonly--screen.htm
gbpjpy,h4,longonly,2.8116000000000003,1.08,42.62,6.39,61,0.48,0.43,-0.9408999999999985,100%,-49.0,0.0,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Trend Progression Research 2026-09-02\Backtest Reports\extension-screen\gbpjpy--h4--longonly--screen.htm
gbpjpy,h1,longonly,-18.3169,0.85,37.2,18.78,207,-1.63,-0.97,-34.716899999999995,100%,-329.55,0.0,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Trend Progression Research 2026-09-02\Backtest Reports\extension-screen\gbpjpy--h1--longonly--screen.htm
gbpjpy,m15,longonly,-75.6911,0.77,35.41,75.83,833,-5.0,-0.99,-137.36360000000002,100%,-1659.66,0.0,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Trend Progression Research 2026-09-02\Backtest Reports\extension-screen\gbpjpy--m15--longonly--screen.htm
gbpusd,h4,longonly,0.22,1.01,40.3,8.56,67,0.03,0.02,-6.085,100%,-47.07,-36.660000000000004,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Trend Progression Research 2026-09-02\Backtest Reports\extension-screen\gbpusd--h4--longonly--screen.htm
gbpusd,h1,longonly,0.8916999999999999,1.01,41.46,13.7,205,0.07,0.06,-9.248299999999999,100%,-332.3,-79.81,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Trend Progression Research 2026-09-02\Backtest Reports\extension-screen\gbpusd--h1--longonly--screen.htm
gbpusd,m15,longonly,-79.7684,0.72,34.7,80.01,853,-5.0,-0.98,-145.0759,100%,-1297.6,-125.0,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Trend Progression Research 2026-09-02\Backtest Reports\extension-screen\gbpusd--m15--longonly--screen.htm
usdjpy,h4,longonly,-2.4802,0.94,39.06,7.33,64,-0.38,-0.32,-8.7677,100%,-38.29,0.0,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Trend Progression Research 2026-09-02\Backtest Reports\extension-screen\usdjpy--h4--longonly--screen.htm
usdjpy,h1,longonly,-21.040300000000002,0.84,36.36,28.6,231,-1.69,-0.72,-44.935300000000005,100%,-267.06,0.0,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Trend Progression Research 2026-09-02\Backtest Reports\extension-screen\usdjpy--h1--longonly--screen.htm
usdjpy,m15,longonly,-55.533100000000005,0.87,38.33,60.33,848,-2.79,-0.82,-103.4756,100%,-1950.59,0.0,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Trend Progression Research 2026-09-02\Backtest Reports\extension-screen\usdjpy--m15--longonly--screen.htm
xagusd,h4,longonly,-15.0324,0.61,32.31,16.84,65,-2.68,-0.88,-32.9024,98%,-140.3,-214.84,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Trend Progression Research 2026-09-02\Backtest Reports\extension-screen\xagusd--h4--longonly--screen.htm
xagusd,h1,longonly,-17.738699999999998,0.84,39.0,20.83,200,-1.84,-0.84,-35.8812,98%,-836.04,-398.83,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Trend Progression Research 2026-09-02\Backtest Reports\extension-screen\xagusd--h1--longonly--screen.htm
xagusd,m15,longonly,-91.5709,0.53,29.83,91.81,751,-5.0,-0.98,-167.6284,98%,-2356.3,-527.94,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Trend Progression Research 2026-09-02\Backtest Reports\extension-screen\xagusd--m15--longonly--screen.htm
