symbol,timeframe,variant,return_pct,profit_factor,win_rate_pct,equity_dd_pct,trades,sharpe,recovery_factor,score,history_quality,commission,swap,path
ethusd,h4,all,1.8925999999999998,1.04,35.14,8.11,74,0.2,0.22,-3.6898999999999993,100%,-63.63,-78.36,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Trend Progression Research 2026-09-02\Backtest Reports\extension-session\ethusd--h4--all--session.htm
ethusd,h4,newyork,1.4252,1.04,35.09,9.52,57,0.22,0.14,-5.204799999999999,100%,-45.160000000000004,-58.73,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Trend Progression Research 2026-09-02\Backtest Reports\extension-session\ethusd--h4--newyork--session.htm
ethusd,h4,london,-1.2645,0.96,33.33,10.71,45,-0.24,-0.11,-9.817,100%,-31.74,-52.38,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Trend Progression Research 2026-09-02\Backtest Reports\extension-session\ethusd--h4--london--session.htm
ethusd,h4,asia,-3.0197000000000003,0.9,31.71,11.33,41,-0.59,-0.25,-12.8122,100%,-36.17,-32.36,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Trend Progression Research 2026-09-02\Backtest Reports\extension-session\ethusd--h4--asia--session.htm
ethusd,h4,overlap,-2.7225,0.88,31.25,10.8,32,-0.76,-0.24,-13.302500000000002,100%,-20.0,-31.63,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Trend Progression Research 2026-09-02\Backtest Reports\extension-session\ethusd--h4--overlap--session.htm
eurusd,h4,all,10.7846,1.25,43.37,8.77,83,1.54,1.04,7.4771,100%,-97.0,-193.15,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Trend Progression Research 2026-09-02\Backtest Reports\extension-session\eurusd--h4--all--session.htm
eurusd,h4,asia,5.5139000000000005,1.26,42.11,9.53,38,2.12,0.5,2.026400000000002,100%,-56.95,-49.43,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Trend Progression Research 2026-09-02\Backtest Reports\extension-session\eurusd--h4--asia--session.htm
eurusd,h4,london,0.5428999999999999,1.02,36.73,8.62,49,0.13,0.06,-5.657099999999999,100%,-41.87,-129.37,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Trend Progression Research 2026-09-02\Backtest Reports\extension-session\eurusd--h4--london--session.htm
eurusd,h4,newyork,0.4177,1.02,37.25,8.71,51,0.1,0.05,-5.864800000000001,100%,-50.63,-134.69,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Trend Progression Research 2026-09-02\Backtest Reports\extension-session\eurusd--h4--newyork--session.htm
eurusd,h4,overlap,-1.4905000000000002,0.91,34.38,6.07,32,-0.56,-0.23,-8.123,100%,-23.28,-96.28999999999999,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Trend Progression Research 2026-09-02\Backtest Reports\extension-session\eurusd--h4--overlap--session.htm
