symbol,timeframe,variant,return_pct,profit_factor,win_rate_pct,equity_dd_pct,trades,sharpe,recovery_factor,score,history_quality,commission,swap,path
btcusd,h4,be100,29.833399999999997,2.26,46.67,6.52,60,1.87,4.33,38.47839999999999,100%,-32.3,-197.36,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Trend Progression Research 2026-09-02\Backtest Reports\trailing\btcusd--h4--be100--trailing.htm
btcusd,h4,be075,27.660200000000003,2.23,53.03,5.02,66,2.12,5.07,37.2552,100%,-31.06,-182.58,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Trend Progression Research 2026-09-02\Backtest Reports\trailing\btcusd--h4--be075--trailing.htm
btcusd,h4,none,28.426099999999998,1.92,34.09,6.24,44,1.56,4.27,33.726099999999995,100%,-21.27,-294.27,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Trend Progression Research 2026-09-02\Backtest Reports\trailing\btcusd--h4--none--trailing.htm
btcusd,h4,dynamic5020,18.528599999999997,1.67,70.97,5.2,93,1.87,3.16,22.263599999999993,100%,-43.43,-147.57,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Trend Progression Research 2026-09-02\Backtest Reports\trailing\btcusd--h4--dynamic5020--trailing.htm
btcusd,h4,trail100-atr20,18.7113,1.5,48.0,6.92,75,1.4,2.28,19.221300000000003,100%,-37.59,-165.39,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Trend Progression Research 2026-09-02\Backtest Reports\trailing\btcusd--h4--trail100-atr20--trailing.htm
btcusd,h4,dynamic5020-trail,15.592899999999998,1.45,67.31,5.72,104,1.78,2.64,16.6929,100%,-48.52,-123.08,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Trend Progression Research 2026-09-02\Backtest Reports\trailing\btcusd--h4--dynamic5020-trail--trailing.htm
btcusd,h4,trail075-atr15,7.938200000000001,1.21,47.06,8.03,85,0.82,0.92,4.425700000000001,100%,-37.82,-135.72,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Trend Progression Research 2026-09-02\Backtest Reports\trailing\btcusd--h4--trail075-atr15--trailing.htm
ustec,h4,none,29.341100000000004,1.79,42.0,6.78,50,2.54,3.84,33.426100000000005,98%,-29.2,-785.52,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Trend Progression Research 2026-09-02\Backtest Reports\trailing\ustec--h4--none--trailing.htm
ustec,h4,dynamic5020,19.764200000000002,1.73,68.0,6.26,75,2.68,2.73,23.709200000000003,98%,-38.8,-503.56,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Trend Progression Research 2026-09-02\Backtest Reports\trailing\ustec--h4--dynamic5020--trailing.htm
ustec,h4,dynamic5020-trail,13.8079,1.48,67.9,5.85,81,2.15,2.09,15.2954,98%,-39.9,-456.88,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Trend Progression Research 2026-09-02\Backtest Reports\trailing\ustec--h4--dynamic5020-trail--trailing.htm
ustec,h4,be075,12.183800000000002,1.4,46.38,7.72,69,1.46,1.38,11.123800000000003,98%,-35.95,-620.32,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Trend Progression Research 2026-09-02\Backtest Reports\trailing\ustec--h4--be075--trailing.htm
ustec,h4,be100,7.3034,1.21,40.3,10.67,67,0.86,0.6,1.8309,98%,-34.7,-623.39,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Trend Progression Research 2026-09-02\Backtest Reports\trailing\ustec--h4--be100--trailing.htm
ustec,h4,trail100-atr20,4.7422,1.12,43.06,8.91,72,0.61,0.48,-0.43529999999999863,98%,-34.8,-556.11,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Trend Progression Research 2026-09-02\Backtest Reports\trailing\ustec--h4--trail100-atr20--trailing.htm
ustec,h4,trail075-atr15,-0.013200000000000002,1.0,51.95,7.83,77,0.0,0.0,-5.885700000000001,98%,-34.82,-425.46,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Trend Progression Research 2026-09-02\Backtest Reports\trailing\ustec--h4--trail075-atr15--trailing.htm
xauusd,h4,be100,40.6708,2.41,48.48,6.02,66,3.75,5.06,52.1308,98%,-27.51,-548.9300000000001,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Trend Progression Research 2026-09-02\Backtest Reports\trailing\xauusd--h4--be100--trailing.htm
xauusd,h4,be075,37.167100000000005,2.43,54.41,6.0,68,3.7,4.36,48.8171,98%,-28.64,-544.28,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Trend Progression Research 2026-09-02\Backtest Reports\trailing\xauusd--h4--be075--trailing.htm
xauusd,h4,none,32.2758,1.82,40.35,8.7,57,2.72,2.65,35.3108,98%,-23.01,-595.74,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Trend Progression Research 2026-09-02\Backtest Reports\trailing\xauusd--h4--none--trailing.htm
xauusd,h4,trail100-atr20,27.8526,1.68,48.19,7.35,83,2.88,2.88,30.5801,98%,-32.81,-470.94,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Trend Progression Research 2026-09-02\Backtest Reports\trailing\xauusd--h4--trail100-atr20--trailing.htm
xauusd,h4,dynamic5020,23.3466,1.94,71.43,10.08,84,2.98,1.7,26.676599999999997,98%,-35.6,-469.19,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Trend Progression Research 2026-09-02\Backtest Reports\trailing\xauusd--h4--dynamic5020--trailing.htm
xauusd,h4,dynamic5020-trail,14.240999999999998,1.51,70.71,8.48,99,2.4,1.35,14.180999999999997,98%,-39.42,-339.62,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Trend Progression Research 2026-09-02\Backtest Reports\trailing\xauusd--h4--dynamic5020-trail--trailing.htm
xauusd,h4,trail075-atr15,14.040899999999997,1.4,50.57,6.77,87,1.87,1.8,13.898399999999997,98%,-32.96,-353.95,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Trend Progression Research 2026-09-02\Backtest Reports\trailing\xauusd--h4--trail075-atr15--trailing.htm
