signal_time,entry_time,exit_time,direction,net_body_points,entry,initial_stop,target,exit,exit_reason,result_r,year
2022-01-04 17:00:00+00:00,2022-01-04 17:00:00+00:00,2022-01-04 17:05:00+00:00,long,-31.149999999999636,16217.8,16192.8,16280.3,16192.3,stop,-1.02,2022
2022-01-06 17:00:00+00:00,2022-01-06 17:00:00+00:00,2022-01-06 17:09:00+00:00,short,26.25,15848.8,15873.8,15786.3,15849.3,stop,-0.02,2022
2022-01-07 17:00:00+00:00,2022-01-07 17:00:00+00:00,2022-01-07 17:46:00+00:00,short,43.600000000000364,15655.85,15680.85,15593.35,15656.35,stop,-0.02,2022
2022-01-10 17:00:00+00:00,2022-01-10 17:00:00+00:00,2022-01-10 17:09:00+00:00,short,29.849999999998545,15312.3,15337.3,15249.8,15249.8,target,2.5,2022
2022-01-19 17:00:00+00:00,2022-01-19 17:00:00+00:00,2022-01-19 17:01:00+00:00,short,64.55000000000109,15207.35,15232.35,15144.85,15232.85,stop,-1.02,2022
2022-01-20 17:00:00+00:00,2022-01-20 17:00:00+00:00,2022-01-20 17:29:00+00:00,short,40.650000000001455,15296.45,15321.45,15233.95,15296.95,stop,-0.02,2022
2022-01-21 17:00:00+00:00,2022-01-21 17:00:00+00:00,2022-01-21 17:03:00+00:00,long,-33.25,14711.8,14686.8,14774.3,14711.3,stop,-0.02,2022
2022-01-24 17:00:00+00:00,2022-01-24 17:00:00+00:00,2022-01-24 17:04:00+00:00,short,26.25,13944.7,13969.7,13882.2,13882.2,target,2.5,2022
2022-01-25 17:00:00+00:00,2022-01-25 17:00:00+00:00,2022-01-25 17:05:00+00:00,long,-25.5,14047.099999999999,14022.099999999999,14109.599999999999,14109.599999999999,target,2.5,2022
2022-01-27 17:00:00+00:00,2022-01-27 17:00:00+00:00,2022-01-27 17:00:00+00:00,long,-27.0,14309.449999999999,14284.449999999999,14371.949999999999,14283.949999999999,stop,-1.02,2022
2022-01-28 17:00:00+00:00,2022-01-28 17:00:00+00:00,2022-01-28 17:18:00+00:00,short,84.5,14297.5,14322.5,14235.0,14298.0,stop,-0.02,2022
2022-01-31 17:00:00+00:00,2022-01-31 17:00:00+00:00,2022-01-31 17:49:00+00:00,short,53.5,14785.55,14810.55,14723.05,14786.05,stop,-0.02,2022
2022-02-01 17:00:00+00:00,2022-02-01 17:00:00+00:00,2022-02-01 17:33:00+00:00,short,28.25,14937.15,14962.15,14874.65,14874.65,target,2.5,2022
