stage,variant,return_pct,profit_factor,win_rate_pct,max_equity_dd_pct,trades,commission,history_quality_pct
Development,Current BAT EA,138.0709,1.1,38.27,29.04,1398,-2753.0800000000027,98.0
Development,"Current entry, long only",134.55620000000002,1.2,42.05,16.6,711,-1417.5500000000004,98.0
Development,Current entry + screenshot H1 gate,61.5784,1.37,45.59,12.05,261,-448.12000000000006,98.0
Development,Literal screenshot H1 strategy,48.3793,1.11,38.47,25.35,1318,-1122.2900000000002,98.0
Locked,Current BAT EA,50.83689999999999,1.17,41.47,17.18,422,-353.34999999999997,100.0
Locked,"Current entry, long only",19.423800000000004,1.15,43.07,13.01,202,-155.9299999999999,100.0
Locked,Current entry + screenshot H1 gate,-1.6676,0.96,41.56,14.96,77,-56.37999999999998,100.0
Locked,Literal screenshot H1 strategy,-5.9583,0.95,39.36,26.39,404,-179.38000000000008,100.0
Last year,Current BAT EA,33.085300000000004,1.19,41.02,13.4,256,-188.33999999999992,100.0
Last year,"Current entry, long only",-1.1839,0.98,38.71,12.96,124,-76.49000000000004,100.0
Last year,Current entry + screenshot H1 gate,2.9907,1.12,42.0,6.66,50,-36.24,100.0
Last year,Literal screenshot H1 strategy,-0.07529999999999999,1.0,40.82,23.89,245,-104.86000000000003,100.0
