entry_time_utc,exit_time_utc,direction,poc,vah,val,entry,initial_stop,target,exit_reason,r_multiple,balance
2022-02-09 19:00:00+00:00,2022-02-10 19:05:00+00:00,long,43548.8515625,43854.734375,43381.109375,44226.25,43156.06428571429,47436.807142857135,time,0.6012975051059244,10060.129750510592
2022-03-17 20:00:00+00:00,2022-03-18 20:05:00+00:00,long,39937.3203125,40596.96875,39345.328125,40846.25,39278.41428571429,45549.75714285714,time,0.5533105236062457,10115.79350710861
2022-05-31 11:00:00+00:00,2022-06-01 11:07:00+00:00,long,31211.578125,31579.96875,30487.5,31664.25,30460.385714285716,35275.84285714285,time,-0.10009433906289877,10105.668170456704
2022-10-12 16:00:00+00:00,2022-10-13 10:20:00+00:00,long,19038.75,19072.5,18982.5,19159.25,18893.264285714286,19957.207142857143,stop,-1.0328965035716204,10001.287077261506
2022-11-15 22:05:00+00:00,2022-11-16 12:28:00+00:00,long,16675.9609375,16805.578125,16623.5625,16892.25,16581.442857142858,17824.671428571426,stop,-1.0281525061475882,9898.458593529627
2023-01-12 20:00:00+00:00,2023-01-13 20:07:00+00:00,long,17928.6484375,18201.234375,17842.21875,18915.25,17475.592857142856,23234.221428571433,time,0.3004187504961496,9928.195419154688
2023-02-01 14:00:00+00:00,2023-02-01 19:32:00+00:00,long,22898.984375,22987.75,22848.8125,23109.25,22793.185714285715,24057.442857142854,stop,-1.0276842414517844,9826.164919371497
2023-06-16 15:00:00+00:00,2023-06-19 15:36:00+00:00,long,25373.390625,25457.28125,25057.1875,25600.25,24863.042857142857,27811.87142857143,time,1.100776095107984,9934.328993869825
2023-06-22 01:00:00+00:00,2023-06-23 01:06:00+00:00,long,29839.90625,29977.4375,29030.0,30162.25,28746.22857142857,34410.31428571428,time,-0.13735667841991903,9920.683529540538
2023-06-30 00:00:00+00:00,2023-06-30 13:41:00+00:00,long,30148.1796875,30362.984375,30021.5,30476.25,30002.485714285714,31897.542857142857,stop,-1.0184691000648303,9819.644433276946
2023-09-18 08:00:00+00:00,2023-09-19 08:48:00+00:00,long,26461.109375,26602.75,26388.84375,26742.25,26360.60714285714,27887.178571428576,time,0.5489425416432693,9873.548639009308
2023-10-16 13:00:00+00:00,2023-10-17 13:21:00+00:00,long,27206.8984375,27727.75,27023.5,27925.25,27006.914285714287,30680.25714285714,time,0.4546267704776504,9918.436434318377
2023-12-03 22:05:00+00:00,2023-12-04 22:13:00+00:00,long,38380.0859375,38664.65625,38204.5,39788.25,38180.607142857145,44611.178571428565,time,1.5074865597369727,10067.955530501782
2023-12-20 13:00:00+00:00,2023-12-21 13:09:00+00:00,long,42400.0859375,42651.453125,42174.5,43005.25,42149.58571428571,45572.24285714286,time,1.1423872847328291,10182.970574314792
2024-02-12 00:00:00+00:00,2024-02-13 00:09:00+00:00,long,47248.421875,47501.0625,46783.03125,48347.25,46440.171428571426,54068.48571428572,time,0.8497290170829718,10269.498230085766
2024-02-27 19:00:00+00:00,2024-02-28 19:14:00+00:00,long,56432.9296875,56693.75,55887.578125,57188.25,54358.84285714286,65676.47142857141,time,1.3884534114920604,10412.085428604509
2024-05-20 16:00:00+00:00,2024-05-21 00:18:00+00:00,long,66639.3828125,66725.9375,66110.4375,67463.25,65992.27857142857,71876.16428571429,target,2.994051549996115,10723.828633766563
2024-06-05 18:00:00+00:00,2024-06-06 18:14:00+00:00,long,70573.4140625,70830.125,70354.734375,71658.25,70025.35714285714,76556.92857142857,time,-0.4841101463222595,10671.913491276287
2024-06-26 14:00:00+00:00,2024-06-26 17:08:00+00:00,long,61087.59375,61305.5625,60956.8125,61775.25,60874.635714285716,64477.09285714285,stop,-1.0097155909458624,10564.157516902616
2024-07-22 20:00:00+00:00,2024-07-23 20:07:00+00:00,long,66444.03125,67435.4375,64897.4375,68301.25,63339.37857142857,83186.86428571428,time,-0.5059582933858479,10510.707285819504
2024-10-04 19:00:00+00:00,2024-10-07 19:12:00+00:00,long,61742.9140625,61802.015625,61423.765625,62374.25,60404.17857142857,68284.46428571429,time,0.4494760886117257,10557.950401813234
2024-11-05 15:00:00+00:00,2024-11-06 15:06:00+00:00,long,67930.890625,68607.46875,67407.5,69978.25,67366.4,77813.80000000002,time,1.4485900798284708,10710.891823967111
2024-11-12 21:00:00+00:00,2024-11-13 21:05:00+00:00,long,84766.046875,87359.9375,83184.40625,89631.25,81389.02142857143,114357.9357142857,time,-0.1040373962659198,10699.748490996597
2024-11-19 03:00:00+00:00,2024-11-20 03:05:00+00:00,long,89854.21875,90591.0,89523.9375,91331.25,89254.29285714286,97562.12142857141,time,0.13553481397924205,10714.250375210115
2025-03-12 09:00:00+00:00,2025-03-13 09:05:00+00:00,long,81121.88125,81729.525,79942.3375,82416.55,78934.205,92863.585,time,0.20882480052952732,10736.624387184382
2025-04-04 08:00:00+00:00,2025-04-06 21:05:00+00:00,long,81946.653125,82576.46875,81521.89375,84006.45,81437.39714285715,91713.60857142853,stop,-1.0034059244735554,10628.892461994901
2025-04-14 00:00:00+00:00,2025-04-15 00:04:00+00:00,long,82433.83750000001,82994.15000000001,81873.52500000001,83760.84999999999,81201.25321428572,91439.6403571428,time,0.2798096965886573,10658.633133743542
2025-06-17 03:00:00+00:00,2025-06-17 14:41:00+00:00,long,105887.9375,106297.625,104979.5,107547.25,104903.0,115480.0,stop,-1.0033090668431501,10551.694101111145
2025-07-16 21:03:00+00:00,2025-07-17 01:38:00+00:00,long,118399.828125,119014.5,118282.125,120091.25,118102.05714285714,126058.82857142857,stop,-1.0043987690628289,10445.71301544431
2025-07-17 05:00:00+00:00,2025-07-18 05:04:00+00:00,long,117459.9609375,118265.390625,117048.296875,118575.25,116928.38571428572,123515.84285714285,time,1.0519992539935212,10555.601838441089
2025-08-06 12:00:00+00:00,2025-08-07 12:10:00+00:00,long,113465.6015625,113953.734375,113341.5,114262.25,113299.49285714286,117150.52142857142,time,2.1433234905702454,10781.842532215462
2025-08-08 14:00:00+00:00,2025-08-11 02:14:00+00:00,long,116351.6796875,116640.390625,116184.53125,116995.25,115598.54285714286,121185.37142857141,target,2.993735265087783,11104.62235432863
2025-09-12 17:00:00+00:00,2025-09-15 17:08:00+00:00,long,114441.5390625,115266.609375,114108.0,115682.75,114069.96428571429,120521.10714285713,time,-0.5056468399840572,11048.472182301804
2025-10-18 20:00:00+00:00,2025-10-19 20:05:00+00:00,long,105603.9765625,106431.125,105013.15625,107138.25,104501.695,115047.91499999998,time,0.6973114537720643,11125.514444295814
2025-11-10 07:00:00+00:00,2025-11-11 07:04:00+00:00,long,104670.37109375,105784.3359375,104083.0078125,106217.25,103966.42285714285,112969.73142857144,time,-0.43717262035099413,11076.876741272157
2026-01-02 17:00:00+00:00,2026-01-03 17:56:00+00:00,long,88747.70234375,89007.23281249999,88537.60625,90362.55,88182.09142857142,96903.92571428574,time,-0.1610441054011609,11059.038084217786
2026-03-23 12:00:00+00:00,2026-03-24 12:04:00+00:00,long,68168.183984375,68226.365625,67784.18515625001,68546.95000000001,67322.52178571429,72220.23464285719,time,1.9865599074086524,11278.73250094391
2026-04-11 12:00:00+00:00,2026-04-12 01:43:00+00:00,long,72220.140625,72850.16875,71943.8125,72984.55,71877.25857142858,76306.42428571427,stop,-1.0079021653868385,11165.053911838706
2026-05-02 00:00:00+00:00,2026-05-03 00:55:00+00:00,long,77347.7265625,77821.10625,76874.346875,78273.45000000001,76792.49142857142,82716.32571428579,time,0.127788854901881,11179.321606381822
2026-05-20 18:00:00+00:00,2026-05-21 18:04:00+00:00,long,76686.01171875,77176.7671875,76426.2,77513.45000000001,76385.95214285715,80895.94357142861,time,0.08204006722849563,11188.493129343387
2026-06-14 08:00:00+00:00,2026-06-14 14:43:00+00:00,long,64214.6171875,64274.003125,63983.671875,64413.85,63843.34642857143,66125.3607142857,stop,-1.0153373272985646,11074.89218223893
2026-07-10 02:00:00+00:00,2026-07-11 02:08:00+00:00,long,62661.08125,62992.675,62535.8125,63717.85,62449.24357142857,67523.66928571429,time,0.20494930038529302,11097.590096284852
