case,period,history_quality_pct,bars,ticks,initial_stop_atr,trailing_atr,trail_start_r,close_at_session_end,initial_balance,final_balance,net_profit,return_pct,gross_profit,gross_loss,profit_factor,equity_dd_amount,equity_dd_pct,balance_dd_amount,balance_dd_pct,trades,wins,losses,win_rate,long_trades,long_win_rate,short_trades,short_win_rate,largest_win,largest_loss,average_win,average_loss,expected_payoff,recovery_factor,sharpe_ratio,commission,swap,score,status,report,graph,symbol,stage,model,fingerprint,elapsed_seconds,config
xauusd-frozen-locked-model0,M5 (2025.09.01 - 2026.09.01),99.0,70850,101279648,0.0,0.0,0.0,False,10000.0,11861.36,1861.36,18.613599999999998,7440.54,-5579.18,1.33,1075.07,10.2,991.06,9.45,97,39,58,40.21,97,40.21,0,0.0,223.73,-115.18,190.78,-95.36,19.19,1.73,5.55,-48.399999999999956,0.0,-1.7864000000000004,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Volatility Compression Expansion Research 2026-09-06\Native\xauusd-frozen-locked-model0\xauusd-frozen-locked-model0.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Volatility Compression Expansion Research 2026-09-06\Native\xauusd-frozen-locked-model0\xauusd-frozen-locked-model0.png,XAUUSD,locked,0,ec8e1ed31b3421f371563b6a4158c2d126e6b75c623fd7470f71ac7b2571c6a7,36.41,"{""arm_bars"": 12, ""breakout_buffer_atr"": 0.0, ""compression"": ""atr-ratio"", ""compression_value"": 0.8, ""confirmation"": ""body"", ""direction"": ""long-only"", ""management"": ""none"", ""maximum_hold_bars"": 24, ""range_bars"": 12, ""rr"": 2.0, ""session"": ""asia"", ""stop_mode"": ""atr"", ""stop_value"": 1.25, ""timeframe"": ""M30"", ""trend"": ""ema50-200""}"
xagusd-frozen-locked-model0,M5 (2025.09.01 - 2026.09.01),99.0,70682,31288569,0.0,0.0,0.0,False,10000.0,10691.8,691.8,6.917999999999999,5610.45,-4918.65,1.14,1794.34,14.49,1384.94,11.55,79,22,57,27.85,50,32.0,29,20.69,637.5,-119.4,255.02,-83.03,8.76,0.39,2.12,-185.9500000000001,0.0,-22.062,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Volatility Compression Expansion Research 2026-09-06\Native\xagusd-frozen-locked-model0\xagusd-frozen-locked-model0.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Volatility Compression Expansion Research 2026-09-06\Native\xagusd-frozen-locked-model0\xagusd-frozen-locked-model0.png,XAGUSD,locked,0,46677df34dacc8cb2afa93a2dcfbb8e03534bacdaa355418682b40c6a7dc000b,15.57,"{""arm_bars"": 6, ""breakout_buffer_atr"": 0.1, ""compression"": ""atr-ratio"", ""compression_value"": 0.65, ""confirmation"": ""volume"", ""direction"": ""both"", ""management"": ""breakeven"", ""maximum_hold_bars"": 24, ""range_bars"": 12, ""rr"": 6.0, ""session"": ""london"", ""stop_mode"": ""atr"", ""stop_value"": 1.25, ""timeframe"": ""M30"", ""trend"": ""ema50""}"
btcusd-frozen-locked-model0,M5 (2025.09.01 - 2026.09.01),100.0,105103,47331646,0.0,0.0,0.0,False,10000.0,11373.25,1373.25,13.7325,3266.48,-1893.23,1.73,695.01,6.86,558.36,5.58,35,16,19,45.71,16,50.0,19,42.11,228.66,-125.65,204.15,-96.07,39.24,1.98,10.06,-67.97,0.0,0.01249999999999929,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Volatility Compression Expansion Research 2026-09-06\Native\btcusd-frozen-locked-model0\btcusd-frozen-locked-model0.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Volatility Compression Expansion Research 2026-09-06\Native\btcusd-frozen-locked-model0\btcusd-frozen-locked-model0.png,BTCUSD,locked,0,289890aab3f56189c11653d7a85fdf919548961cc4ac0f0eb4097433d4606a71,18.02,"{""arm_bars"": 3, ""breakout_buffer_atr"": 0.1, ""compression"": ""atr-ratio"", ""compression_value"": 0.5, ""confirmation"": ""close"", ""direction"": ""both"", ""management"": ""none"", ""maximum_hold_bars"": 12, ""range_bars"": 6, ""rr"": 2.0, ""session"": ""london-new-york"", ""stop_mode"": ""atr"", ""stop_value"": 1.25, ""timeframe"": ""H1"", ""trend"": ""ema50-200""}"
us30-frozen-locked-model0,M5 (2025.09.01 - 2026.09.01),100.0,70781,67122621,0.0,0.0,0.0,False,10000.0,10182.96,182.96,1.8296,1505.84,-1322.88,1.14,540.29,5.21,416.59,4.05,21,11,10,52.38,12,66.67,9,33.33,208.41,-414.96,136.89,-130.87,8.71,0.34,2.31,-14.19,0.0,-8.5904,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Volatility Compression Expansion Research 2026-09-06\Native\us30-frozen-locked-model0\us30-frozen-locked-model0.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Volatility Compression Expansion Research 2026-09-06\Native\us30-frozen-locked-model0\us30-frozen-locked-model0.png,US30,locked,0,2f46b94bc39190aa2239d97e58087a3cc4e2d4eb9c581189e28f54e9d1dd048e,21.72,"{""arm_bars"": 3, ""breakout_buffer_atr"": 0.0, ""compression"": ""atr-ratio"", ""compression_value"": 0.65, ""confirmation"": ""close"", ""direction"": ""both"", ""management"": ""none"", ""maximum_hold_bars"": 6, ""range_bars"": 6, ""rr"": 2.0, ""session"": ""new-york"", ""stop_mode"": ""atr"", ""stop_value"": 1.25, ""timeframe"": ""H1"", ""trend"": ""ema50""}"
ustec-frozen-locked-model0,M5 (2025.09.01 - 2026.09.01),100.0,70782,92085526,0.0,0.0,0.0,False,10000.0,10445.21,445.21,4.4521,2565.86,-2120.65,1.21,848.09,7.79,772.74,7.15,33,13,20,39.39,20,45.0,13,30.77,239.39,-118.42,197.37,-104.77,13.49,0.52,2.7,-25.349999999999994,-70.3,-11.1279,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Volatility Compression Expansion Research 2026-09-06\Native\ustec-frozen-locked-model0\ustec-frozen-locked-model0.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Volatility Compression Expansion Research 2026-09-06\Native\ustec-frozen-locked-model0\ustec-frozen-locked-model0.png,USTEC,locked,0,74af2d1122f88bd3fb0594d43eb3728cfc381d3c142534137ad5c5cc8b02d512,27.59,"{""arm_bars"": 6, ""breakout_buffer_atr"": 0.2, ""compression"": ""atr-ratio"", ""compression_value"": 0.65, ""confirmation"": ""volume"", ""direction"": ""both"", ""management"": ""none"", ""maximum_hold_bars"": 48, ""range_bars"": 12, ""rr"": 2.0, ""session"": ""new-york"", ""stop_mode"": ""atr"", ""stop_value"": 1.25, ""timeframe"": ""H1"", ""trend"": ""ema50""}"
gbpjpy-frozen-locked-model0,M5 (2025.09.01 - 2026.09.01),100.0,74343,15490646,0.0,0.0,0.0,False,10000.0,9916.67,-83.33,-0.8333,787.71,-871.04,0.9,568.78,5.64,463.94,4.64,15,6,9,40.0,7,42.86,8,37.5,205.01,-104.13,131.29,-89.95,-5.56,-0.15,-1.46,-61.480000000000004,0.0,-12.113299999999999,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Volatility Compression Expansion Research 2026-09-06\Native\gbpjpy-frozen-locked-model0\gbpjpy-frozen-locked-model0.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Volatility Compression Expansion Research 2026-09-06\Native\gbpjpy-frozen-locked-model0\gbpjpy-frozen-locked-model0.png,GBPJPY,locked,0,f321890e12979748c14339b4f5dbe7f0bc8255ab03a73304069c51f473c2a307,14.37,"{""arm_bars"": 6, ""breakout_buffer_atr"": 0.2, ""compression"": ""bb-keltner"", ""compression_value"": 1.0, ""confirmation"": ""volume"", ""direction"": ""both"", ""management"": ""none"", ""maximum_hold_bars"": 12, ""range_bars"": 20, ""rr"": 2.0, ""session"": ""london"", ""stop_mode"": ""atr"", ""stop_value"": 1.25, ""timeframe"": ""M15"", ""trend"": ""ema50-200""}"
xauusd-frozen-full-model0,M5 (2023.09.01 - 2026.09.01),98.0,211893,189699719,0.0,0.0,0.0,False,10000.0,19357.52,9357.52,93.57520000000001,38814.24,-29456.72,1.32,3159.45,17.01,2851.8,15.56,347,145,202,41.79,347,41.79,0,0.0,365.78,-190.54,267.68,-142.96,26.97,2.96,6.13,-579.6900000000005,0.0,59.555200000000006,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Volatility Compression Expansion Research 2026-09-06\Native\xauusd-frozen-full-model0\xauusd-frozen-full-model0.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Volatility Compression Expansion Research 2026-09-06\Native\xauusd-frozen-full-model0\xauusd-frozen-full-model0.png,XAUUSD,full,0,2b487425d8f2faf058463879bbda4e268f0446dfb11878a174a9813383ad46a6,54.71,"{""arm_bars"": 12, ""breakout_buffer_atr"": 0.0, ""compression"": ""atr-ratio"", ""compression_value"": 0.8, ""confirmation"": ""body"", ""direction"": ""long-only"", ""management"": ""none"", ""maximum_hold_bars"": 24, ""range_bars"": 12, ""rr"": 2.0, ""session"": ""asia"", ""stop_mode"": ""atr"", ""stop_value"": 1.25, ""timeframe"": ""M30"", ""trend"": ""ema50-200""}"
xagusd-frozen-full-model0,M5 (2023.09.01 - 2026.09.01),98.0,211744,44961324,0.0,0.0,0.0,False,10000.0,11204.76,1204.76,12.0476,9231.0,-8026.24,1.15,2021.46,15.37,1616.09,12.66,124,36,88,29.03,69,27.54,55,30.91,686.7,-139.5,256.42,-85.89,9.72,0.6,2.26,-468.19000000000017,0.0,-18.6924,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Volatility Compression Expansion Research 2026-09-06\Native\xagusd-frozen-full-model0\xagusd-frozen-full-model0.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Volatility Compression Expansion Research 2026-09-06\Native\xagusd-frozen-full-model0\xagusd-frozen-full-model0.png,XAGUSD,full,0,23fa794f727d9b89ee1e0bf43c2d2b4ab1cbb6dc10e851038dc72bed5890aa1a,18.34,"{""arm_bars"": 6, ""breakout_buffer_atr"": 0.1, ""compression"": ""atr-ratio"", ""compression_value"": 0.65, ""confirmation"": ""volume"", ""direction"": ""both"", ""management"": ""breakeven"", ""maximum_hold_bars"": 24, ""range_bars"": 12, ""rr"": 6.0, ""session"": ""london"", ""stop_mode"": ""atr"", ""stop_value"": 1.25, ""timeframe"": ""M30"", ""trend"": ""ema50""}"
btcusd-frozen-full-model0,M5 (2023.09.01 - 2026.09.01),100.0,315186,261623952,0.0,0.0,0.0,False,10000.0,10516.45,516.45,5.1645,6726.36,-6209.91,1.08,1795.75,17.79,1670.4,16.7,109,40,69,36.7,60,38.33,49,34.69,212.74,-114.21,168.16,-87.18,4.74,0.29,1.31,-194.62000000000003,0.0,-30.415499999999998,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Volatility Compression Expansion Research 2026-09-06\Native\btcusd-frozen-full-model0\btcusd-frozen-full-model0.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Volatility Compression Expansion Research 2026-09-06\Native\btcusd-frozen-full-model0\btcusd-frozen-full-model0.png,BTCUSD,full,0,1e3b79614ccc7ec602cf420155d26c07b958bc3615d5fa75f8170b226c77b0d9,65.19,"{""arm_bars"": 3, ""breakout_buffer_atr"": 0.1, ""compression"": ""atr-ratio"", ""compression_value"": 0.5, ""confirmation"": ""close"", ""direction"": ""both"", ""management"": ""none"", ""maximum_hold_bars"": 12, ""range_bars"": 6, ""rr"": 2.0, ""session"": ""london-new-york"", ""stop_mode"": ""atr"", ""stop_value"": 1.25, ""timeframe"": ""H1"", ""trend"": ""ema50-200""}"
us30-frozen-full-model0,M5 (2023.09.01 - 2026.09.01),98.0,210550,123518413,0.0,0.0,0.0,False,10000.0,11075.79,1075.79,10.7579,5005.03,-3929.24,1.27,649.63,5.88,470.48,4.54,65,31,34,47.69,42,54.76,23,34.78,223.72,-454.08,161.45,-113.93,16.55,1.66,5.55,-55.54000000000001,-114.07,-1.0021000000000004,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Volatility Compression Expansion Research 2026-09-06\Native\us30-frozen-full-model0\us30-frozen-full-model0.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Volatility Compression Expansion Research 2026-09-06\Native\us30-frozen-full-model0\us30-frozen-full-model0.png,US30,full,0,ce636a72653ec7271b6b4fc77c3025f9fb80f989aa9b300d7eea7cdc94fe3a54,33.49,"{""arm_bars"": 3, ""breakout_buffer_atr"": 0.0, ""compression"": ""atr-ratio"", ""compression_value"": 0.65, ""confirmation"": ""close"", ""direction"": ""both"", ""management"": ""none"", ""maximum_hold_bars"": 6, ""range_bars"": 6, ""rr"": 2.0, ""session"": ""new-york"", ""stop_mode"": ""atr"", ""stop_value"": 1.25, ""timeframe"": ""H1"", ""trend"": ""ema50""}"
