key,value
first_tick,2023.09.05 00:00:00
last_tick,2026.09.04 20:57:59
first_closed_double,
insolvent_at,
initial_balance,3000.00000000
final_balance,3410.55000000
final_equity,3410.55000000
max_equity,5452.19000000
min_equity,2729.27000000
max_equity_dd_pct,39.45625519
max_equity_dd_cash,2151.23000000
max_total_lots,0.03000000
max_legs,3.00000000
entries,3542.00000000
baskets_closed,1803.00000000
rejected,4679.00000000
daily_loss_locks,136.00000000
daily_profit_locks,177.00000000
stopped_at_double,0.00000000
leverage,2000.00000000
