key,value
first_tick,2026.03.05 00:00:00
last_tick,2026.09.04 20:57:59
first_closed_double,
insolvent_at,
initial_balance,3000.00000000
final_balance,1278.57000000
final_equity,1278.57000000
max_equity,3044.50000000
min_equity,1175.41000000
max_equity_dd_pct,61.39234685
max_equity_dd_cash,1869.09000000
max_total_lots,0.03000000
max_legs,3.00000000
entries,1188.00000000
baskets_closed,589.00000000
rejected,3174.00000000
daily_loss_locks,57.00000000
daily_profit_locks,60.00000000
stopped_at_double,0.00000000
leverage,2000.00000000
